rank	username	minecraft:picked_up/minecraft:jungle_fence
1	El_Jalapeno	1654
2	mwrty	531
3	SvenskaHugo	409
4	cedric72	270
5	Hyp3rion_	228
6	Freak_Genius	222
7	BronkerBrum	197
8	titanlax	176
9	Steelynan	85
10	Prodiginus	73
11	Wooptey	72
12	Inbefour	71
13	Maenara	65
14	Factoroni	61
15	Eczbek	60
16	SaucyDark	58
17	seramalen	57
18	PlasticOtari	50
19	PuFY	48
20	_Virify_	43
21	MyNameIsJobo	41
21	Toiton	41
23	Bandito_Roamer	40
24	Lez_	39
24	PegLegPete93	39
26	chipklip	37
27	lillips	36
28	Mr_Byzantine	35
28	eviltunix	35
28	MovingFish7	35
31	joethahobo	34
31	Stiar	34
33	BreadBacon	32
34	kekhon	30
35	soundad	29
35	Queen_Jalapeno	29
37	HellsSponge	26
38	TheShyPig	25
39	CarltheCuck	23
39	jnp_gaming	23
41	ShedJr_	22
41	WhyTho_1	22
43	Winklepicker279	21
44	Deathkob	20
45	Airem_Core	18
45	lcvezra	18
47	Xalithia	17
47	ROY4LE	17
49	Jackattack53	16
49	ItsDeltaMC	16
51	Vorlice	15
52	Dabatha	14
52	KASAN420	14
52	Smoke____	14
55	MixerDixer	13
55	himak1	13
55	loveseeker	13
55	fred870d	13
59	AuroraValkyrie	12
59	binman420	12
59	MightyWertu	12
62	Racengan	11
62	ItsJunoIGuess	11
64	PigDab	10
64	1442	10
64	kinas45y5	10
67	TAKrules	9
67	H72l9w	9
67	SvenskaAlvar	9
70	beeperbeeper5	8
70	TheSecondLord	8
70	TableTim	8
73	ItsAki_	7
73	EveryonesUncle	7
73	censorsheep	7
73	Xclax101	7
77	Merv__	6
77	Dedalus36	6
77	Di_infiri	6
77	oxfordschool	6
81	T045RTY	5
81	Fullut	5
81	lizardfightclub	5
81	fluddd	5
81	RadarHz	5
81	coobert42	5
87	Groovy_MoonBird	4
87	jessemgaming	4
87	GingerNeutron	4
87	benediktine1	4
87	King_Pancake1	4
87	fxiryglitch	4
87	Nycteus_	4
87	jcool7	4
95	Incinere	3
95	Stynxy	3
95	Ecplosive	3
95	Shiirazuku	3
95	Legendosh	3
100	eitanzaki	2
100	rarrq	2
100	Kubelz	2
100	SuperPooch06	2
100	WET_WET_WET	2
100	ApophisNova	2
100	ese_wn_po	2
100	The_slideV3	2
100	MAns_44	2
100	sp00ky_ghost977	2
100	MyNamaSheff	2
100	TechnoNinja64	2
100	The_SlideV5	2
113	pintsizedrogue	1
113	Mahoose	1
113	500am	1
113	noam464	1
113	Arceus1975	1
113	_Karmaa	1
113	Deerfoot	1
113	KG1999	1
113	MineMaster0012	1
113	SammiWolfGirl	1
113	EcksDofficial	1
