rank	username	minecraft:picked_up/minecraft:jungle_button
1	Kubelz	17
2	Hpdinosaur	16
2	Freak_Genius	16
4	Hyp3rion_	15
5	eitanzaki	14
5	himak1	14
7	noodlepack	13
8	thewindmillman	12
8	NameGenerat0r	12
10	TheDankPlatypus	11
10	ese_wn_po	11
12	Mr_Byzantine	7
12	Steelynan	7
12	jnp_gaming	7
15	mwrty	6
15	Kim_Jong_eel	6
15	kinas45y5	6
18	Smoke____	5
19	Sky_light_KING	4
19	FreddyFart	4
21	SuperPooch06	3
21	WarMachina	3
23	Merv__	2
23	ShedJr_	2
23	Jackattack53	2
23	The_slideV3	2
27	Groovy_MoonBird	1
27	the_fireminer	1
27	Mahoose	1
27	beeperbeeper5	1
27	noam464	1
27	MyNameIsJobo	1
27	PigDab	1
27	TheShyPig	1
27	Tank_Kuma	1
27	Maenara	1
27	EveryonesUncle	1
27	lillips	1
27	HellsSponge	1
27	mafiKiwi	1
27	SwooshBoi	1
27	MightyWertu	1
27	Blaiku	1
27	MovingFish7	1
27	SvenskaHugo	1
27	YungMaki	1
27	anbbang	1
27	Ezekson	1
27	vandmanden	1
27	Amontillado	1
