rank	username	minecraft:picked_up/minecraft:lectern
1	Alteriity	11297
2	HellsSponge	5394
3	MightyWertu	2575
4	Historical_Sand	1507
5	Lord_Jord	1433
6	Hisiste	1349
7	Freak_Genius	1280
8	thescout7	1176
9	gcaisawesome	1124
10	pixelviolin	1033
11	AuroraSkies	984
12	beeperbeeper5	935
13	Jiminie	928
14	Blaiku	924
15	The_slideV3	920
16	eitanzaki	846
16	joethahobo	846
18	pintsizedrogue	836
19	noam464	819
20	Hyp3rion_	798
21	YungMaki	777
22	Arceus1975	774
23	EMC_	759
24	PigDab	708
25	chipklip	697
26	MinttyFressh	652
27	youhjjhhhjj	629
28	EveryonesUncle	578
29	Comma__	563
30	Soplight	502
31	Racengan	490
32	Di_infiri	479
33	livingdaydreams	460
34	DanTheBuilderino	454
35	Marbz_	409
36	500am	401
37	fffMike	385
38	Skippeh	381
39	Smoke____	370
40	Nycteus_	360
41	Xalithia	304
42	KG1999	303
43	Drlzyy	301
44	Solar_Power	299
45	Groundler	284
46	ZeroKraken	272
47	SyntheticSurgeon	268
48	T045RTY	262
49	WYFYoyo	259
50	BumbleBeever	251
51	LeeMcGee30	238
52	Ryker	220
53	kekhon	219
54	Fizznut909	208
54	Sral7	208
56	set67	205
57	TheTrueClipse	188
58	HoltGrim	187
59	Dan_Scha	185
60	mwrty	184
61	Spacewardharpy7	177
62	jacxhadow	176
63	calamariclam_I	173
64	fkGrim	163
65	TechnoNinja64	159
66	Rumpletaezer	157
67	Luigipunch989	149
68	diggydog67	142
69	diamondgolem35	139
70	TheEnderman548	133
71	The_SlideV5	131
72	Werbe	120
73	NotMeanttoChange	118
74	XboxPanda	114
75	LazySupport00	108
76	PegLegPete93	104
77	Fast_Turtle	103
77	Kowcio_	103
79	TheShyPig	96
79	ProfessorDiaper	96
79	JayToe	96
82	RebelAndroid	92
82	ApophisNova	92
82	MyNamaSheff	92
85	Cowison	91
85	Sky_light_KING	91
87	EfficientC52	89
87	FishisTTV	89
89	claivin	87
90	TheDankPlatypus	86
91	RodSerlingCringe	84
92	Mahoose	83
93	mawileite	82
94	Yatitay	81
95	PlasticOtari	78
96	mariominejedi	76
97	TheALV	75
98	Kubeusz2010	69
99	301851	65
100	Vizzoid	64
100	SellyZ	64
100	Legendosh	64
103	MattieHD	62
103	oxfordschool	62
105	Frxnkz	59
105	Ezekson	59
107	obzii	57
108	2blox	53
109	TheSecondLord	52
109	Awyrlas	52
109	Promsiel	52
112	AlexxO_o	49
113	Bumpy419	48
