rank	username	minecraft:picked_up/minecraft:raiser_armor_trim_smithing_template
1	j5ylim	15
2	Mr_Byzantine	6
3	k_ce	5
4	MattieHD	4
4	crashomon	4
6	pintsizedrogue	3
6	beeperbeeper5	3
8	pixelviolin	2
9	Apollo_993	1
9	lorywithay	1
9	Huwulling	1
9	Archsam	1
9	Secret_Canary	1
9	Jackattack53	1
9	Samificator	1
9	Kowcio_	1
9	Enderxz3	1
