rank	username	minecraft:picked_up/minecraft:glow_berries
1	pintsizedrogue	4956
2	PlasticOtari	2565
3	12Magner05	1240
4	_Dean_123	831
5	beeperbeeper5	823
6	Hyp3rion_	672
7	Smoke____	611
8	luseis	600
9	Blackberry1310	560
10	Steelynan	473
11	SpacesickPrism	322
12	Enderxz3	310
13	EMC_	281
14	thewindmillman	279
15	MineMaster0012	244
16	Marbz_	198
17	AuroraSkies	192
18	Lez_	190
19	Jimb0nat0r	182
20	RoofTyler	179
21	PigDab	174
22	500am	168
23	wwwwinnebagoooo	166
24	ApophisNova	162
24	MyNamaSheff	162
26	Merv__	159
27	xxPipperDipperxx	145
28	Huwulling	143
29	Inchef	132
30	TheSecondLord	127
31	Alteriity	123
32	Ezekson	116
32	00000000-0000-0000-0009-01ff0c3e5e4f	116
34	Sleepy_Time_	112
35	Legendosh	111
36	eitanzaki	107
37	NomadicRobin_	106
38	Ryker	103
38	dartwaffle	103
40	SvenskaHugo	94
41	Nycteus_	90
42	Mahoose	88
43	Kowcio_	77
44	Silvo614	76
45	UCP_TheKingK	74
46	MyNameIsDakar	67
46	WYFYoyo	67
48	AlexxO_o	66
49	zToasty69z	63
49	YungMaki	63
51	SmashingPump	62
52	SingedBread	60
53	Rebytre	59
54	RealGroot	56
55	CattSoup	49
56	Auseawesome	46
57	lorpus	44
57	RadarHz	44
59	00000000-0000-0000-0009-01fbab7ea71d	43
60	Felenov	41
61	_Huge_Male_	36
61	_stets	36
63	corvidpartyfor6	35
64	chrolus	34
64	Gamergirl420628	34
66	Deathkob	33
67	Soplight	32
68	Tommhh	31
68	Akoot_	31
70	Enigma0251	30
70	tsitrawhy	30
72	diamondgolem35	27
73	Killercatty78	26
74	Kekoo	25
75	2bolx_	24
76	SteveCraftBlocks	23
76	Rocco_Lane	23
78	_Razaria	22
78	SammiWolfGirl	22
80	TheDankPlatypus	21
80	KeruNatsema	21
80	Fuad_R	21
83	rarrq	20
83	Valoth	20
83	Awyrlas	20
83	XxCookiequeenxX	20
83	EtherealEspresso	20
88	Wilzax	19
88	lordpipe	19
90	SyntheticSurgeon	18
90	groofles	18
92	MinttyFressh	17
92	TheALV	17
92	Hermanni__	17
92	mobunni	17
96	ShedJr_	16
97	jessewegottacook	15
97	Jeteight	15
97	Joestra	15
97	Lord_Zacler	15
97	gusstationwerker	15
102	RoskobiOne	14
102	CoffeeNoir	14
102	pixelviolin	14
102	LeEricc	14
102	PortlyPete69	14
107	joethahobo	12
107	Smashic	12
107	TerraVl	12
107	BINKENSTOCK	12
107	Sheldor097	12
112	rachcl	11
112	Dan_Scha	11
112	TJawesome09	11
115	eli_tschki	10
115	Toriankel	10
115	kyouma777	10
118	Slinkyy7071	9
118	Kakolbus	9
118	Itz_DuongVN	9
118	MAns_44	9
122	nattybears	8
122	Kubelz	8
122	SuperPooch06	8
122	thebaddruid	8
122	SvenskaSara	8
122	binman420	8
122	NameGenerat0r	8
122	iSammael	8
122	pablopickle	8
131	RebelAndroid	7
131	dimitri0s	7
131	Touched_Bread	7
131	BusinesManFrecks	7
131	The_Fulgurator	7
131	Ghemmah	7
131	lizardfightclub	7
131	Human_Resource	7
131	GlitchyPlate810	7
140	H0UNDFRMH3LL	6
140	SquadMonster	6
140	I_Moose	6
140	Lumien_	6
140	ROY4LE	6
140	_Boipl_	6
140	Spacewardharpy7	6
147	Creativebuilder2	5
147	Matte__	5
147	kekhon	5
147	hanaryheatwave	5
147	Snowflowe	5
147	Kittaze	5
147	coobert42	5
147	_Dri_	5
147	00000000-0000-0000-0009-01f073f37a91	5
156	BlackShadow_1007	4
156	DinoDoctor_	4
156	MrKrabOnCoke	4
156	noam464	4
156	ZeroAbyssTTV	4
156	Jackattack53	4
156	DarlaMeow	4
156	shrimp_flips	4
156	fluddd	4
156	Yahir091	4
156	Eczbek	4
167	YinToYin	3
167	Prismyst	3
167	Khelvoryk	3
167	Crowman1	3
167	2Stout	3
167	corpsecity	3
167	Arceus1975	3
167	H_O_M_H	3
167	EveryonesUncle	3
167	Tiktola01	3
167	READEREID	3
167	sp00ky_ghost977	3
167	smogfrog	3
180	FazeObama69	2
180	MobiMachine	2
180	__lizi	2
180	RatatJuice	2
180	Lilinaya17	2
180	PaigeDown	2
180	orxngejuice	2
180	NLKBuilder	2
180	shadowthemonkey	2
180	Jonte0599	2
180	Arcticwyn	2
180	fw3xywashere	2
180	shadowmanu8	2
180	weabis	2
180	SkinnyBois	2
180	Rimuru_818	2
196	PazinGaming	1
196	Myrosia	1
196	LeDuctTape	1
196	ZaneABrain	1
196	ShaunCraftYT	1
196	Fuxs_V	1
196	Timfinity4	1
196	mrnosetackle	1
196	fade_emerge78823	1
196	KGTV	1
196	LeauVox4921	1
196	MEMES4_LIFE	1
196	HoltGrim	1
196	thatbeanyboi	1
196	Di_infiri	1
196	Jonafrog99	1
196	0Vyp_	1
196	Skylord_Luke	1
196	Smussa	1
196	SvenskaAlvar	1
196	CarryLine	1
196	Luminad3	1
196	Elastiq	1
196	420BreadLizard	1
196	Veillax135	1
196	_Bguette_	1
196	GigaSl	1
196	DarkS0L	1
196	WeebleSock	1
196	StinkyDiplomat	1
196	beetlebum300	1
196	Templar_David	1
196	Racengan	1
196	Vicemaniac	1
196	Godspirit249	1
196	Eraxa	1
196	IdeallyGrey	1
196	Heisenbberrg	1
196	MNMann44	1
196	athereall	1
196	ZoomieZoomie	1
196	TheOuterCore	1
196	youarefrench_	1
196	Quotary	1
196	NoobyandApple	1
196	Umbreon900	1
