rank	username	minecraft:picked_up/minecraft:iron_door
1	xolstoi	621
2	AssFullaCum	299
3	eitanzaki	245
4	jnp_gaming	169
5	HellsSponge	163
6	noam464	138
7	FreakGenius	126
8	Smoke____	121
9	Rumpletaezer	118
10	JayToe	102
11	xxPipperDipperxx	78
12	joethahobo	74
13	beeperbeeper5	69
14	kekhon	60
15	KarlKaek	58
15	PlasticOtari	58
17	Blaiku	55
18	Hyp3rion_	50
19	Enderxz3	47
20	12Magner05	43
21	PigDab	41
22	pintsizedrogue	38
22	ApophisNova	38
22	MyNamaSheff	38
25	Soplight	37
26	EngagedGrub41	36
27	Xclax101	35
27	UltraZombie	35
29	Blu3beast	34
30	Werbe	30
30	claivin	30
32	ThiccExotic	29
32	EveryonesUncle	29
32	censorsheep	29
32	mihimihimihi	29
32	KingMatthew506	29
37	Di_infiri	28
38	500am	27
38	Legendosh	27
40	Tyrannosplart	26
40	ConnorDanky_	26
40	EcksD	26
40	cichy096	26
44	Merv__	25
44	Hpdinosaur	25
44	mwrty	25
44	luseis	25
44	TheOuterCore	25
44	Ezekson	25
50	r123moore	24
50	thewindmillman	24
52	ImpavidArcher	23
52	Mahoose	23
54	Inchef	22
54	ROY4LE	22
54	Paintz	22
54	Bucscw24	22
54	Maenara	22
54	BlankityMcBlank	22
60	thescout7	20
60	lordpipe	20
60	Ze_BaronKrigler	20
63	Historical_Sand	19
64	teslawolf38	18
64	RobotMinion101	18
64	Spacewardharpy7	18
67	Winklepicker279	17
67	ProfessorDiaper	17
69	hm947	16
69	Jokerman369	16
69	Jackattack53	16
69	burbankbuilder28	16
69	ougstur	16
74	Bandito_Roamer	15
74	ShedJr_	15
74	titanlax	15
74	m_be9	15
74	SuperPooch06	15
74	Onennon	15
74	cedric72	15
74	WyngGoy	15
74	YungMaki	15
74	smogfrog	15
84	Jackster03	14
84	Kkanot	14
84	legal_tax_evader	14
84	Akoot_	14
84	IAmTheWalrus910	14
84	gusstationwerker	14
84	fffMike	14
84	Iamthejo	14
92	ILoveCarrot	13
92	DanTheBuilderino	13
94	MunkaKris	12
94	youhjjhhhjj	12
94	Lez_	12
94	Steelynan	12
98	TheSecondLord	11
98	Comma__	11
98	slkiey	11
98	Luminad3	11
98	MightyWertu	11
98	brofrickcheaters	11
98	Kubeusz2010	11
105	livingdaydreams	10
105	oreee	10
105	Crowman1	10
105	jushykins	10
105	lorpus	10
105	himak1	10
105	Kubelz	10
105	Kynigito	10
105	epiksk8erduck	10
105	Shogunite	10
105	MAns_44	10
105	BumbleBeever	10
105	Quotary	10
118	Huwulling	9
118	H72l9w	9
118	Ardennes	9
118	CaptainAvenger7	9
118	TheShyPig	9
118	Elastiq	9
118	Jaka_Saurus_715	9
125	FazeObama69	8
125	rarrq	8
125	Nycteus_	8
125	ThatMan_Dave	8
125	Groundler	8
125	_k2x	8
125	Hisiste	8
125	Factoroni	8
125	Eraxa	8
125	AltnumberF4	8
135	Esme_1	7
135	Sparky_KT	7
135	Blackberry1310	7
135	MattieHD	7
135	Arceus1975	7
135	domagawha	7
135	Nicky19	7
135	wobn	7
135	NameGenerat0r	7
135	Mythic1130	7
135	Eczbek	7
146	Groovy_MoonBird	6
146	Mr_Byzantine	6
146	6king6colt6	6
146	firesgal3116	6
146	Mewar	6
146	hcb238	6
146	CharlieButt	6
146	Chromary	6
146	impossibleteapot	6
146	kars0n	6
146	Billious	6
146	The_Fulgurator	6
146	HyperCave	6
146	J4ko8_	6
146	theofiel	6
146	ChrisKyleST3	6
146	binman420	6
146	Gryglu583	6
146	Fuad_R	6
146	_Karmaa	6
146	Kowcio_	6
146	Skippeh	6
168	jspwn	5
168	Ailmast	5
168	EMC_	5
168	jimintyy	5
168	Euclidoris	5
168	BobDeBouwer1337	5
168	Nicky_H225	5
168	ThePoliteG	5
168	MinttyFressh	5
168	catandmoose	5
168	Cortexia	5
168	Yirtle	5
168	Awyrlas	5
168	platinumzero	5
168	Snowflowe	5
168	F_Uhre	5
168	yulgur1	5
168	Barlycorn	5
168	lcvezra	5
168	erkada	5
168	TechnoNinja64	5
168	bladeefan2009	5
190	chipklip	4
190	dudcreeper	4
190	dabloons	4
190	KingFaenor	4
190	Frozil20	4
190	Sabby65	4
190	Incinere	4
190	MrKrabOnCoke	4
