rank	username	minecraft:picked_up/minecraft:shears
1	EcksD	17410
2	thewindmillman	7449
3	noam464	6337
4	Spacewardharpy7	5568
5	HellsSponge	5226
6	EMC_	3526
7	Hyp3rion_	1986
8	Jackattack53	1132
9	Historical_Sand	674
10	bl1ss0	595
11	lpinfinity	532
12	Kakolbus	328
13	Yamdalorian	292
14	Spaghettatron	269
15	pintsizedrogue	238
16	fffMike	202
17	Bumpy419	172
18	Steelynan	165
19	craaaash	164
20	12Magner05	147
21	Kowcio_	146
22	Lord_Jord	143
23	Manaateee	122
24	Werbe	111
25	beeperbeeper5	89
26	joethahobo	86
26	FreakGenius	86
28	SpacesickPrism	84
29	Soplight	73
30	Prismyst	68
31	eitanzaki	60
31	Skylord_Luke	60
31	AlexxO_o	60
34	knarian	56
34	EdGalbraith	56
36	kekhon	54
36	Blaiku	54
38	Di_infiri	50
39	diamondgolem35	48
40	Enderxz3	46
41	Legendosh	40
42	hermmm_	39
43	FiguraDei	37
44	ApophisNova	35
44	MyNamaSheff	35
46	xxPipperDipperxx	33
47	K_a__a_n	32
48	thescout7	31
48	Snowflowe	31
50	Akoot_	29
50	mihimihimihi	29
52	Alteriity	28
52	Blackberry1310	28
52	NameGenerat0r	28
55	Caribouse	27
55	mwrty	27
57	Mr_Byzantine	26
58	Mahoose	25
59	ConnorDanky_	24
60	rarrq	23
60	PlasticOtari	23
62	MyMawgDonaldsGon	21
62	groofles	21
62	TechnoNinja64	21
62	es0th	21
66	lordpipe	20
67	CLG_Kata	19
68	SoosAmongus	18
68	Rebytre	18
68	PigDab	18
71	PhantomsGhost_	17
71	luseis	17
71	El_Jalapeno	17
74	Creativebuilder2	16
74	Buuck_	16
74	miramyu	16
74	Ezekson	16
78	doublemaki	15
79	Lez_	14
79	Marbz_	14
79	EveryonesUncle	14
79	SammiWolfGirl	14
83	Merv__	13
83	Secret_Canary	13
83	Mattesco	13
83	Xclax101	13
83	xzvu	13
83	jnp_gaming	13
89	yheece	12
89	Groundler	12
89	jcool7	12
92	77Holly7	11
92	ImpavidArcher	11
92	Tyrannosplart	11
92	Blu3beast	11
92	stavgod	11
92	Njensen7	11
98	powercas_gamer	10
98	royal_2	10
98	Fullut	10
98	WET_WET_WET	10
98	pixelviolin	10
98	KingMatthew506	10
104	k_ce	9
104	Frozil20	9
104	TheSecondLord	9
104	_Dean_123	9
104	ROY4LE	9
104	Kubelz	9
104	Chromary	9
104	seramalen	9
104	Onennon	9
104	cedric72	9
104	TheShyPig	9
104	AspenLightVT	9
104	emreknugrlu	9
104	BumbleBeever	9
104	TheTommyGun63	9
104	Pumpkin_P_Patch	9
104	djancak	9
104	robonya_	9
104	Quotary	9
123	Literally_Rat	8
123	QuiCreans	8
123	MattieHD	8
123	Kkanot	8
123	hcb238	8
123	SuperPooch06	8
123	Reneedium	8
123	oscminus	8
123	Dakar_	8
123	Racengan	8
123	Kubeusz2010	8
123	Sral7	8
135	ewsophie	7
135	_Nuf	7
135	burbankbuilder28	7
135	claivin	7
135	E775	7
135	IlkeCookes_	7
135	_Mythic____	7
142	Groovy_MoonBird	6
142	T045RTY	6
142	DirtyDalle	6
142	HUNTERmaun	6
142	Tersea_	6
142	NieToksikpl	6
142	Crowman1	6
142	CliffEmAll	6
142	Comma__	6
142	2Stout	6
142	Covalents	6
142	Touched_Bread	6
142	ARandomHedge	6
142	John6970	6
142	mimbo1211	6
142	legal_tax_evader	6
142	pappaberg	6
142	Leyna3	6
142	Cocoamallows	6
142	07shiny	6
142	SvenskaHugo	6
142	TheKingK_	6
142	CalebDHawk	6
142	RadarHz	6
142	Jimb0nat0r	6
142	Biites	6
168	Bandito_Roamer	5
168	Napoleonpancake	5
168	I_Am_Mushkin	5
168	RatatJuice	5
168	Wooptey	5
168	MSK__	5
168	Gregward_Smith	5
168	ee_echo_oo	5
168	F_Uhre	5
168	DarlaMeow	5
168	The_slideV3	5
168	_Karmaa	5
168	weabis	5
168	Warlord324	5
168	NebulousBadger	5
168	Eraxa	5
168	starbits140	5
168	LeEricc	5
168	Eczbek	5
168	HesDemonPants	5
168	Powowowow	5
189	j5ylim	4
189	seanitoo	4
189	Auranymph	4
189	robertsnose	4
189	Huwulling	4
189	ShedJr_	4
189	Ssor69	4
189	heckface	4
189	TinMaster	4
189	Saucepeh	4
189	bloodbiter	4
189	ThePoliteG	4
189	TheThomas69	4
189	Awyrlas	4
189	Inchef	4
189	eviltunix	4
189	Xalithia	4
189	thgrocks	4
189	Maenara	4
189	fw3xy	4
189	DarkS0L	4
189	GravitySaint	4
189	monky_irl	4
189	MakeHistory157	4
189	kyouma777	4
189	__tomato	4
189	ediballbearings	4
189	Heisenbberrg	4
189	11Brewer	4
189	Nicserso	4
189	00000000-0000-0000-0009-01ff0c3e5e4f	4
220	Tool_Ren	3
220	squigglybones	3
220	dabloons	3
220	EKUG	3
220	AshleeCW	3
220	dobbloshooter12	3
220	Jindong	3
220	Paleshield	3
220	_Razaria	3
220	cheerytomato	3
220	ratglock	3
220	SteveCraftBlocks	3
220	500am	3
220	wiqor	3
220	GLLogan2	3
220	NotMeanttoChange	3
220	intropass	3
220	Juansinmiedo18	3
220	r123moore	3
220	imcombxt	3
220	M_Patata	3
220	nitram49b	3
220	whoaluv	3
220	Rumpletaezer	3
220	impossibleteapot	3
220	U_Mos_	3
220	wx4z	3
220	OreTheBear	3
220	Luminad3	3
220	Jimi7hits	3
220	Inbefour	3
220	handsome_strong	3
220	Meatlaugh	3
220	QuesoCrusaderIII	3
220	MasterNueve	3
220	nagyvad	3
220	WyngGoy	3
220	Optiprimus	3
220	ayamefag	3
220	SSytex_X	3
220	PortlyPete69	3
220	Dogcorn69420	3
220	Invintic	3
220	EngagedGrub41	3
220	TheBananaKat	3
220	TheOnlyRake	3
220	OfficerAnvil	3
220	Iamthejo	3
220	AltnumberF4	3
220	The_SlideV5	3
270	_Virify_	2
270	Tobinator_007	2
270	123louis456	2
270	Cowison	2
270	JohnnyMines	2
270	teslawolf38	2
270	ECstardust	2
270	Flex_Tape_Phil	2
270	LeberkasWeckerl	2
270	lorywithay	2
270	Natty	2
270	CoffeeNoir	2
270	Reamdin	2
270	Archsam	2
270	IgnoredBee	2
270	w3nd3lbo3	2
270	FirsTimeGamingTV	2
270	LoboTheLobster	2
270	Euclidoris	2
270	SnowfallUwU	2
270	Cryptacity	2
270	m_be9	2
270	ABUSNA1996	2
270	Studio4x32	2
270	eclipseboi	2
270	set67	2
270	himak1	2
270	Tjhodskins19	2
270	Stiar	2
270	XboxPanda	2
270	UncleDanDan	2
