rank	username	minecraft:picked_up/minecraft:scrape_pottery_sherd
1	oscminus	10
2	thewindmillman	6
3	TheKingK_	4
4	pixelviolin	3
5	k_ce	2
5	Mr_Byzantine	2
5	Buuck_	2
5	Pumpkin_P_Patch	2
5	Spaghettatron	2
10	MyMawgDonaldsGon	1
10	MattieHD	1
10	lpinfinity	1
