rank	username	minecraft:picked_up/minecraft:diamond_shovel
1	groofles	113
2	FreakGenius	109
3	Hyp3rion_	107
4	kekhon	85
5	eitanzaki	76
6	Di_infiri	73
7	Akoot_	61
8	Werbe	59
9	EcksD	47
10	masskedman	41
11	TechnoNinja64	32
12	Smashic	31
13	Blu3beast	30
14	thescout7	28
15	YungMaki	25
16	T045RTY	24
17	Blackberry1310	23
17	noam464	23
17	Legendosh	23
20	pintsizedrogue	22
20	Groundler	22
20	Yamdalorian	22
23	rarrq	21
24	Blaiku	20
24	lordpipe	20
26	xxPipperDipperxx	19
26	mimbo1211	19
26	hermmm_	19
26	jnp_gaming	19
30	mwrty	18
30	ROY4LE	18
30	gcaisawesome	18
30	cedric72	18
30	fffMike	18
35	HellsSponge	17
35	Spenduh	17
37	xzvu	16
37	ConnorDanky_	16
39	Groovy_MoonBird	15
39	hanaryheatwave	15
39	TheShyPig	15
39	TheKingK_	15
39	SpacesickPrism	15
44	Merv__	14
44	TheSecondLord	14
44	Mattesco	14
44	cog	14
44	BumbleBeever	14
44	Spacewardharpy7	14
44	Jimb0nat0r	14
51	beeperbeeper5	13
51	Saucepeh	13
51	Jackattack53	13
51	WET_WET_WET	13
51	EveryonesUncle	13
51	NameGenerat0r	13
51	annebolyn	13
58	MoistMicrowave	12
58	YairZaki	12
58	titanlax	12
58	Racengan	12
58	Kowcio_	12
58	__tomato	12
58	Soplight	12
58	PortlyPete69	12
58	KingMatthew506	12
58	skitzxo	12
68	NatalieTW	11
68	diamondgolem35	11
68	77Holly7	11
68	joethahobo	11
68	Hydro___________	11
68	Skylord_Luke	11
68	TheWildMateo	11
68	Maenara	11
68	El_Jalapeno	11
68	LeEricc	11
68	Eczbek	11
68	VentiHilton	11
80	k_ce	10
80	bigstankyy	10
80	Mahoose	10
80	himak1	10
80	SuperPooch06	10
80	thewindmillman	10
80	burbankbuilder28	10
80	PigDab	10
80	EdGalbraith	10
80	Manaateee	10
80	The_slideV3	10
80	p4pillio	10
80	PlzNoBM	10
93	I_Am_Mushkin	9
93	CoffeeNoir	9
93	ApophisNova	9
93	Onennon	9
93	fluddd	9
93	CattSoup	9
93	MyNamaSheff	9
100	SoosAmongus	8
100	6king6colt6	8
100	the_fireminer	8
100	Crowman1	8
100	_Dean_123	8
100	Fullut	8
100	Jonafrog99	8
100	Dakar_	8
100	Buuck_	8
100	Toriankel	8
100	stavgod	8
100	Eraxa	8
112	Jovaphobic	7
112	DinoDoctor_	7
112	ImpavidArcher	7
112	Lez_	7
112	skroobiez	7
112	UncreativeArtist	7
112	MyNameIsJobo	7
112	Snowflowe	7
112	oscminus	7
112	Corbsman	7
112	Elastiq	7
112	Lord_Jord	7
112	Gryglu583	7
112	ayamefag	7
112	Dogcorn69420	7
112	Njensen7	7
112	OfficerAnvil	7
112	taengoos	7
112	Iamthejo	7
112	cichy096	7
112	Powowowow	7
112	Zoeyfortnite	7
134	TheBiggestFeller	6
134	H0UNDFRMH3LL	6
134	_Huge_Male_	6
134	PhantomsGhost_	6
134	Frozil20	6
134	Archsam	6
134	Historical_Sand	6
134	Whiterooster001	6
134	TheThomas69	6
134	yheece	6
134	fragrantmonke444	6
134	OreTheBear	6
134	CaptainDeadBread	6
134	RobotMinion101	6
134	F_Uhre	6
134	wezzzi	6
134	luseis	6
134	Meatlaugh	6
134	OverallConcept	6
134	Fuad_R	6
134	claivin	6
134	wwwwinnebagoooo	6
134	MovingFish7	6
134	MakeHistory157	6
134	_Tilariel_	6
134	pixelviolin	6
134	Sral7	6
161	soundad	5
161	PazinGaming	5
161	Franco093	5
161	SquadMonster	5
161	Ssor69	5
161	picardred	5
161	ProfessorBee	5
161	GingerNeutron	5
161	Secret_Canary	5
161	Awyrlas	5
161	RIPB0ZO	5
161	RebytreGT	5
161	HyperCave	5
161	yulgur1	5
161	NomadicRobin_	5
161	Syropatathe	5
161	Tyrannosplart	5
161	DarlaMeow	5
161	MAns_44	5
161	Xclax101	5
161	MightyWertu	5
161	ElKaySVK	5
161	WyngGoy	5
161	sp00ky_ghost977	5
161	TheEnderMan548	5
