rank	username	minecraft:picked_up/minecraft:prismarine_crystals
1	Ezekson	1257562
2	Hyp3rion_	1029909
3	Jackattack53	159824
4	Blaiku	119363
5	EcksD	87471
6	noam464	75718
7	Paintz	19395
8	Frozil20	17577
9	Snowflowe	8129
10	HellsSponge	5885
11	Spacewardharpy7	4449
12	thewindmillman	4404
13	Jimb0nat0r	4281
14	Enderxz3	3603
15	Niklas20114552	3358
16	Mahoose	3235
17	gcaisawesome	2903
18	Zythose	2673
19	eitanzaki	2359
20	ImpavidArcher	2324
21	Kowcio_	2293
22	Legendosh	1946
23	Hisiste	1928
24	Yamdalorian	1822
25	Huwulling	1723
26	_Virify_	1564
27	ConnorDanky_	1556
28	_witch_craft_	1503
29	PigDab	1477
30	Spaghettatron	1466
31	Groundler	1337
32	EngagedGrub41	1289
33	beeperbeeper5	979
34	shadowthemonkey	971
35	Bumpy419	859
36	Airem_Core	772
37	SvenskaHugo	760
38	Mr_Byzantine	700
39	El_Jalapeno	682
40	MightyWertu	678
41	jcool7	575
42	Hiryu27	541
43	12Magner05	535
44	PhantomsGhost_	518
45	ItsColin11	489
46	fw3xy	443
47	Blu3beast	435
48	luseis	426
49	Gus2005	421
50	_Dean_123	415
51	Caribouse	406
52	joethahobo	395
53	catandmoose	370
54	xDraggin	342
55	pintsizedrogue	320
55	Jakobo1337	320
57	Lez_	318
58	Akoot_	305
59	lordpipe	298
60	TheShyPig	283
61	doublemaki	282
62	Tyrannosplart	277
63	Hahaa_0	267
64	Ryan_GEMS	251
65	RebelAndroid	239
66	diamondgolem35	238
67	powercas_gamer	230
68	EMC_	224
69	xxPipperDipperxx	214
70	Werbe	204
70	Xclax101	204
72	_Duckery	200
72	MilleGrug	200
74	Inchef	197
75	Steelynan	195
76	Soplight	194
77	hydrothebot	188
78	__tomato	181
79	Kakolbus	173
80	teslawolf38	170
81	Inbefour	166
82	M_Patata	165
82	MasterNueve	165
84	hoaimi	163
85	oscminus	158
86	MAns_44	157
87	Njensen7	155
88	Skippeh	154
89	QueenShuvi	152
90	Marbz_	148
91	Racengan	147
92	Optiprimus	145
93	MC_Skribble	144
94	Rumpletaezer	139
95	Leaille	128
95	Nicserso	128
97	royal_2	126
98	skroobiez	124
99	poopybh	120
100	Buuck_	118
101	XboxPanda	116
102	AstreaTSS	109
103	ROY4LE	108
104	Groovy_MoonBird	105
105	Di_infiri	103
105	SkateboardR6	103
107	Manaateee	102
108	FreakGenius	101
109	Awyrlas	100
109	r123moore	100
111	Comma__	98
112	h2p_emrld	94
113	AuroraValkyrie	92
114	emreknugrlu	90
115	T045RTY	89
115	voiding_	89
117	sp00ky_ghost977	87
118	lizardfightclub	86
118	EveryonesUncle	86
120	Druid95	84
121	kekhon	83
121	Maenara	83
123	titanlax	80
123	fffMike	80
125	AltnumberF4	79
125	calamariclam_I	79
127	Incinere	78
127	bpmm	78
127	TheSeismicDuck	78
130	Winklepicker279	77
131	rarrq	75
132	Blammm	74
132	PlasticOtari	74
134	cutelilreno	73
135	TechnoNinja64	70
136	I_Am_Mushkin	69
136	NomadicRobin_	69
138	Touched_Bread	68
138	wezzzi	68
140	TheDankPlatypus	66
140	stellarjay	66
142	Tongon	65
143	claivin	64
144	John6970	63
144	ooga47	63
146	kerryfull1	60
147	AlexxO_o	59
148	DinoDoctor_	58
148	Blackberry1310	58
150	Sheldor097	56
151	500am	55
151	Zaridey	55
153	Kyrum2169	54
153	OfficerAnvil	54
155	hm947	53
155	Rebytre	53
157	excelsionprime	52
157	Segotep999	52
159	corvidpartyfor6	51
160	SpouHn	50
160	Shogunite	50
162	MovingFish7	49
163	Jovaphobic	47
163	thescout7	47
163	King_Pancake1	47
163	jacobsoy	47
163	sigmabich	47
168	ChocolatePepsi	45
169	Apollo_993	44
169	NotMeanttoChange	44
171	Merv__	43
171	Powowowow	43
173	elicobnoah	42
173	eiC_	42
173	SammiWolfGirl	42
173	Sral7	42
173	diggydog67	42
178	Fullut	41
178	platinumzero	41
178	Mattesco	41
181	F_Uhre	40
181	Eraxa	40
183	gamerlord1324	39
183	UncleDanDan	39
183	HyperCave	39
183	Fizznut909	39
183	robonya_	39
188	6king6colt6	38
188	SuperPooch06	38
188	JoCoLi	38
191	Chromary	37
191	pixelviolin	37
191	SpacesickPrism	37
191	Dreamdbr14	37
195	Napoleonpancake	36
195	Windo_licker	36
197	Sleepy_Evelyn	35
197	Pumpkin_P_Patch	35
