rank	username	minecraft:picked_up/minecraft:ghast_tear
1	thewindmillman	19740
2	Di_infiri	599
3	Mahoose	391
4	Lez_	320
5	fanofbands101	268
6	Rebytre	256
7	Snowflowe	195
8	Hyp3rion_	193
9	Njensen7	192
10	kekhon	185
11	RobotMinion101	124
12	YungMaki	119
13	vandmanden	108
14	HellsSponge	106
15	oscminus	103
16	AdmiralSmoke	96
17	lordpipe	90
18	PigDab	89
19	Kowcio_	85
20	claivin	74
21	noam464	70
21	jnp_gaming	70
23	Zythose	68
24	TheSecondLord	67
25	Eraxa	65
26	UCP_TheKingK	61
27	pixelviolin	59
28	Maenara	56
29	Cocoamallows	55
30	xDraggin	53
31	audiocracked	48
32	RebelAndroid	46
33	Tyrannosplart	44
34	Alteriity	42
35	Inchef	39
36	Arceus1975	38
36	SingedBread	38
38	Spacewardharpy7	37
39	Enderxz3	36
40	gcaisawesome	35
40	Lord_Jord	35
42	Groovy_MoonBird	34
42	beeperbeeper5	34
42	Akoot_	34
45	MightyWertu	32
46	Fildyr	31
47	eitanzaki	30
47	Kakolbus	30
49	IamCL4SSY	29
50	FirsTimeGamingTV	28
50	Blaiku	28
52	xzvu	27
53	Kyrum2169	26
53	brofrickcheaters	26
55	PortlyPete69	25
56	Secret_Canary	24
56	Xclax101	24
56	33sudo	24
59	MyNameIsJobo	23
59	h2p_emrld	23
61	rarrq	22
61	Fullut	22
63	joethahobo	21
63	yulgur1	21
65	PhantomsGhost_	20
65	mwrty	20
65	imcombxt	20
65	Bumpy419	20
65	fluddd	20
70	pintsizedrogue	19
71	powercas_gamer	18
72	KomputerDude	17
72	ROY4LE	17
72	lillips	17
72	Groundler	17
76	EMC_	16
76	MattieHD	16
78	CLG_Kata	15
78	m_be9	15
78	ooga47	15
78	_Karmaa	15
78	Blu3beast	15
78	Skippeh	15
84	Historical_Sand	14
84	F_Uhre	14
84	sp00ky_ghost977	14
87	q_wq	13
87	lorywithay	13
87	NameGenerat0r	13
90	Huwulling	12
90	HolyVenom	12
90	stavgod	12
90	Soplight	12
90	Spenduh	12
95	12Magner05	11
95	yheece	11
95	TheShyPig	11
95	xolstoi	11
99	ApophisNova	10
99	Blamphe	10
99	Manaateee	10
99	Nycteus_	10
99	censorsheep	10
99	MyNamaSheff	10
105	_Virify_	9
105	bigstankyy	9
105	Hpdinosaur	9
105	Incinere	9
105	ITDV	9
105	NomadicRobin_	9
105	Lutres_	9
105	Razzgriz	9
113	Winklepicker279	8
113	masskedman	8
113	jcool7	8
113	Steelynan	8
113	Jimb0nat0r	8
118	k_ce	7
118	ImpavidArcher	7
118	TooManyDuck	7
118	livingdaydreams	7
118	301851	7
118	MinttyFressh	7
118	WET_WET_WET	7
118	OreTheBear	7
118	Rasmanden	7
118	Quincannon	7
118	alderban107	7
129	Frozil20	6
129	ActualPatbaf	6
129	excelsionprime	6
129	Xalithia	6
129	SellyZ	6
129	XboxPanda	6
129	Jackattack53	6
129	Onennon	6
129	Truckoss	6
129	NoChumpChange	6
129	WyngGoy	6
129	CalebDHawk	6
129	Ezekson	6
142	KarlKaek	5
142	T045RTY	5
142	Comma__	5
142	thescout7	5
142	eiC_	5
142	mariominejedi	5
142	ScootOfBoot	5
142	Kouridragon	5
142	AlexxO_o	5
142	Samificator	5
142	AlphaWolfPlaysMC	5
142	Inbefour	5
142	Segotep999	5
142	Iamthejo	5
142	Legendosh	5
142	TechnoNinja64	5
158	Paint	4
158	dimondking777	4
158	shineh10	4
158	I_Am_Mushkin	4
158	hm947	4
158	Tolhart	4
158	Flores991	4
158	Vizzoid	4
158	Shadoko_	4
158	ProfessorBee	4
158	zorin123	4
158	500am	4
158	emrekn	4
158	Zaridey	4
158	SuperPooch06	4
158	whoaluv	4
158	andy_rex	4
158	Werbe	4
158	SvenskaAlvar	4
158	ReSynced	4
158	Fuhrer_Teemo	4
158	Racengan	4
158	wwwwinnebagoooo	4
158	StarCookiees_	4
158	djancak	4
158	__tomato	4
158	_TCARREIRA_	4
158	Dogcorn69420	4
158	tartanboy	4
158	anbbang	4
158	EcksD	4
158	BreadBacon	4
158	Zoeyfortnite	4
158	JayToe	4
192	dudcreeper	3
192	Cowison	3
192	Merv__	3
192	ECstardust	3
192	lotarp	3
192	Reamdin	3
192	set67	3
192	fade_emerge78823	3
192	Mewar	3
192	xxPipperDipperxx	3
192	Touched_Bread	3
192	_8man	3
192	HyperCave	3
192	zToasty69z	3
192	TheTrueClipse	3
192	ogoa	3
192	Hahaa_0	3
192	gustarlep	3
192	EveryonesUncle	3
192	fkGrim	3
192	Deathkob	3
192	DemTechAlpha	3
192	AstreaTSS	3
192	FreakGenius	3
192	Barlycorn	3
192	monky_irl	3
192	tsitrawhy	3
192	SSytex_X	3
192	lcvezra	3
192	stellarjay	3
192	fffMike	3
192	Nicserso	3
192	Powowowow	3
192	diggydog67	3
226	Jovaphobic	2
226	abramgray	2
226	Saucepeh	2
226	ratglock	2
226	QuakerOatsGod	2
226	Nicky_H225	2
226	Tiberonus	2
226	SharpDev	2
226	theonlymagikarp	2
226	Covalents	2
226	platinumzero	2
226	ReverendSmith	2
226	Chromary	2
226	JitteryJared2	2
226	Eczbox	2
226	Hoid_the_Roamer	2
226	tobinwilliams	2
226	ougstur	2
226	wezzzi	2
226	Meepcraft	2
226	Deodorante	2
226	_Bguette_	2
226	Shogunite	2
226	Vorlice	2
226	_Meow_Mix	2
226	mihimihimihi	2
226	Druid95	2
226	Eczbek	2
226	erkada	2
226	FelixPSY375	2
226	AltnumberF4	2
226	PlasticOtari	2
226	trexgb	2
226	00000000-0000-0000-0009-01f532a65833	2
260	Gu_Yue_Fang_Yuan	1
260	Bandito_Roamer	1
260	Mr_Byzantine	1
260	Froste131	1
260	SyK7	1
260	TooPure2	1
260	soundad	1
260	Napoleonpancake	1
260	AuroraValkyrie	1
260	ImNotYuqii	1
260	6king6colt6	1
260	xXTheWolfmanXx	1
260	Allchemy	1
260	openatheclose	1
260	Franco093	1
260	No_u4	1
260	H72l9w	1
260	IWorkAtIkea	1
260	Stynxy	1
260	Valoth	1
260	Blackberry1310	1
260	Crowman1	1
260	xPixelRainx	1
260	CliffEmAll	1
260	Cryptacity	1
260	jacxhadow	1
260	TheThomas69	1
260	Smashic	1
260	Mookle96	1
260	surfinggiraffejp	1
260	r123moore	1
260	M_Patata	1
260	ImDisconnected_	1
260	Marbz_	1
260	Rumpletaezer	1
260	RefluxRatio	1
260	burbankbuilder28	1
260	Krowuss	1
260	KartivGal	1
260	R1CHY2K	1
260	spellmre	1
