rank	username	minecraft:picked_up/minecraft:grass
1	lordpipe	2796
2	thewindmillman	2483
3	SammiWolfGirl	2288
4	500am	2275
5	Arceus1975	2225
6	kekhon	1906
7	Lez_	1499
8	luseis	1447
9	LeauVox4921	1347
10	PhantomsGhost_	1226
11	calamariclam_I	1180
12	Legendosh	1064
13	EveryonesUncle	1003
14	Marbz_	1000
15	Akoot_	954
16	hanaryheatwave	940
17	Alteriity	915
18	ECstardust	879
19	FreakGenius	810
20	Groovy_MoonBird	740
21	cedric72	725
22	TechnoNinja64	719
23	mwrty	674
24	NomadicRobin_	617
25	T045RTY	610
26	_Bguette_	606
27	Auseawesome	587
28	RoskobiOne	555
29	diamondgolem35	520
30	r123moore	483
31	SvenskaHugo	480
32	ARandomHedge	457
33	Soplight	455
34	Enderxz3	440
35	TheSecondLord	435
36	beeperbeeper5	430
37	Racengan	421
38	Covalents	415
39	Hyp3rion_	405
40	Blackberry1310	390
41	bloodbiter	388
42	SlayerCrypto	385
43	The_Cruncy	378
44	skrongus	361
45	TheShyPig	358
46	HolyVenom	293
47	Azmodan_246	292
48	q_wq	289
49	Kkanot	285
50	Zoeyfortnite	284
51	_Dean_123	280
52	GooseWithin	256
53	SpacesickPrism	246
54	Cryptacity	244
55	obzii	237
56	El_Jalapeno	236
57	Jackattack53	233
58	Frozil20	231
58	6king6colt6	231
60	StinkyDiplomat	218
61	Mattesco	215
62	Werbe	213
63	MyNameIsJobo	194
63	Krowuss	194
65	jushykins	193
66	EMC_	188
67	WET_WET_WET	185
68	Inbefour	179
69	oscminus	173
69	claivin	173
71	rarrq	172
72	noam464	167
72	seramalen	167
74	Manaateee	158
75	Nicserso	155
76	Soap_Bender	153
77	_3Stump_	144
78	SnowyAvi	143
79	Ryker	141
80	xxPipperDipperxx	137
80	F_Uhre	137
82	YungMaki	134
83	Fullut	133
84	pintsizedrogue	130
85	Sral7	126
86	prizm_	125
87	corvidpartyfor6	123
88	titanlax	116
88	MineMaster0012	116
90	Eraxa	110
91	cheerytomato	103
92	MOSS000	99
93	eitanzaki	94
93	legal_tax_evader	94
95	orxngejuice	92
96	Airem_Core	91
97	burbankbuilder28	87
98	Mariopreeet	85
98	AdmiralSmoke	85
100	Kubelz	84
100	AltnumberF4	84
100	PlasticOtari	84
103	peachfuzz1267	83
104	Sleek_Storm_721	82
104	Factoroni	82
104	Kowcio_	82
107	Merv__	80
108	SaucyDark	79
109	laron58	77
109	coobert42	77
111	rachcl	75
111	MintyTuna	75
113	lcvezra	73
114	wezzzi	71
115	Chromary	70
116	DarkLawD	66
117	fr0stss	65
117	CalebDHawk	65
117	Deliriohm	65
120	H72l9w	64
120	2Stout	64
122	Huwulling	62
123	Onennon	58
123	PaperCanvas	58
123	fkGrim	58
126	himak1	57
126	Steelynan	57
128	__tomato	54
129	ShedJr_	51
129	KingEgg1	51
129	ebanana	51
129	Hermanni__	51
133	hm947	50
133	Mahoose	50
135	Historical_Sand	49
136	Quaintster	48
137	PigDab	47
137	Lutres_	47
139	Scathra	45
140	slkiey	44
141	123louis456	42
141	fr_ser	42
141	LordAurum	42
144	M_Patata	41
144	Jiminbub	41
144	MasterNueve	41
147	MAns_44	40
148	ApophisNova	39
148	MyNamaSheff	39
150	hcb238	38
151	wwwwinnebagoooo	36
151	Dogcorn69420	36
153	Zythose	35
153	FlashMigma	35
155	Ailmast	33
155	Tyrannosplart	33
157	kyouma777	32
157	UCP_TheKingK	32
159	Njensen7	31
160	Mr_Byzantine	30
160	ColeSnyder	30
160	corpsecity	30
160	Leyna3	30
160	HellsSponge	30
160	smogfrog	30
166	ROY4LE	29
166	TheSeismicDuck	29
168	joethahobo	28
168	__Fanda__	28
168	epiksk8erduck	28
171	Xclax101	27
172	gcaisawesome	26
172	Blu3beast	26
172	Kubeusz2010	26
172	Skippeh	26
176	KarlKaek	25
176	RatatJuice	25
176	m_be9	25
176	WhyTho_1	25
180	JollyDroopy52	24
180	CattSoup	24
182	CoffeeNoir	23
182	OffWithTheirHead	23
184	Deu_Stew	22
184	set67	22
184	rotten_mango	22
184	_KuruKuru	22
188	Natty	21
188	PegLegPete93	21
188	NormanFetus	21
188	valkam13	21
188	ese_wn_po	21
188	xolstoi	21
194	SmashingPump	20
194	ImpavidArcher	20
194	Snowflowe	20
194	MinuteMira	20
194	NameGenerat0r	20
199	Kakolbus	19
199	DarlaMeow	19
199	Deguns123	19
202	Pofen	17
202	Di_infiri	17
202	The_Fulgurator	17
205	MakeHistory157	16
205	djancak	16
207	Dblikstad	15
207	JitteryJared2	15
207	Lekol	15
207	xzvu	15
211	_Huge_Male_	14
211	Fakiuss	14
211	Russiancat1	14
211	Deathkob	14
211	_Karmaa	14
211	MovingFish7	14
217	whoaluv	13
217	anbbang	13
219	dabloons	12
219	lorpus	12
219	surfinggiraffejp	12
219	LeonelSalamanca	12
219	Dakar_	12
219	mihimihimihi	12
219	Kura2218	12
226	I_Am_Mushkin	11
226	heckface	11
226	Euclidoris	11
226	Crowman1	11
226	Rebytre	11
226	Elastiq	11
226	The_slideV3	11
226	Luigipunch989	11
234	ImNotYuqii	10
234	thescout7	10
234	JETrotter	10
234	BronkerBrum	10
234	XxCookiequeenxX	10
234	KlausVonStiglitz	10
234	GravitySaint	10
241	Swexti	9
241	Jonte0599	9
241	DemTechAlpha	9
241	layabout100	9
241	zOnlyKroks	9
246	SaltineDream	8
246	teslawolf38	8
246	ewsophie	8
246	SyntheticSurgeon	8
246	ITDV	8
246	Comma__	8
246	The11thDoctor	8
246	Y_A_N_N_I	8
246	pi_E_	8
246	Ritter__	8
246	LordSpeed37	8
246	mobunni	8
258	ccormacs	7
258	PeteO1995	7
260	Cowison	6
260	PazinGaming	6
260	EkkoTraveler	6
260	IWorkAtIkea	6
260	Nicky_H225	6
260	12Magner05	6
260	Smashic	6
260	GLLogan2	6
260	4774	6
260	NotMeanttoChange	6
260	CollinMH06	6
260	SvenskaSara	6
260	IamCL4SSY	6
260	Lord_Jord	6
260	Meatlaugh	6
260	LokisCharredFace	6
260	Optiprimus	6
277	Killercatty78	5
277	TheMaster972	5
277	Stynxy	5
277	Septemb3r	5
277	ItsAki_	5
277	zToasty69z	5
277	YahooScreen9000	5
277	groofles	5
277	pixelviolin	5
277	Nekomin0	5
277	ConnorDanky_	5
288	heysushii	4
288	Argraol	4
288	bigstankyy	4
288	Ssor69	4
288	Frxnkz	4
288	MattieHD	4
288	G1ldor	4
288	boog4loo	4
288	RIPB0ZO	4
288	TheDankPlatypus	4
288	Winklepicker279	4
288	AJplaysMC_	4
288	Meepcraft	4
