rank	username	minecraft:picked_up/minecraft:mossy_stone_brick_slab
1	Eraxa	157
2	Mahoose	71
3	HellsSponge	65
4	Merv__	60
5	Winklepicker279	56
6	Comma__	44
7	Soplight	35
8	KarlKaek	33
8	Freak_Genius	33
10	Onennon	18
11	500am	14
12	pintsizedrogue	8
12	Xalithia	8
12	El_Jalapeno	8
15	Z3braYTIL	6
16	Di_infiri	5
17	Cryptacity	4
17	TheSeismicDuck	4
17	oxfordschool	4
20	Rich_Kat	3
20	killmeiamtraitor	3
20	Leyna3	3
20	MyNameIsDakar	3
20	Shogunite	3
20	Nycteus_	3
20	Ezekson	3
20	Legendosh	3
20	diggydog67	3
29	ccormacs	2
29	rarrq	2
29	Kubelz	2
29	ormr_kin	2
29	Maenara	2
29	NomadicRobin_	2
29	SvenskaHugo	2
29	Spenduh	2
29	Kubeusz2010	2
29	AltnumberF4	2
39	fanofbands101	1
39	Drlzyy	1
39	Flores991	1
39	Incinere	1
39	Natofthese	1
39	Historical_Sand	1
39	SquadMonster	1
39	Euclidoris	1
39	Khelvoryk	1
39	12Magner05	1
39	set67	1
39	Dali1465	1
39	LotusProject	1
39	ROY4LE	1
39	noam464	1
39	breadbowlgamer	1
39	Jackattack53	1
39	Hyp3rion_	1
39	KartivGal	1
39	yulgur1	1
39	MAns_44	1
39	Frozil12	1
39	Toriankel	1
39	Yahir091	1
39	monky_irl	1
39	djancak	1
39	UltraZombie	1
39	KingMatthew506	1
39	Hermanni__	1
39	RadarHz	1
39	HesDemonPants	1
39	Smoke____	1
