rank	username	minecraft:picked_up/minecraft:warped_stem
1	thewindmillman	333484
2	Hyp3rion_	126124
3	noam464	103326
4	EcksD	55002
5	Blaiku	19653
6	Jackattack53	19049
7	12Magner05	14177
8	joethahobo	7426
9	eitanzaki	5154
10	Crowman1	3610
11	Blackberry1310	3178
12	Snowflowe	2949
13	gcaisawesome	2934
14	rarrq	2848
15	beeperbeeper5	2756
16	Akoot_	2404
17	BlancoFlaco	2295
18	MilleGrug	2279
19	Historical_Sand	2203
20	Yamdalorian	2116
21	NomadicRobin_	1870
22	skitzxo	1854
23	HolyVenom	1768
24	Xalithia	1646
25	RebelAndroid	1635
26	TheEnderMan548	1617
27	SpacesickPrism	1614
28	pintsizedrogue	1420
29	Ezekson	1392
30	YungMaki	1290
31	shrimp_flips	1202
31	Enderxz3	1202
33	EveryonesUncle	991
34	Lutres_	960
35	mwrty	950
36	Mr_Byzantine	932
37	Kowcio_	831
38	kekhon	806
39	TheSecondLord	797
40	Alteriity	777
41	Spacewardharpy7	776
42	Kakolbus	764
43	TheDankPlatypus	751
44	FreakGenius	729
45	Dakar_	694
46	RebytreGT	683
47	ConnorDanky_	671
48	Fullut	664
49	VentiHilton	652
50	djancak	640
51	r123moore	623
52	00000000-0000-0000-0009-01ff0c3e5e4f	562
53	Cowison	540
54	soundad	536
55	Arceus1975	528
56	500am	519
57	fragrantmonke444	503
58	Werbe	448
59	EMC_	422
60	mihimihimihi	421
61	RoskobiOne	404
62	bl1ss0	402
63	Nicserso	397
64	diamondgolem35	395
65	Steelynan	393
66	SuperPooch06	383
66	Galactic_Badger	383
68	CliffEmAll	376
69	luseis	364
70	hermmm_	352
71	pumpfonzo	347
72	Mattesco	341
73	lorpus	334
74	Huwulling	332
75	teslawolf38	301
76	_Dean_123	289
77	MSK__	286
78	StarCookiees_	279
79	Decaying_Lotus	276
80	Shogunite	265
81	KarlKaek	258
82	Lez_	248
83	_Razaria	243
84	Ryker	233
85	Biites	227
86	Apollo_993	221
87	Moofyman	218
88	King_Pancake1	212
89	Winklepicker279	209
90	Luigipunch989	208
91	PigDab	207
92	Mahoose	205
93	Marbz_	195
93	Legendosh	195
95	Wolf_Mauler_73	192
96	PlasticOtari	189
97	Jimb0nat0r	184
98	IgnoredBee	179
99	BobDeBouwer1337	176
99	himak1	176
101	HellsSponge	168
102	Awyrlas	164
103	Elastiq	154
104	Krowuss	153
105	Blasterboy54	143
106	lizardfightclub	142
107	CoffeeNoir	139
108	Quotary	137
109	Napoleonpancake	131
110	xxPipperDipperxx	129
111	Syropatathe	128
111	LeeMcGee30	128
113	SammiWolfGirl	120
114	Hoid_the_Roamer	118
115	DarlaMeow	116
116	Di_infiri	112
117	ShedJr_	111
117	pixelviolin	111
117	EngagedGrub41	111
120	_Huge_Male_	110
121	Hpdinosaur	102
122	livingdaydreams	96
123	CalebDHawk	93
124	TheShyPig	88
125	Optiprimus	86
125	Eraxa	86
127	MattieHD	85
127	TheALV	85
129	Niklas20114552	83
129	T045RTY	83
129	Lord_Jord	83
132	Soplight	81
133	Kubelz	80
134	Hisiste	79
135	Skippeh	78
136	Manaateee	76
137	orxngejuice	73
137	monky_irl	73
139	set67	68
140	emreknugrlu	65
141	Winston_Ingram	63
142	ZoharGoldMine	61
143	PhantomsGhost_	60
143	TheWildMateo	60
143	AlexxO_o	60
146	Sleepy_Evelyn	58
146	Pumpkin_P_Patch	58
148	PegLegPete93	57
149	breadbowlgamer	55
150	RatatJuice	52
151	Kubeusz2010	50
152	MightyWertu	48
152	ZeroKraken	48
154	SpartanNamor	40
154	CarltheCuck	40
