rank	username	minecraft:picked_up/minecraft:brick
1	thewindmillman	64837
2	Freak_Genius	6901
3	Steelynan	2093
4	Spacewardharpy7	1262
5	Legendosh	1007
6	lordpipe	957
7	EcksD	871
8	chipklip	812
9	beeperbeeper5	632
10	HellsSponge	523
11	eitanzaki	504
12	Quotary	444
13	Smoke____	394
14	Frozil20	385
14	Kubelz	385
16	Werbe	324
16	El_Jalapeno	324
18	Doom_melon	320
19	OfficerAnvil	312
20	kekhon	256
21	Mahoose	240
22	Jiminie	239
23	Spaghettatron	232
24	ReyTheLegend	220
25	ApophisNova	217
25	MyNamaSheff	217
27	Onennon	209
28	PhantomsGhost_	202
29	Kakolbus	192
29	BumbleBeever	192
31	UCP_TheKingK	190
32	CliffEmAll	174
33	Ezekson	172
34	NameGenerat0r	167
35	KarlKaek	164
36	Toriankel	161
37	Masssonnn	160
37	emrekn	160
39	Khelvoryk	156
40	ewsophie	139
41	noam464	137
42	Historical_Sand	129
43	gcaisawesome	128
43	The_slideV3	128
45	r123moore	127
46	Alteriity	124
47	pixelviolin	123
48	Blackberry1310	122
49	tsitrawhy	113
50	Smashic	104
51	Hyp3rion_	103
52	RodSerlingCringe	93
53	Kokeech	84
54	theofiel	80
55	oxfordschool	78
56	xxPipperDipperxx	75
57	KingMatthew506	67
58	Inbefour	66
58	TechnoNinja64	66
60	Natty	64
60	Chromary	64
62	titanlax	61
63	Huwulling	60
63	epiksk8erduck	60
65	fade_emerge78823	58
66	adiccting01	57
67	SaucyDark	56
67	DarlaMeow	56
69	lcvezra	54
70	censorsheep	53
71	Ssor69	52
71	Di_infiri	52
71	Jimi7hits	52
74	Kowcio_	51
75	Groovy_MoonBird	50
76	DarkS0L	48
76	DkansK	48
78	Bandito_Roamer	46
78	LotusProject	46
80	SyntheticSurgeon	44
80	JohnPrice	44
82	SuperPooch06	43
83	Inchef	41
84	stahouo	40
85	RatatJuice	37
85	Jeteight	37
87	NomadicRobin_	34
88	Rasmanden	32
88	Nicserso	32
88	vandmanden	32
91	2Stout	31
91	xorompole	31
93	AlexxO_o	30
93	Akoot_	30
95	Prismyst	29
96	TableTim	26
97	_Tilariel_	24
98	EcksDofficial	22
99	MunkaKris	21
99	joethahobo	21
99	surfinggiraffejp	21
99	Hoid_the_Roamer	21
99	natajimi	21
99	SammiWolfGirl	21
105	sp00ky_ghost977	20
105	Yogscast_Manden	20
107	SvenskaHugo	18
108	featherflyy	17
108	cowgirlkasia	17
108	wezzzi	17
111	Swexti	15
111	Covalents	15
113	fallingemma	14
114	pintsizedrogue	13
114	TheSecondLord	13
116	CalebDHawk	11
116	anbbang	11
118	12Magner05	10
118	AJplaysMC_	10
118	Hermanni__	10
118	AltnumberF4	10
122	KeruNatsema	9
122	MyNameIsDakar	9
124	Argraol	8
124	_Dean_123	8
124	groofles	8
124	Ashton1242	8
128	Dedalus36	7
128	SvenskaAlvar	7
128	EfficientC52	7
128	kinas45y5	7
132	6king6colt6	6
132	parodypatient	6
132	Soplight	6
132	jnp_gaming	6
136	Merv__	5
136	ROY4LE	5
138	Cryptacity	4
138	dartwaffle	4
138	_Bguette_	4
138	Blu3beast	4
138	Eraxa	4
138	PlasticOtari	4
144	Fullut	3
144	mariominejedi	3
144	yaboo88	3
144	TheShyPig	3
144	thgrocks	3
144	audiocracked	3
144	Xclax101	3
144	robotemo	3
152	_stets	2
152	SteveCraftBlocks	2
152	Arceus1975	2
152	cwartzo	2
152	drompje	2
152	wobn	2
152	Blaiku	2
152	MovingFish7	2
152	djancak	2
152	Njensen7	2
152	00000000-0000-0000-0009-01f73aa9620f	2
163	rarrq	1
163	m_be9	1
163	500am	1
163	BilboBaggins23	1
163	himak1	1
163	Xalithia	1
163	Ecplosive	1
163	Marbz_	1
163	Jackattack53	1
163	vampgey	1
163	burbankbuilder28	1
163	LeGold	1
163	Luminad3	1
163	Lord_Jord	1
163	stuy9	1
163	EveryonesUncle	1
163	Fuad_R	1
163	Bloo2406	1
163	Barlycorn	1
163	MelaninStealer	1
163	bloomkieren	1
163	Enderslayerxz3	1
163	Teebone15	1
163	JayToe	1
163	Deliriohm	1
