rank	username	minecraft:picked_up/minecraft:cobbled_deepslate_stairs
1	gcaisawesome	6312
2	EveryonesUncle	252
3	Huwulling	162
4	AltnumberF4	145
5	MuffinManzz	133
6	PazinGaming	128
7	CattSoup	126
8	Btabtab	118
9	lordpipe	115
10	pintsizedrogue	103
11	Mr_Byzantine	100
12	Crowman1	98
13	TheSecondLord	96
14	non089	95
15	dartwaffle	92
16	prizm_	84
17	thewindmillman	78
18	tuckerdoodle	75
19	TheKingK_	73
20	PlasticOtari	70
21	500am	69
22	Werbe	56
23	Yamdalorian	52
24	Mattesco	49
24	Penguinllama517	49
26	joethahobo	47
26	QuesoCrusaderIII	47
28	Kubelz	45
29	Hydro___________	42
30	MinttyFressh	39
31	LeauVox4921	35
32	Patwannabegamer	33
33	hm947	32
34	ImpavidArcher	30
35	k_ce	27
36	skroobiez	26
36	SpicyDuckMan	26
38	Megarboh	22
38	91stCataclysm	22
40	Enderxz3	21
41	12Magner05	19
42	EMC_	17
42	nattybears	17
42	Sorry_Arey	17
45	SOA1RR	16
46	Olib3ar	15
46	WYFYoyo	15
48	Jackattack53	12
48	Galactic_Badger	12
48	mobunni	12
48	Nicserso	12
52	MattieHD	11
52	Smashic	11
52	Jimb0nat0r	11
55	Hahaa_0	10
55	Manaateee	10
55	BeardBois	10
58	_Huge_Male_	9
58	Prismyst	9
58	YungMaki	9
61	shineh10	8
61	Skylord_Luke	8
61	Akoot_	8
61	MAns_44	8
61	ZoomieZoomie	8
66	CoffeeNoir	7
66	NLKBuilder	7
66	RebytreGT	7
69	corpsecity	6
69	fw3xy74	6
69	00000000-0000-0000-0009-01ff0c3e5e4f	6
72	LagVibes	5
72	rarrq	5
72	The_Fulgurator	5
72	BungalowBeet	5
76	Alteriity	4
76	beeperbeeper5	4
76	Reneedium	4
76	luseis	4
76	ATurtle4936	4
76	fluddd	4
82	RatatJuice	3
82	bubbLyPrototype	3
82	Moofyman	3
82	weabis	3
82	Kowcio_	3
82	CalebDHawk	3
82	00000000-0000-0000-0009-01faf4342590	3
89	RoskobiOne	2
89	TheWildMateo	2
89	TJawesome09	2
89	Sepulcro	2
89	Spacewardharpy7	2
89	Invintic	2
95	ECstardust	1
95	lorywithay	1
95	Mahoose	1
95	MrKrabOnCoke	1
95	Tersea_	1
95	Blackberry1310	1
95	excelsionprime	1
95	ZeroAbyssTTV	1
95	Marbz_	1
95	Weepingbiel	1
