rank	username	minecraft:picked_up/minecraft:deepslate_redstone_ore
1	Hyp3rion_	3078
2	500am	1745
3	Enderxz3	1349
4	Apollo_993	1182
5	Nicserso	1073
6	MattieHD	905
7	hanaryheatwave	897
8	corvidpartyfor6	811
9	EMC_	775
10	LeauVox4921	697
11	Kakolbus	628
12	PlasticOtari	616
13	excelsionprime	581
14	Segotep999	548
15	Kowcio_	513
16	luseis	487
17	Smashic	476
18	shadowthemonkey	368
19	pixelviolin	312
20	SkinnyBois	288
21	MC_Gamer_Geek	286
22	SingedBread	281
23	MAns_44	268
24	Manaateee	260
25	pintsizedrogue	257
26	calamariclam_I	244
27	Mahoose	232
27	SvenskaHugo	232
29	Marbz_	228
30	Snowflowe	227
31	YungMaki	222
32	SpacesickPrism	214
33	Jimb0nat0r	202
34	BungalowBeet	198
35	PaperCanvas	192
36	H0UNDFRMH3LL	187
37	RebelAndroid	186
38	ITDV	182
39	PazinGaming	179
40	KingEgg1	176
41	gcaisawesome	161
42	j5ylim	160
43	beeperbeeper5	156
43	masskedman	156
45	groofles	152
45	Lutres_	152
47	tuckerdoodle	150
48	Soplight	147
49	RoskobiOne	144
49	Lez_	144
51	Buuck_	143
52	thewindmillman	141
53	Meeerkat	128
54	Jimi7hits	122
55	Crowman1	112
56	Ryker	111
57	fw3xy74	109
58	TheSecondLord	101
59	Huwulling	98
60	SyntheticSurgeon	95
61	EveryonesUncle	92
62	Werbe	81
62	lordpipe	81
64	noam464	80
64	MustardSquid	80
66	Samificator	74
67	MinttyFressh	73
68	AdmiralSmoke	70
69	ECstardust	69
69	StinkyDiplomat	69
71	StarCookiees_	68
72	dimondking777	64
72	Jackattack53	64
74	Mattesco	59
75	bearlystraight	58
76	powercas_gamer	55
76	infiniteQuery	55
78	NoHaHeHa	54
79	MineMaster0012	53
80	dartwaffle	52
80	mihimihimihi	52
82	joethahobo	51
82	Steelynan	51
84	q_wq	49
84	T045RTY	49
86	Megarboh	48
86	GooseWithin	48
88	mrnosetackle	43
89	catandmoose	42
89	Hermanni__	42
91	Krowuss	41
92	EcksD	38
93	ZeroKraken	37
94	jessewegottacook	36
95	ImpavidArcher	32
95	Flores991	32
95	Secret_Canary	32
95	AstreaTSS	32
99	CLG_Kata	29
99	KGTV	29
99	Silvo614	29
102	Da_Boss_Rani	28
103	diamondgolem35	27
104	k_ce	24
104	_stets	24
106	ZoomieZoomie	23
106	EngagedGrub41	23
106	Iamthejo	23
109	Timfinity4	21
109	Steve897	21
109	Legendosh	21
112	CoffeeNoir	20
112	Toriankel	20
114	Winklepicker279	19
114	SvenskaAlvar	19
116	MilleGrug	18
117	Alteriity	17
117	FreakGenius	17
119	12Magner05	15
119	poopybh	15
119	BronkerBrum	15
119	wwwwinnebagoooo	15
123	Deathkob	13
123	_Mythic____	13
125	SmashingPump	12
125	Inchef	12
125	Xalithia	12
125	oscminus	12
125	UCP_TheKingK	12
125	AltnumberF4	12
131	TAKrules	11
131	jcool7	11
133	ZaneABrain	10
133	rarrq	10
133	corpsecity	10
133	KujikawaRisechi	10
137	Miroryk	9
137	kekhon	9
137	UMosDiesIrae	9
137	ApophisNova	9
137	Spacewardharpy7	9
137	MyNamaSheff	9
143	itburb	8
143	Sheldor097	8
143	xolstoi	8
146	hm947	7
146	lorywithay	7
146	hcb238	7
146	Sorry_Arey	7
146	TheALV	7
151	PigDab	6
151	lillips	6
151	verynothing	6
154	Mr_Byzantine	5
154	Crizma_	5
154	ARandomHedge	5
154	Rebytre	5
154	Skylord_Luke	5
154	Elastiq	5
154	IdeallyGrey	5
161	Valoth	4
161	Fuad_R	4
161	fluddd	4
161	_i_ERROR_i_	4
161	KeterComet	4
161	Ezekson	4
167	benediktine1	3
167	AlexxO_o	3
167	LeonelSalamanca	3
167	ItsDeltaMC	3
171	Sleepy_Time_	2
171	Luminad3	2
171	Eczbek	2
171	CattSoup	2
171	2blox_	2
176	eitanzaki	1
176	nattybears	1
176	ShedJr_	1
176	Masssonnn	1
176	xxPipperDipperxx	1
176	91stCataclysm	1
176	Jonafrog99	1
176	Strats__	1
176	Solar_Power	1
176	WYFYoyo	1
