rank	username	minecraft:picked_up/minecraft:mossy_stone_brick_wall
1	Reamdin	67
2	Yamdalorian	61
3	ECstardust	29
4	Blackberry1310	20
5	Maenara	15
6	500am	12
7	Shogunite	10
8	Manaateee	9
9	thescout7	6
10	pintsizedrogue	5
10	Winklepicker279	5
10	Enderxz3	5
13	Di_infiri	4
13	Kynigito	4
15	Rich_Kat	3
15	noam464	3
15	TheShyPig	3
15	Kowcio_	3
19	Mahoose	2
19	rarrq	2
19	Mimiir345	2
19	thewindmillman	2
19	Freedrik	2
24	NatalieTW	1
24	Merv__	1
24	EMC_	1
24	beeperbeeper5	1
24	DarkDescent2392	1
24	_Dean_123	1
24	Jackattack53	1
24	SuperPooch06	1
24	killmeiamtraitor	1
24	Onennon	1
24	DemTechAlpha	1
24	miramyu	1
