rank	username	minecraft:picked_up/minecraft:orange_concrete_powder
1	Hyp3rion_	55040
2	mwrty	683
3	joethahobo	423
4	Steelynan	397
5	ImpavidArcher	274
6	thewindmillman	225
7	Jackattack53	184
8	Mahoose	140
9	Hiryu27	132
10	Werbe	131
11	Spacewardharpy7	116
12	ROY4LE	98
13	HellsSponge	82
14	pintsizedrogue	70
14	The_SlideV5	70
16	eitanzaki	65
16	_Dean_123	65
18	TechnoNinja64	62
19	Fullut	60
19	TheShyPig	60
21	ApophisNova	55
21	GravitySaint	55
21	MyNamaSheff	55
24	beeperbeeper5	45
24	Arceus1975	45
26	Frozil20	38
27	Blaiku	36
28	YungMaki	34
29	SteveCraftBlocks	32
29	El_Jalapeno	32
29	HyperPaw5457	32
32	bloodbiter	30
32	sp00ky_ghost977	30
34	Historical_Sand	29
35	T045RTY	27
36	NotMeanttoChange	22
36	Eraxa	22
38	SammiWolfGirl	19
39	rarrq	17
39	The_slideV3	17
41	Mattesco	16
41	Enderxz3	16
43	2Stout	15
43	AdmiralSmoke	15
45	MakeHistory157	14
46	diamondgolem35	12
46	fr_ser	12
48	Incinere	11
48	r123moore	11
50	UCP_TheKingK	9
51	CoffeeNoir	8
51	PlasticOtari	8
53	Blackberry1310	7
53	MattieHD	7
53	Itz_DuongVN	7
53	the_russell1611	7
57	StanceTB	5
57	Zythose	5
57	lordpipe	5
57	Sral7	5
61	catandmoose	4
61	Smashic	4
61	xxPipperDipperxx	4
61	noam464	4
61	IAmTheWalrus910	4
61	CalebDHawk	4
67	Merv__	3
67	oreee	3
67	Notta	3
67	WWWWMWWWWWWWWWWW	3
67	Truckoss	3
67	Kowcio_	3
67	Sheldor097	3
67	Hermanni__	3
67	jnp_gaming	3
67	Jimb0nat0r	3
77	clamt	2
77	oscminus	2
77	LeonelSalamanca	2
77	luseis	2
77	Katthaj	2
77	claivin	2
77	lexrl_	2
77	Powowowow	2
85	AuroraValkyrie	1
85	6king6colt6	1
85	Sabby65	1
85	Huwulling	1
85	301851	1
85	MinerDec	1
85	Ximid	1
85	_Bguette_	1
85	lillips	1
85	Manaateee	1
85	DarlaMeow	1
85	OG_Songsee	1
85	__tomato	1
85	SSytex_X	1
85	KingMatthew506	1
85	ConnorDanky_	1
85	skrongus	1
85	Zoeyfortnite	1
85	h2p_emrld	1
