rank	username	minecraft:picked_up/minecraft:rotten_flesh
1	Hyp3rion_	250261
2	thewindmillman	77645
3	noam464	47718
4	Blaiku	46324
5	MightyWertu	30929
6	HellsSponge	26768
7	Groundler	26167
8	oscminus	25431
9	eitanzaki	17653
10	PigDab	16039
11	FreakGenius	14986
12	Frozil20	14640
13	Jackattack53	13649
14	YungMaki	13016
15	Spacewardharpy7	12566
16	Kakolbus	12554
17	joethahobo	11229
18	EcksD	10744
19	AdmiralSmoke	10389
20	Di_infiri	10250
21	kekhon	7876
22	pintsizedrogue	7773
23	Mahoose	7176
24	Akoot_	6554
25	hanaryheatwave	6495
26	Marbz_	6270
27	beeperbeeper5	6250
28	rarrq	6041
29	EveryonesUncle	5783
30	Ezekson	5776
31	Lord_Jord	5759
32	Kowcio_	5730
33	TheShyPig	5654
34	yulgur1	5542
35	RebelAndroid	5461
36	Enderxz3	5342
37	gcaisawesome	5305
38	luseis	5236
39	EMC_	5234
40	mihimihimihi	5175
41	selectrix	5150
42	Fullut	5121
43	PhantomsGhost_	4876
44	fffMike	4796
45	TheSecondLord	4664
46	Hisiste	4546
47	PlasticOtari	4437
48	Bumpy419	4364
49	thescout7	4309
50	Werbe	4285
51	MilleGrug	4262
52	lordpipe	4158
53	Segotep999	4087
54	4774	4021
55	Blackberry1310	3858
56	Skippeh	3572
57	djancak	3434
58	Apollo_993	3344
59	ConnorDanky_	3101
60	set67	3084
60	ROY4LE	3084
62	_Virify_	3041
63	sp00ky_ghost977	2923
64	Arceus1975	2851
65	_Mythic____	2822
66	Snowflowe	2806
67	Spenduh	2735
68	CrateOfBoxes	2703
69	Legendosh	2666
70	Mr_Byzantine	2651
71	Steelynan	2634
72	Quotary	2536
73	TechnoNinja64	2503
74	DanTheBuilderino	2499
75	Nicserso	2490
76	Cowison	2484
77	LexMakesHistory	2363
78	Manaateee	2349
79	MyNameIsJobo	2342
80	Eraxa	2327
81	Soplight	2321
82	PortlyPete69	2306
83	xolstoi	2241
84	Deathkob	2213
85	El_Jalapeno	2204
86	M_Patata	2180
87	NomadicRobin_	2153
88	Lez_	2103
89	Smashic	2063
90	r123moore	2043
91	SammiWolfGirl	2030
92	k_ce	2027
93	pixelviolin	2013
94	excelsionprime	2009
95	WyngGoy	1998
96	Katsuragi0243218	1990
97	Tyrannosplart	1985
98	MasterNueve	1980
99	Merv__	1971
100	Masssonnn	1965
101	livingdaydreams	1958
102	Winklepicker279	1956
103	Historical_Sand	1955
104	ImpavidArcher	1930
105	monky_irl	1891
106	claivin	1838
107	eviltunix	1832
108	6king6colt6	1805
109	MAns_44	1796
110	500am	1770
111	12Magner05	1742
112	xxPipperDipperxx	1685
113	SvenskaHugo	1657
114	himak1	1655
115	m_be9	1612
116	MattieHD	1600
117	ooga47	1585
118	Mewar	1557
119	Jimb0nat0r	1541
120	SkateboardR6	1529
121	Zythose	1520
122	diamondgolem35	1518
123	Huwulling	1512
124	Euclidoris	1463
125	Saucepeh	1456
126	jacxhadow	1454
127	SpacesickPrism	1439
128	T045RTY	1420
129	Rumpletaezer	1409
130	Druid95	1405
131	2blox_	1384
132	ExtraDumb	1374
133	Awyrlas	1367
134	ReflexCode	1352
135	XboxPanda	1308
136	Creativebuilder2	1287
137	Bandito_Roamer	1274
138	xzvu	1272
139	CollinMH06	1269
140	Jovaphobic	1255
