rank	username	minecraft:picked_up/minecraft:purple_wool
1	noam464	111767
2	joethahobo	52509
3	thewindmillman	44992
4	EcksD	14193
5	Hermanni__	10139
6	xxPipperDipperxx	7886
7	Spacewardharpy7	5446
8	Hyp3rion_	4964
9	Lord_Jord	4400
10	beeperbeeper5	4100
11	HellsSponge	3064
12	AdmiralSmoke	3003
13	mwrty	2833
14	YungMaki	1888
15	PhantomsGhost_	1807
16	ROY4LE	1412
17	FreakGenius	1403
18	Snowflowe	1158
19	Huwulling	1102
20	Jovaphobic	1022
21	Inbefour	667
22	The11thDoctor	616
23	6king6colt6	512
24	Mahoose	485
25	pintsizedrogue	429
26	xolstoi	392
27	lordpipe	378
28	AnnieBathory	375
29	TechnoNinja64	370
30	Ezekson	354
31	Lez_	348
32	12Magner05	330
33	Blaiku	311
34	Deerfoot	291
35	Njensen7	288
36	Maenara	280
37	UrbanPlanningEx	269
38	Smashic	261
39	PortlyPete69	230
40	ConnorDanky_	213
41	Sheldor097	209
42	500am	208
43	TheSecondLord	206
44	Merv__	205
45	EngagedGrub41	201
46	Typadopoulos	198
47	PigDab	193
48	Blu3beast	192
49	eitanzaki	189
49	Legendosh	189
51	Fullut	178
52	Mr_Byzantine	163
53	Blackberry1310	156
54	jnp_gaming	155
55	UCP_TheKingK	129
56	JackyKwacky	128
57	NomadicRobin_	110
57	Nycteus_	110
59	Fuhrer_Teemo	94
60	SaucyDark	90
61	El_Jalapeno	79
62	k_ce	75
62	heckface	75
62	WyngGoy	75
65	TheShyPig	72
66	Werbe	70
66	Lutres_	70
68	mihimihimihi	68
69	Soplight	67
70	Kowcio_	65
71	fanofbands101	64
71	Alteriity	64
71	ShedJr_	64
71	Swexti	64
71	moderncraft	64
76	Afinnity	61
77	Elastiq	60
78	olliebollie48	58
78	Di_infiri	58
78	fkGrim	58
81	Kateesaur	48
82	__tomato	45
83	burbankbuilder28	44
84	EMC_	38
85	Reneedium	37
85	Bumpy419	37
87	Dakar_	35
88	Lunkuku	34
89	Manaateee	32
89	MakeHistory157	32
91	Apollo_993	30
92	TheBiggestFeller	29
92	LilyNova	29
94	handsome_strong	28
94	_Wannabe_	28
96	dabloons	26
96	MattieHD	26
96	thgrocks	26
96	lcvezra	26
100	Northernrabbit	24
101	Wooptey	23
101	wwwwinnebagoooo	23
103	intropass	22
104	Rumpletaezer	20
105	AlexxO_o	19
106	_Huge_Male_	18
106	_i_ERROR_i_	18
106	PlzNoBM	18
109	censorsheep	17
109	Jimb0nat0r	17
111	KarlKaek	16
111	420BreadLizard	16
113	hanaryheatwave	15
113	Russiancat1	15
115	EveryonesUncle	14
116	Comma__	13
117	Batman922	12
117	Crowman1	12
117	Barlycorn	12
120	Inchef	11
120	Parcc	11
120	NameGenerat0r	11
120	CalebDHawk	11
124	GingerNeutron	10
124	ImDisconnected_	10
126	MyNameIsJobo	9
126	AJplaysMC_	9
126	Kura2218	9
126	MineMaster0012	9
130	SquadMonster	8
130	Ssor69	8
130	_Boipl_	8
130	Akoot_	8
130	Steelynan	8
135	hollowww	6
135	RebelAndroid	6
135	Motsaro	6
135	Optiprimus	6
139	shadowthemonkey	5
139	pixelviolin	5
141	yheece	4
141	luseis	4
141	mafiKiwi	4
141	Xclax101	4
141	SvenskaHugo	4
141	Enderxz3	4
147	jimintyy	3
147	KomputerDude	3
147	Historical_Sand	3
147	Cryptacity	3
147	Kakolbus	3
147	Jackattack53	3
147	Chromary	3
147	LexMakesHistory	3
155	Foof13	2
155	ManlyAdjective	2
155	dopplexd	2
155	ZigzagLily43042	2
155	kekhon	2
155	Defaitiste	2
155	Mattesco	2
155	Deathkob	2
155	_Bguette_	2
155	marumochis	2
155	Groundler	2
155	Eraxa	2
155	SpacesickPrism	2
155	skrongus	2
155	Zoeyfortnite	2
170	teslawolf38	1
170	Ryker	1
170	AlazelTheReal	1
170	Archsam	1
170	titanlax	1
170	MinttyFressh	1
170	Eraza	1
170	Marbz_	1
170	oscminus	1
170	ApophisNova	1
170	fw3xy74	1
170	AuroraSkies	1
170	XxCookiequeenxX	1
170	lillips	1
170	Fuad_R	1
170	claivin	1
170	StinkyDiplomat	1
170	SkateboardR6	1
170	geekbird	1
170	ReyTheLegend	1
170	Spenduh	1
170	fffMike	1
170	Eczbek	1
170	TheBananaKat	1
170	Lord_Lollo	1
170	Quotary	1
170	MyNamaSheff	1
170	HesDemonPants	1
170	Sral7	1
170	00000000-0000-0000-0009-01faf4342590	1
