rank	username	minecraft:picked_up/minecraft:andesite_wall
1	Mahoose	1075
2	EMC_	760
3	xolstoi	590
4	pintsizedrogue	329
5	Kakolbus	220
6	Lukeee33	199
7	lcvezra	197
8	TheShyPig	195
9	m_be9	190
10	Legendosh	185
11	rarrq	184
12	Lord_Jord	166
13	_Karmaa	157
14	Racengan	129
15	joethahobo	115
16	PortlyPete69	105
17	eviltunix	92
18	Historical_Sand	87
19	bigstankyy	86
19	IamCL4SSY	86
21	TheSecondLord	85
21	PlasticOtari	85
23	Sheldor097	84
24	Shiirazu	78
25	beeperbeeper5	77
26	Eraxa	72
27	DemTechAlpha	70
28	IvarEXE	62
28	Enderxz3	62
30	Alphanzt99	61
31	Jackattack53	57
32	ShedJr_	56
33	luseis	55
34	Ezekson	52
35	Doom_melon	50
36	Maenara	48
37	Malorn_Aetherius	45
38	Merv__	38
39	Cryptacity	37
39	noam464	37
39	Onennon	37
42	fluddd	35
43	mihimihimihi	34
44	stavgod	33
44	non089	33
46	Smoke____	32
47	Groovy_MoonBird	31
47	Di_infiri	31
49	leaf26	30
50	ImpavidArcher	29
51	livingdaydreams	27
51	_Boipl_	27
53	El_Jalapeno	26
54	Soplight	23
55	NotMeanttoChange	21
55	djancak	21
57	valkam13	20
58	500am	19
59	TinMaster	18
60	Stiar	17
60	MightyWertu	17
62	soundad	16
62	Teebone15	16
64	SquadMonster	15
64	ooga47	15
64	Fuhrer_Teemo	15
67	eitanzaki	14
68	GravitySaint	12
68	yatsuta	12
70	jacxhadow	11
70	Arceus1975	11
70	HellsSponge	11
70	smogfrog	11
74	Inchef	10
74	Kowcio_	10
76	Smussa	9
76	Smiguli_	9
76	Optiprimus	9
76	EngagedGrub41	9
76	jnp_gaming	9
81	Jamstroxian	7
81	Spacewardharpy7	7
81	YungMaki	7
81	Quotary	7
85	ImNotYuqii	6
85	Kubelz	6
85	NotMeowMix	6
85	trexgb	6
89	Mr_Byzantine	5
89	Inbefour	5
89	Deathkob	5
89	FreakGenius	5
93	Natty	4
93	Comma__	4
93	CharlieButt	4
93	The_slideV3	4
93	TheOuterCore	4
93	anbbang	4
99	SaltineDream	3
99	KarlKaek	3
99	Blackberry1310	3
99	Truckoss	3
99	cedric72	3
99	MonitorLizards	3
99	wwwwinnebagoooo	3
99	07shiny	3
99	Steelynan	3
99	Nicserso	3
109	BigBootyHudge	2
109	Hpdinosaur	2
109	jessewegottacook	2
109	SteveCraftBlocks	2
109	SellyZ	2
109	RIPB0ZO	2
109	jedi_george	2
109	iTurbo	2
109	Rebytre	2
109	Felenov	2
109	ApophisNova	2
109	F_Uhre	2
109	Agent108	2
109	Quincannon	2
109	Blaiku	2
109	lordpipe	2
109	starbits140	2
109	Hermanni__	2
109	MyNamaSheff	2
109	TechnoNinja64	2
129	Sleek_Storm_721	1
129	Huwulling	1
129	_themselves	1
129	BobDeBouwer1337	1
129	Megarboh	1
129	G1ldor	1
129	Smashic	1
129	himak1	1
129	dendydoom	1
129	seramalen	1
129	Mattesco	1
129	ougstur	1
129	binman420	1
129	yulgur1	1
129	WyngGoy	1
129	SammiWolfGirl	1
129	annoyingenderman	1
129	CalebDHawk	1
129	monolu	1
129	ConnorDanky_	1
129	Thrasaere	1
129	2bolx_	1
129	bladeefan2009	1
129	The_SlideV5	1
129	Zoeyfortnite	1
129	JayShroomie	1
129	h2p_emrld	1
