rank	username	minecraft:picked_up/minecraft:magenta_terracotta
1	thewindmillman	79569
2	xolstoi	2564
3	Hyp3rion_	1709
4	Crowman1	661
5	EMC_	659
6	Kowcio_	557
7	pintsizedrogue	510
8	joethahobo	497
9	lunathelemon	298
10	TheSecondLord	185
11	Merv__	133
12	Huwulling	131
12	lordpipe	131
14	mobunni	124
15	YungMaki	116
16	sxc_	96
16	AdmiralSmoke	96
18	Manaateee	81
19	Rumpletaezer	74
20	Steelynan	52
21	pixelviolin	50
22	Soplight	47
23	Kakolbus	44
24	Lez_	36
24	PlasticOtari	36
26	Inbefour	20
27	mwrty	18
28	Krowuss	17
29	Arceus1975	16
30	Blu3beast	15
31	OG_Songsee	12
32	_Huge_Male_	11
33	Enderxz3	10
34	kekhon	8
34	DarlaMeow	8
36	fluddd	7
37	_HoneySlime_	6
37	NameGenerat0r	6
39	theonlymagikarp	5
39	ooga47	5
39	Lord_Jord	5
39	ConnorDanky_	5
43	StarCookiees_	4
43	__tomato	4
43	xzvu	4
46	Hpdinosaur	3
46	Mahoose	3
46	noam464	3
46	MakeHistory157	3
46	EcksD	3
51	Groovy_MoonBird	2
51	Bandito_Roamer	2
51	HAIRYCLOUD626	2
51	luseis	2
51	SvenskaHugo	2
51	ZoomieZoomie	2
51	FelixPSY375	2
51	The_SlideV5	2
59	hm947	1
59	Batman922	1
59	peach0s	1
59	beeperbeeper5	1
59	500am	1
59	Marbz_	1
59	MyNameIsJobo	1
59	ItsDeltaMC	1
59	CattSoup	1
59	Sral7	1
