rank	username	minecraft:picked_up/minecraft:cyan_stained_glass_pane
1	Awyrlas	1148
2	Ezekson	392
3	Hyp3rion_	312
4	Lez_	263
5	2Stout	161
6	joethahobo	153
7	Fullut	121
7	NameGenerat0r	121
9	crashomon	118
10	beeperbeeper5	90
11	pintsizedrogue	67
12	Frozil20	61
13	Jimb0nat0r	56
14	Yamdalorian	55
15	Diavri	52
16	Eraxa	46
17	ImpavidArcher	44
18	ApophisNova	38
18	MyNamaSheff	38
20	abramgray	28
21	Mahoose	26
22	mihimihimihi	20
23	NotMeanttoChange	19
23	Steelynan	19
25	El_Jalapeno	18
26	k_ce	15
26	Blackberry1310	15
26	jnp_gaming	15
29	heckface	14
30	r123moore	10
31	SteveCraftBlocks	9
31	Marbz_	9
31	IamCL4SSY	9
34	PlasticOtari	8
35	TheShyPig	7
35	Blaiku	7
35	Druid95	7
38	noam464	5
39	lordpipe	4
39	YungMaki	4
41	Sleepy_Evelyn	3
41	500am	3
41	Jonafrog99	3
41	RobotMinion101	3
45	myaccountwasgone	2
45	SlayerCrypto	2
45	burbankbuilder28	2
45	Spacewardharpy7	2
45	Jjackoe	2
45	CalebDHawk	2
45	AltnumberF4	2
52	KarlKaek	1
52	ShedJr_	1
52	Di_infiri	1
52	hanaryheatwave	1
52	Zythose	1
52	Akoot_	1
52	luseis	1
52	SvenskaHugo	1
52	Legendosh	1
