rank	username	minecraft:picked_up/minecraft:crimson_pressure_plate
1	Lez_	16
2	beeperbeeper5	12
3	rarrq	8
3	Smoke____	8
5	BiggieDawg	6
6	Mr_Byzantine	4
7	Jonte0599	3
7	Legendosh	3
9	ShedJr_	2
9	jacxhadow	2
9	mwrty	2
9	Optiprimus	2
9	Sheldor097	2
14	Yatitay	1
14	noam464	1
14	Billious	1
14	TheShyPig	1
14	Hail_the_wombat	1
