rank	username	minecraft:picked_up/minecraft:yellow_stained_glass_pane
1	pintsizedrogue	948
2	EMC_	549
3	El_Jalapeno	297
4	joethahobo	129
5	Groundler	126
6	BlueZabu	124
7	pappaberg	82
8	Onennon	73
9	ImpavidArcher	62
10	FreakGenius	61
11	lordpipe	43
12	Kubelz	36
13	TheShyPig	34
14	Spacewardharpy7	26
15	noam464	23
16	beeperbeeper5	20
16	SSytex_X	20
18	Lez_	19
19	RoofTyler	15
19	Kowcio_	15
19	jnp_gaming	15
19	PlasticOtari	15
23	Merv__	14
23	TheSecondLord	14
23	prizm_	14
26	Soplight	13
26	lcvezra	13
28	wTXop	12
28	Chuvacevedo	12
28	RobotMinion101	12
28	LordSpeed37	12
32	Incinere	10
32	thescout7	10
34	F_Uhre	8
34	bluemage31	8
36	Snowflowe	7
36	ApophisNova	7
36	MyNamaSheff	7
39	Alteriity	6
39	Di_infiri	6
39	Rumpletaezer	6
39	Blaiku	6
39	TechnoNinja64	6
44	set67	5
44	UncreativeArtist	5
44	gabriels543	5
44	Arceus1975	5
44	NomadicRobin_	5
49	kekhon	4
49	Akoot_	4
51	rarrq	3
51	Blackberry1310	3
51	_Dean_123	3
51	AlexxO_o	3
51	Eraxa	3
51	SvenskaHugo	3
51	Legendosh	3
51	aubergined	3
59	ProbablyNick	2
59	eitanzaki	2
59	jushykins	2
59	MrExplorer	2
59	Fullut	2
59	SonicRainBow_	2
59	zToasty69z	2
59	RealGroot	2
59	SammiWolfGirl	2
59	laron58	2
59	HesDemonPants	2
59	xolstoi	2
71	500am	1
71	Yirtle	1
71	__Fanda__	1
71	Werbe	1
71	gloryoftherain	1
71	Macho_Tacos	1
71	Tyrannosplart	1
71	NameGenerat0r	1
71	Steelynan	1
71	EcksD	1
