rank	username	minecraft:picked_up/minecraft:jungle_stairs
1	FreakGenius	243
2	Inbefour	231
3	SaucyDark	228
4	cedric72	223
5	Enderxz3	215
6	EveryonesUncle	206
7	El_Jalapeno	199
8	bladeefan2009	194
9	BronkerBrum	185
10	TheShyPig	171
11	Smoke____	168
12	beeperbeeper5	161
13	Factoroni	160
14	HellsSponge	134
15	SvenskaHugo	112
16	Steelynan	94
17	Onennon	88
18	titanlax	86
18	Kukkelikuk	86
20	Stiar	84
21	Hyp3rion_	82
22	Prodiginus	70
22	MineMaster0012	70
24	thescout7	65
25	Akoot_	60
25	Airem_Core	60
27	Lez_	50
28	joethahobo	44
29	TechnoNinja64	39
30	soundad	36
31	Spacewardharpy7	35
31	tsitrawhy	35
33	Deathkob	34
34	QuiCreans	32
35	Winklepicker279	31
35	PigDab	31
37	Racengan	30
38	Lord_Jord	29
39	Lekol	28
40	Merv__	25
40	The_slideV3	25
42	Bumpy419	23
43	rarrq	22
43	xxPipperDipperxx	22
43	ConnorDanky_	22
46	eitanzaki	21
46	Toiton	21
48	kekhon	20
48	himak1	20
48	Soplight	20
51	Mr_Byzantine	19
51	PlasticOtari	19
53	Windo_licker	17
53	WET_WET_WET	17
55	mwrty	16
55	MyNameIsJobo	16
55	jnp_gaming	16
58	Kamflame10	15
58	lizardfightclub	15
58	Vorlice	15
61	500am	14
62	ShedJr_	13
63	SvenskaAlvar	12
64	RobotMinion101	11
64	Rainaldus	11
66	pintsizedrogue	9
66	legal_tax_evader	9
66	ItsJunoIGuess	9
69	chrolus	8
69	bloodbiter	8
69	AnnieBathory	8
69	Eraxa	8
73	Eraza	7
73	thewindmillman	7
73	King_Pancake1	7
73	Toriankel	7
77	Swexti	6
77	Blackberry1310	6
77	drunkeeez	6
77	07shiny	6
77	coobert42	6
82	Bandito_Roamer	5
82	teslawolf38	5
82	the_fireminer	5
82	TheSecondLord	5
82	Ecplosive	5
82	Hoid_the_Roamer	5
82	ooga47	5
82	1442	5
82	KingMatthew506	5
91	CryoInferno_	4
91	T045RTY	4
91	Di_infiri	4
91	CarryLine	4
91	LilLizardWizard	4
91	LexMakesHistory	4
91	MightyWertu	4
98	Foof13	3
98	catandmoose	3
98	intropass	3
98	burbankbuilder28	3
98	Sheellky	3
98	F_Uhre	3
98	Maenara	3
98	yulgur1	3
98	luseis	3
98	Nekomin0	3
98	OfficerAnvil	3
98	KASAN420	3
110	Silenttieg	2
110	Mahoose	2
110	PegLegPete93	2
110	type11	2
110	BlueZabu	2
110	wezzzi	2
110	natajimi	2
110	Fuhrer_Teemo	2
110	Quaintster	2
110	Cavetorch	2
110	wwwwinnebagoooo	2
110	Kferno	2
110	Nicserso	2
123	rats_life	1
123	Groovy_MoonBird	1
123	KarlKaek	1
123	ImpavidArcher	1
123	FirsTimeGamingTV	1
123	corvidpartyfor6	1
123	Fullut	1
123	Covalents	1
123	Noah_Bez	1
123	noam464	1
123	Bazongoman	1
123	mariominejedi	1
123	Marbz_	1
123	Queen_Jalapeno	1
123	Zythose	1
123	_Boipl_	1
123	NomadicRobin_	1
123	masskedman	1
123	ori0le	1
123	lillips	1
123	MAns_44	1
123	Keeogwi	1
123	Barlycorn	1
123	sp00ky_ghost977	1
123	voiding_	1
123	SammiWolfGirl	1
123	SpacesickPrism	1
123	Ezekson	1
123	xolstoi	1
123	diggydog67	1
