rank	username	minecraft:picked_up/minecraft:netherite_boots
1	Hyp3rion_	70
2	500am	28
3	Jackattack53	26
3	Kowcio_	26
5	beeperbeeper5	18
6	T045RTY	17
7	luseis	15
8	Wowful	14
9	Huwulling	13
9	Segotep999	13
11	UCP_TheKingK	12
12	AdmiralSmoke	11
13	eitanzaki	9
13	joethahobo	9
13	Mattesco	9
16	pintsizedrogue	8
17	Frozil20	7
17	TheSecondLord	7
17	kekhon	7
17	FreakGenius	7
17	YungMaki	7
17	fffMike	7
23	MrKrabOnCoke	6
23	Historical_Sand	6
23	rarrq	6
23	Smashic	6
23	imcombxt	6
23	hanaryheatwave	6
23	Rebytre	6
23	Akoot_	6
23	Ezekson	6
23	ConnorDanky_	6
23	CattSoup	6
23	Enderxz3	6
35	Krowuss	5
36	Ryan_GEMS	4
36	Lez_	4
36	Blackberry1310	4
36	lorpus	4
36	Chromary	4
36	Manaateee	4
36	Blaiku	4
36	SkateboardR6	4
36	Spacewardharpy7	4
36	Eczbek	4
36	Jimb0nat0r	4
36	PlasticOtari	4
48	KarlKaek	3
48	ShedJr_	3
48	Fullut	3
48	corpsecity	3
48	thewindmillman	3
48	zToasty69z	3
48	lillips	3
48	DarlaMeow	3
48	weabis	3
48	SingedBread	3
48	Eraxa	3
48	SammiWolfGirl	3
60	k_ce	2
60	_Huge_Male_	2
60	Badenbeele	2
60	dimondking777	2
60	PazinGaming	2
60	Yatitay	2
60	ImpavidArcher	2
60	Mahoose	2
60	Upstro10	2
60	NieToksikpl	2
60	Crowman1	2
60	Nicky_H225	2
60	_Dean_123	2
60	set67	2
60	paranoid_plant	2
60	Xalithia	2
60	Touched_Bread	2
60	noam464	2
60	Winklepicker279	2
60	SuperPooch06	2
60	Eczbox	2
60	Werbe	2
60	fw3xy74	2
60	NomadicRobin_	2
60	KeilynCloud	2
60	LexMakesHistory	2
60	HellsSponge	2
60	El_Jalapeno	2
60	ProfessorDiaper	2
60	monky_irl	2
60	BruhBag	2
60	pablopickle	2
60	Spenduh	2
60	Iamthejo	2
60	00000000-0000-0000-0009-01f53dff86f7	2
95	Mr_Byzantine	1
95	JohnnyFyes	1
95	chipklip	1
95	xyct	1
95	Ev0luti0nz	1
95	Flegneh	1
95	teslawolf38	1
95	ECstardust	1
95	q_wq	1
95	diamondgolem35	1
95	Jindong	1
95	itburb	1
95	Wooptey	1
95	nattybears	1
95	Alteriity	1
95	CoffeeNoir	1
95	H72l9w	1
95	Swexti	1
95	Da_Boss_Rani	1
95	titanlax	1
95	ItsHydroMC	1
95	bloodbiter	1
95	SoftSix	1
95	Sloths_Ender	1
95	Kkanot	1
95	Inchef	1
95	olliebollie48	1
95	SBean737	1
95	mimbo1211	1
95	M_Patata	1
95	shadowthemonkey	1
95	Marbz_	1
95	Di_infiri	1
95	longappendage	1
95	Jonafrog99	1
95	Arceus1975	1
95	happy_mileo	1
95	GUBBENZ	1
95	ApophisNova	1
95	KartivGal	1
95	F_Uhre	1
95	PigDab	1
95	LeGold	1
95	AlexxO_o	1
95	clownsalad	1
95	FishyBoy3811	1
95	PuFY	1
95	LeonelSalamanca	1
95	CrumplyBanjo_	1
95	masskedman	1
95	TruestTurnip	1
95	JoeSaysBingBong	1
95	aldplaysmc	1
95	EveryonesUncle	1
95	Sorry_Arey	1
95	shadowmanu8	1
95	CuzIm2Kev	1
95	Fuad_R	1
95	AstreaTSS	1
95	Quaintster	1
95	fluddd	1
95	vadar12	1
95	MightyWertu	1
95	guitar_hero_101	1
95	OffWithTheirHead	1
95	Mizuuwa	1
95	ItsDeltaMC	1
95	_Mythic____	1
95	07shiny	1
95	SvenskaHugo	1
95	MineMaster0012	1
95	djancak	1
95	Sequ1sha	1
95	_Yonk_	1
95	_i_ERROR_i_	1
95	obzii	1
95	BungalowBeet	1
95	CalebDHawk	1
95	jcool7	1
95	Winston_Ingram	1
95	MilleGrug	1
95	Steelynan	1
95	Kubeusz2010	1
95	TheOuterCore	1
95	MyNamaSheff	1
95	Weepingbiel	1
95	Legendosh	1
95	Zcolt69	1
95	FishisTTV	1
95	00000000-0000-0000-0009-01f431fe6dbe	1
95	00000000-0000-0000-0009-01f1577a2913	1
