rank	username	minecraft:picked_up/minecraft:mycelium
1	joethahobo	69549
2	noam464	44954
3	Blaiku	21217
4	Di_infiri	9815
5	Hyp3rion_	8609
6	thewindmillman	8153
7	jnp_gaming	5453
8	Steelynan	4401
9	PigDab	4257
10	diggydog67	3514
11	TheShyPig	3182
12	Werbe	2589
13	TheSecondLord	2349
14	nocturne78	2277
15	OverallConcept	1942
16	FreakGenius	1923
17	gcaisawesome	1887
18	500am	1836
19	eitanzaki	1492
20	Lez_	1115
21	diamondgolem35	1092
22	pintsizedrogue	1001
23	m_be9	973
24	XxCookiequeenxX	940
25	lordpipe	929
26	Sral7	763
27	kekhon	724
28	YungMaki	595
29	HellsSponge	574
30	Drewen24	532
31	EngagedGrub41	519
32	Marbz_	475
33	Manaateee	446
34	Jackattack53	389
35	Rumpletaezer	386
36	txxskx	357
37	GravitySaint	313
38	Tyrannosplart	308
39	TechnoNinja64	271
40	MightyWertu	260
41	AuroraValkyrie	257
41	Eczbox	257
41	Eczbek	257
44	r123moore	256
45	Hoid_the_Roamer	252
46	Kakolbus	241
47	hanaryheatwave	230
48	EMC_	216
49	ECstardust	198
50	MinttyFressh	150
51	Kowcio_	128
51	Quotary	128
53	Mahoose	112
54	xxPipperDipperxx	107
55	Bandito_Roamer	100
56	jcool7	97
57	Cryptacity	96
58	ApophisNova	95
58	MyNamaSheff	95
60	MattieHD	89
61	Merv__	86
62	beeperbeeper5	79
62	Enderxz3	79
64	fluddd	72
65	Eraxa	68
66	crying_wolf_13	66
67	Jovaphobic	65
67	excelsionprime	65
69	SmashingPump	64
69	livingdaydreams	64
71	T045RTY	51
72	Lord_Jord	47
73	ShedJr_	43
74	Druid95	40
75	Fullut	34
75	emreknugrlu	34
77	Awyrlas	32
77	trexgb	32
79	oscminus	30
80	Xclax101	28
80	Legendosh	28
82	Alteriity	27
82	_Nuf	27
84	Sleek_Storm_721	26
85	SingedBread	23
86	k_ce	20
86	Blazebit	20
86	Krowuss	20
86	Dakar_	20
86	claivin	20
86	Blu3beast	20
92	sp00ky_ghost977	18
92	FishisTTV	18
94	annebolyn	17
95	Skippeh	16
96	Mr_Byzantine	10
96	Zippyzam	10
98	gilesmcriles	9
98	iTurbo	9
100	j5ylim	7
101	Jij0	5
102	Segotep999	4
103	Secret_Canary	3
103	Soplight	3
105	nattybears	2
106	Groovy_MoonBird	1
106	CLG_Kata	1
106	KarlKaek	1
106	Incinere	1
106	KomputerDude	1
106	Historical_Sand	1
106	Alfred603	1
106	rarrq	1
106	Notta	1
106	Pelbo	1
106	Scathra	1
106	PegLegPete93	1
106	RobotMinion101	1
106	AlexxO_o	1
106	DarlaMeow	1
106	Spacewardharpy7	1
106	ItsDeltaMC	1
106	StarCookiees_	1
106	_Mythic____	1
106	taengoos	1
106	HesDemonPants	1
106	calamariclam_I	1
