rank	username	minecraft:picked_up/minecraft:cherry_sapling
1	Hyp3rion_	14423
2	Manaateee	11532
3	Lez_	6089
4	Kowcio_	5105
5	FiguraDei	3375
6	Apollo_993	2849
7	noam464	2079
8	Mr_Byzantine	1559
9	EveryonesUncle	1382
10	SpacesickPrism	932
11	Enderxz3	735
12	Jackattack53	673
13	AstreaTSS	469
14	Moofyman	439
15	ee_echo_oo	402
16	KarlKaek	358
17	skitzxo	353
18	Alteriity	337
19	pretty_pink_reno	328
20	kaiwill0w	291
21	TheWickedBird	286
22	XxCookiequeenxX	282
23	pintsizedrogue	270
24	shineh10	263
25	12Magner05	235
26	k_ce	187
27	Krowuss	161
28	PercivalCaduceus	154
28	Hahaa_0	154
30	Werbe	145
31	lorywithay	141
32	xxPipperDipperxx	139
33	StarCookiees_	136
34	Sleepy_Evelyn	114
35	j5ylim	112
36	Juansinmiedo18	99
37	Reneedium	73
38	Huwulling	69
38	beeperbeeper5	69
40	MAns_44	68
41	Merv__	66
42	fw3xy74	64
42	GigiDuru	64
44	oscminus	54
45	Moss_2006	53
46	Archsam	51
46	Synthoum	51
48	HUNTERmaun	50
48	Galactic_Badger	50
50	NATE_the_HALO	48
51	Mattesco	42
52	Steelynan	41
53	DinoDoctor_	36
53	obzkon	36
55	Tersea_	35
56	PazinGaming	22
56	pixelviolin	22
56	KamFurnace	22
59	U_Mos_	21
60	CLG_Kata	20
61	PaperCanvas	19
62	Kakolbus	18
62	luseis	18
64	corvidpartyfor6	17
64	hanaryheatwave	17
66	Napoleonpancake	16
66	Fullut	16
66	Buuck_	16
66	Yamdalorian	16
70	myaccountwasgone	15
71	QuiCreans	14
71	ScootOfBoot	14
73	Frigzy_	13
73	Pumpkin_P_Patch	13
75	_vlex	12
75	Samificator	12
75	DairyNickel756	12
78	WoofWare	11
79	ECstardust	9
79	Spenduh	9
81	_Destina_	8
81	Taco_Cat898	8
83	MattieHD	7
83	SteveCraftBlocks	7
83	excelsionprime	7
83	Fullbit_	7
83	OreTheBear	7
83	Tropiicant	7
83	MustardSquid	7
90	SvenskaSara	6
90	Soplight	6
92	tuckerdoodle	5
92	Hetti301	5
92	bl1ss0	5
92	RebytreGT	5
92	Gus2005	5
92	TheBananaKat	5
98	gabukun_	4
98	fragrantmonke444	4
98	Strats__	4
98	Mr_Froxy	4
102	eccs	3
102	Jimb0nat0r	3
104	SOA1RR	2
104	Hydro___________	2
106	SygnalX	1
106	_Huge_Male_	1
106	BPTY4618	1
106	gren_ben	1
106	ImpavidArcher	1
106	Nach0Bear	1
106	Touched_Bread	1
106	Hashises	1
106	Jekyll	1
106	Thunder_bird4337	1
106	ConnorDanky_	1
106	MsFemboy	1
