rank	username	minecraft:picked_up/minecraft:cactus
1	thewindmillman	34446
2	noam464	7744
3	Snowflowe	5545
4	HellsSponge	3606
5	kekhon	3257
6	Hyp3rion_	3224
7	mwrty	3129
8	joethahobo	3109
9	Mahoose	2814
10	Dedalus36	1572
11	NomadicRobin_	1277
12	ApophisNova	1248
13	MyNamaSheff	1246
14	Soplight	1204
15	Spacewardharpy7	1073
16	TheShyPig	1023
17	Smoke____	1009
18	El_Jalapeno	996
19	Di_infiri	930
20	vandmanden	928
21	__tomato	904
22	Kakolbus	863
23	m_be9	842
24	lordpipe	817
25	pintsizedrogue	783
26	Blackberry1310	762
27	Freak_Genius	756
28	Akoot_	719
29	Sral7	681
30	cog	657
30	Skippeh	657
32	fffMike	654
33	YungMaki	641
34	MakeHistory157	630
35	Blaiku	627
36	jnp_gaming	579
37	Euclidoris	542
38	Historical_Sand	529
39	sp00ky_ghost977	510
40	TechnoNinja64	448
41	Strangemonkey71	383
41	Ezekson	383
43	eitanzaki	353
44	Onennon	348
45	Werbe	334
45	AssEatrAndLicker	334
45	Frozil12	334
48	eviltunix	332
48	Rumpletaezer	332
50	MovingFish7	317
51	oxfordschool	308
52	The_slideV3	299
53	Iagoku	294
54	TheSecondLord	287
55	sebastiensaborio	286
56	beeperbeeper5	279
57	SammiWolfGirl	272
58	RodSerlingCringe	271
59	DarlaMeow	261
60	gaziter10	257
61	CoffeeNoir	251
62	SuperPooch06	247
63	Enderslayerxz3	237
64	audiocracked	227
65	Inbefour	226
66	Powowowow	222
67	ImpavidArcher	220
68	RebelAndroid	219
68	Njensen7	219
70	Kim_Jong_eel	216
71	Kowcio_	210
72	Groovy_MoonBird	197
73	Spenduh	194
74	GoofyBread	192
74	scarletwarrior1	192
76	_Bguette_	191
77	Arceus1975	190
78	XxCookiequeenxX	186
79	Legendosh	184
80	Ssor69	183
81	ProfessorBee	181
82	PigDab	178
83	Xclax101	176
84	Nicserso	175
85	PhantomsGhost_	169
86	fanofbands101	168
87	EcksD	167
88	Zythose	165
89	titanlax	152
90	AlphaWolfPlaysMC	150
91	set67	148
92	epiksk8erduck	147
93	_Dean_123	146
94	TheDankPlatypus	144
95	Hoid_the_Roamer	141
95	The_SlideV5	141
97	Bumpy419	139
98	H72l9w	138
99	Syropatathe	134
100	obzii	131
101	Fullut	128
101	xsewn	128
101	Jordan_R	128
104	Wooptey	125
105	Dogcorn69420	123
105	diggydog67	123
107	Optiprimus	121
108	Scathra	120
108	masskedman	120
110	MyNameIsJobo	119
110	Quotary	119
112	lOlmantschi	117
113	Chromary	115
114	alderban107	114
115	AuroraValkyrie	111
116	MousePlays	109
117	Blu3beast	108
118	King_Pancake1	107
119	fred870d	105
119	Lord_Jord	105
121	Jackattack53	103
121	claivin	103
123	MrExplorer	100
124	yaboo88	99
124	Lowjinx	99
126	Airem_Core	98
127	jcool7	97
128	mattdaddyhart	96
129	TheEnderman548	95
129	Hermanni__	95
131	KingFaenor	94
131	WyngGoy	94
133	500am	93
133	Sheldor097	93
135	NameGenerat0r	92
135	MineMaster0012	92
137	funeralhome	91
137	thescout7	91
137	CrazyPotater	91
140	KingEgg1	90
140	lillips	90
140	Steven1282598	90
143	HollieDaNugget	89
143	jacxhadow	89
145	T045RTY	88
145	Quaintster	88
147	OtariCharlie	86
148	Fuhrer_Teemo	82
149	firesgal3116	81
150	FreddyFart	80
150	Dusk_95	80
152	Franco093	79
152	Swexti	79
154	SaucyDark	78
154	MightyWertu	78
156	monolu	76
156	KingMatthew506	76
