rank	username	minecraft:picked_up/minecraft:dead_horn_coral
1	Di_infiri	42
2	noam464	10
3	Blackberry1310	2
4	Bandito_Roamer	1
4	eitanzaki	1
4	Mahoose	1
4	eclipseboi	1
4	HellsSponge	1
