rank	username	minecraft:picked_up/minecraft:vex_armor_trim_smithing_template
1	beeperbeeper5	3
2	CLG_Kata	2
2	Secret_Canary	2
4	Lez_	1
4	Mattesco	1
4	Jimb0nat0r	1
