rank	username	minecraft:picked_up/minecraft:brain_coral_fan
1	Kouridragon	879
2	Legendosh	430
3	Enderxz3	315
4	pintsizedrogue	313
5	ImpavidArcher	282
5	500am	282
7	YungMaki	203
8	TheShyPig	198
9	Di_infiri	170
10	Hyp3rion_	166
11	El_Jalapeno	139
12	Jackattack53	137
13	Nicserso	127
14	12Magner05	103
15	thewindmillman	102
16	Alteriity	101
16	Lez_	101
18	_Dean_123	85
19	ApophisNova	81
19	MyNamaSheff	81
21	kekhon	77
22	noam464	74
23	Mahoose	73
24	luseis	72
25	EcksD	71
26	skroobiez	70
27	MattieHD	68
28	j5ylim	66
28	RoskobiOne	66
30	AuroraValkyrie	65
30	HellsSponge	65
30	lordpipe	65
33	Fullut	64
34	Xalithia	61
35	eitanzaki	60
36	Mewar	59
37	XxCookiequeenxX	57
38	Merv__	53
39	livingdaydreams	52
40	Quaintster	47
41	Kura2218	44
42	__tomato	43
43	Vetral1	39
44	Spacewardharpy7	38
45	Onennon	37
46	Jovaphobic	36
46	tsohomie	36
48	crashomon	32
48	SkateboardR6	32
50	Kakolbus	31
51	Marbz_	29
51	Maenara	29
53	beeperbeeper5	27
54	eiC_	26
54	TheWickedBird	26
56	mihimihimihi	25
56	KingMatthew506	25
58	djancak	24
59	Ssor69	23
60	Snowflowe	22
60	Inbefour	22
62	Arceus1975	18
62	FreddyFart	18
64	Iagoku	17
64	Yamdalorian	17
66	Rumpletaezer	16
66	IdeallyGrey	16
68	Archsam	15
68	PigDab	15
68	EdGalbraith	15
68	h2p_emrld	15
72	joethahobo	14
72	Blackberry1310	14
72	Manaateee	14
72	Typadopoulos	14
76	myaccountwasgone	13
76	SaucyDark	13
76	surfinggiraffejp	13
76	iSammael	13
80	Bandito_Roamer	12
80	urbeans	12
80	Krowuss	12
80	Jiminbub	12
80	Luigipunch989	12
85	ShedJr_	11
85	legal_tax_evader	11
85	censorsheep	11
85	Jimb0nat0r	11
89	_witch_craft_	10
89	Noah_Bez	10
89	Deathkob	10
89	SpacesickPrism	10
89	fffMike	10
89	TechnoNinja64	10
89	diggydog67	10
96	T045RTY	9
96	r123moore	9
96	Kynigito	9
96	HolyVenom	9
96	TheSeismicDuck	9
96	FreakGenius	9
96	Fizznut909	9
96	Quotary	9
96	PlasticOtari	9
105	dimondking777	8
105	ratglock	8
105	TheSecondLord	8
105	Hiryu27	8
105	aec9	8
105	KeruNatsema	8
105	Druid95	8
105	pixelviolin	8
105	ZeroKraken	8
105	Powowowow	8
115	titanlax	7
115	_Nat666	7
115	TheDankPlatypus	7
115	hanaryheatwave	7
115	AlexxO_o	7
115	Karbl	7
115	ZoharGoldMine	7
115	Kowcio_	7
115	Soplight	7
115	PortlyPete69	7
115	Steelynan	7
115	Biites	7
127	diamondgolem35	6
127	RatatJuice	6
127	Historical_Sand	6
127	xxPipperDipperxx	6
127	MyNameIsJobo	6
127	EveryonesUncle	6
127	Xclax101	6
127	Blaiku	6
127	skitzxo	6
136	SuperPooch06	5
136	Azmodan_246	5
136	RebytreGT	5
136	Voxin2K	5
136	balin55	5
136	NameGenerat0r	5
136	WyngGoy	5
143	Groovy_MoonBird	4
143	Apollo_993	4
143	Prismyst	4
143	burbankbuilder28	4
143	domagawha	4
143	AvaRosey	4
143	miramyu	4
143	_i_ERROR_i_	4
143	MilleGrug	4
143	HesDemonPants	4
153	SmashingPump	3
153	Frozil20	3
153	bloodbiter	3
153	emrekn	3
153	Inchef	3
153	gamerlord1324	3
153	RobotMinion101	3
153	groofles	3
153	Factoroni	3
153	stellarjay	3
153	FishisTTV	3
164	hm947	2
164	Huwulling	2
164	Cryptacity	2
164	poopybh	2
164	excelsionprime	2
164	Covalents	2
164	Bumpy419	2
164	Werbe	2
164	Eerini	2
164	Jimi7hits	2
164	KlausVonStiglitz	2
164	YungWali	2
164	_Karmaa	2
164	Blu3beast	2
164	Gus2005	2
164	monky_irl	2
164	SexcMf	2
164	SammiWolfGirl	2
164	laron58	2
164	erkada	2
184	dudcreeper	1
184	tuckerdoodle	1
184	BodaciousCake	1
184	CoffeeNoir	1
184	xPixelRainx	1
184	ProfessorBee	1
184	Secret_Canary	1
184	crying_wolf_13	1
184	M_Patata	1
184	CollinMH06	1
184	Donutt	1
184	fw3xy74	1
184	AstreaTSS	1
184	pretty_pink_reno	1
184	MasterNueve	1
184	MakeHistory157	1
184	sp00ky_ghost977	1
184	Pumpkin_P_Patch	1
184	EngagedGrub41	1
184	Skippeh	1
184	ConnorDanky_	1
184	Sral7	1
