rank	username	minecraft:picked_up/minecraft:orange_stained_glass
1	Hyp3rion_	124736
2	Yamdalorian	1636
3	Manaateee	1147
4	beeperbeeper5	602
5	pintsizedrogue	401
6	EMC_	338
7	Hoid_the_Roamer	303
8	Winklepicker279	268
9	Steelynan	258
10	lordpipe	247
11	luseis	134
12	Kowcio_	130
13	joethahobo	128
14	Mattesco	121
15	cuddlyMonster	112
16	_Virify_	105
17	fffMike	88
17	Jimb0nat0r	88
19	DarlaMeow	72
19	mihimihimihi	72
21	pixelviolin	68
22	eitanzaki	65
23	Spacewardharpy7	62
24	fw3xy	60
25	Blu3beast	59
26	Lez_	55
27	VentiHilton	54
28	KingMatthew506	49
29	jnp_gaming	48
30	Inchef	45
31	TechnoNinja64	39
32	theonlymagikarp	28
32	r123moore	28
34	RoskobiOne	26
35	xxPipperDipperxx	25
36	thewindmillman	24
37	mwrty	21
37	Inbefour	21
39	Mahoose	20
39	walll	20
39	Groundler	20
42	_Huge_Male_	18
42	ApophisNova	18
42	MyNamaSheff	18
45	xXTheWolfmanXx	16
46	TheSecondLord	14
46	The_slideV3	14
46	The_SlideV5	14
49	Groovy_MoonBird	13
49	Notta	13
51	titanlax	12
51	noam464	12
51	doublemaki	12
54	StarCookiees_	11
55	RebelAndroid	10
55	m_be9	10
55	FreakGenius	10
58	AuroraValkyrie	9
59	Saucepeh	8
59	NotMeanttoChange	8
59	Segotep999	8
59	PlasticOtari	8
59	Earlesstrain4	8
64	Mr_Byzantine	7
64	Niklas20114552	7
64	Onennon	7
67	EdGalbraith	6
67	El_Jalapeno	6
67	Soplight	6
67	ConnorDanky_	6
71	BobDeBouwer1337	5
71	Werbe	5
71	MAns_44	5
71	little_dUki	5
75	Blackberry1310	4
76	kekhon	3
76	Maenara	3
76	Akoot_	3
76	Pumpkin_P_Patch	3
76	robonya_	3
76	EcksD	3
76	AltnumberF4	3
83	HUNTERmaun	2
83	craaaash	2
83	SuperPooch06	2
83	Arceus1975	2
83	HellsSponge	2
83	MangoSalad316	2
83	Blaiku	2
83	SkateboardR6	2
83	Spenduh	2
83	Quotary	2
93	CLG_Kata	1
93	PazinGaming	1
93	Secret_Canary	1
93	SteveCraftBlocks	1
93	_Dean_123	1
93	Xalithia	1
93	Marbz_	1
93	Snowflowe	1
93	U_Mos_	1
93	oscminus	1
93	RobotMinion101	1
93	AlexxO_o	1
93	Shogunite	1
93	MightyWertu	1
