rank	username	minecraft:picked_up/minecraft:redstone
1	Hyp3rion_	1553855
2	thewindmillman	776476
3	noam464	409208
4	EcksD	181590
5	Fuad_R	83123
6	Spacewardharpy7	66692
7	pintsizedrogue	58579
8	Blaiku	56190
9	TheShyPig	48512
10	Enderxz3	47082
11	Lez_	38850
12	eitanzaki	33926
13	Di_infiri	33532
14	AdmiralSmoke	32266
15	livingdaydreams	30587
16	_Nuf	30568
17	Jackattack53	29303
18	mwrty	28682
19	gcaisawesome	28283
20	500am	25051
21	EMC_	24895
22	Werbe	24114
23	PigDab	23845
24	ROY4LE	23789
25	lordpipe	22557
26	thescout7	21955
27	PhantomsGhost_	21041
28	Snowflowe	20069
29	HellsSponge	19995
30	m_be9	19316
31	Nicserso	18914
32	kekhon	18603
33	YungMaki	18528
34	joethahobo	18437
35	beeperbeeper5	18219
36	Awyrlas	18058
37	Inbefour	17032
38	Iamthejo	16983
39	Kakolbus	16540
40	luseis	16301
41	TheSecondLord	15951
42	Eczbek	15680
43	TechnoNinja64	14753
44	ConnorDanky_	14724
45	MyNameIsJobo	14427
46	vandmanden	14351
47	Akoot_	14209
48	T045RTY	13233
49	censorsheep	13084
50	GoofyBread	12754
51	yulgur1	12310
52	Ecplosive	12225
53	cedric72	12058
54	OrewaSora	12045
55	TheThomas69	11978
56	Corbsman	11886
57	Njensen7	11854
58	Skippeh	11815
59	Frozil20	11711
60	Hoid_the_Roamer	11637
61	FreakGenius	11438
62	SaucyDark	11111
63	PlasticOtari	10959
64	Ezekson	10951
65	NatalieTW	10662
66	The11thDoctor	10489
67	TheBananaKat	10315
68	r123moore	10139
69	12Magner05	9837
70	rarrq	9645
71	Toriankel	9605
72	fffMike	9073
73	Fullut	8815
74	Zythose	8749
75	sp00ky_ghost977	8710
76	Bandito_Roamer	8631
77	eviltunix	8437
78	ShedJr_	8321
79	Ryan_GEMS	8277
80	Malorn_Aetherius	8233
81	6king6colt6	8066
82	WyngGoy	7888
83	non089	7764
84	masskedman	7644
85	Mahoose	7429
86	Steelynan	7330
87	ApophisNova	7298
87	MyNamaSheff	7298
89	mihimihimihi	7283
90	soundad	7169
91	BreadBacon	7105
92	diamondgolem35	7101
93	Airem_Core	7096
94	q_wq	7054
95	hanaryheatwave	7049
96	SSytex_X	6906
97	Kyrum2169	6905
98	_3Stump_	6891
99	Groundler	6868
100	Cowison	6863
101	Blackberry1310	6801
102	Arceus1975	6631
103	TooManyDuck	6558
104	corvidpartyfor6	6548
105	Xclax101	6532
106	Soap_Bender	6521
107	RebelAndroid	6515
108	SammiWolfGirl	6488
109	h2p_emrld	6427
110	fade_emerge78823	6422
111	PlzNoBM	6405
112	Kubelz	6394
113	jnp_gaming	6367
114	eiC_	6337
115	Windo_licker	6066
116	Barlycorn	6040
117	Legendosh	6032
118	Historical_Sand	5957
119	Mr_Byzantine	5885
119	Zaridey	5885
121	Warlord324	5777
122	Kowcio_	5751
123	XboxPanda	5682
124	Manaateee	5627
125	CoffeeNoir	5619
126	NameGenerat0r	5576
127	Elastiq	5537
128	Zedducius	5480
129	valkam13	5426
130	Spenduh	5400
131	LeauVox4921	5390
132	Eczbox	5362
133	xPixelRainx	5353
134	MightyWertu	5264
135	Cocoamallows	5262
136	EveryonesUncle	5246
137	slkiey	5208
138	TheSeismicDuck	5192
139	Russiancat1	5177
140	intropass	5092
141	Mewar	5082
142	Lutres_	5078
143	Rumpletaezer	5076
144	Factoroni	5070
145	MirielThePastor	5050
146	MoistMicrowave	5020
147	NoChumpChange	4975
148	Lord_Jord	4964
149	ProfessorBee	4958
150	skrongus	4940
151	silverpopcorn	4868
152	El_Jalapeno	4843
153	Shogunite	4824
154	set67	4801
155	G1ldor	4786
156	Franco093	4751
157	Vetral1	4714
158	wezzzi	4699
159	xDzarkious	4686
160	Bumpy419	4608
161	_TCARREIRA_	4606
162	AuroraValkyrie	4556
163	Soplight	4512
164	lotarp	4493
165	RedcatVII	4489
166	SvenskaHugo	4463
167	anbbang	4417
168	gary_	4392
169	GravitySaint	4385
170	__tomato	4366
171	Meatlaugh	4357
172	Hermanni__	4309
173	_i_ERROR_i_	4303
174	alderban107	4252
175	AlphaWolfPlaysMC	4232
176	Comma__	4221
177	PegLegPete93	4125
178	DaviusMaximoose	4088
179	Smashic	4000
180	crying_wolf_13	3963
181	yheece	3887
182	tlustyCZARNY	3879
183	bloodbiter	3866
184	starbits140	3834
185	Myszoaz	3793
186	Hiryu27	3792
187	Deodorante	3778
188	Skylord_Luke	3747
189	ImpavidArcher	3735
190	SlayerCrypto	3719
191	TheTrueClipse	3685
192	__Fanda__	3655
193	PazinGaming	3636
194	Hisiste	3619
195	boog4loo	3603
196	xzvu	3570
197	audiocracked	3555
198	Kamflame10	3535
199	Groovy_MoonBird	3515
200	Razzgriz	3503
201	Kim_Jong_eel	3469
202	Covalents	3467
203	ElectricDragon81	3461
204	Eraxa	3442
205	FishyBoy3811	3441
206	BlankityMcBlank	3423
207	fluddd	3409
208	Quincannon	3336
209	UncreativeArtist	3332
210	SingedBread	3317
211	ssleepless	3281
211	hcb238	3281
213	Deathkob	3262
214	MakeHistory157	3254
215	KarlKaek	3249
216	ImDisconnected_	3234
217	Typadopoulos	3212
218	Skomo	3211
218	EngagedGrub41	3211
220	Jovaphobic	3206
221	Reamdin	3170
