rank	username	minecraft:picked_up/minecraft:moss_block
1	noam464	36073
2	thewindmillman	31278
3	pintsizedrogue	13996
4	12Magner05	8620
5	EMC_	8287
6	AdmiralSmoke	7299
7	Hyp3rion_	7126
8	EcksD	6126
9	luseis	5200
10	Mahoose	4447
11	Manaateee	3928
12	Alteriity	3822
13	Iamthejo	3795
14	Blackberry1310	3579
15	Marbz_	3150
16	xxPipperDipperxx	3074
17	shadowthemonkey	2861
18	SpacesickPrism	2564
19	TheSecondLord	2110
20	PlasticOtari	1932
21	Enderxz3	1892
22	groofles	1849
23	CattSoup	1664
24	EngagedGrub41	1577
25	GooseWithin	1529
26	AlexxO_o	1413
27	Steelynan	1331
28	EveryonesUncle	1306
29	Inchef	1303
30	Kakolbus	1215
31	NomadicRobin_	1117
32	eitanzaki	1020
33	Jimb0nat0r	977
34	Lutres_	965
35	Crowman1	876
36	Lez_	856
37	YungMaki	834
38	Jimi7hits	828
39	Flores991	816
40	Legendosh	813
41	00000000-0000-0000-0009-01ff0c3e5e4f	798
42	Kowcio_	774
43	PigDab	769
44	Rebytre	630
45	Sleepy_Time_	607
46	Ryker	577
47	diamondgolem35	558
48	SuperPooch06	556
49	Jackattack53	545
50	WYFYoyo	542
51	hanaryheatwave	503
52	TheEnderMan548	483
53	wwwwinnebagoooo	411
54	Mattesco	410
55	ImpavidArcher	408
56	CheifJumbo	382
57	RoskobiOne	372
58	pixelviolin	370
59	calamariclam_I	350
60	Nicserso	330
61	SvenskaHugo	321
62	beeperbeeper5	314
63	mihimihimihi	312
64	fluddd	293
65	ApophisNova	280
65	MyNamaSheff	280
67	Quotary	271
68	_stets	269
69	iSammael	268
70	RebelAndroid	261
71	joethahobo	254
72	Mr_Byzantine	250
73	Ezekson	245
74	Mr_Sun15	235
75	MineMaster0012	228
76	jessewegottacook	227
77	Segotep999	223
78	H0UNDFRMH3LL	217
79	Fuad_R	215
80	Kekoo	212
81	EtherealEspresso	205
82	kekhon	202
83	soundad	195
84	Huwulling	193
85	rachcl	184
85	SyntheticSurgeon	184
85	StinkyDiplomat	184
88	Soplight	181
89	Krowuss	180
89	lordpipe	180
91	MAns_44	178
92	CoffeeNoir	176
93	bearlystraight	158
93	kyouma777	158
95	itburb	155
96	orxngejuice	148
96	Dakar_	148
98	ECstardust	142
98	tuckerdoodle	142
100	2blox_	136
101	TheDankPlatypus	135
102	PazinGaming	134
103	Deathkob	131
103	non089	131
105	SkinnyBois	125
106	SteveCraftBlocks	122
107	dimitri0s	114
107	HoltGrim	114
109	nattybears	100
110	FreakGenius	92
111	_Huge_Male_	88
111	LeGold	88
113	thebaddruid	85
113	Spacewardharpy7	85
115	Groovy_MoonBird	84
116	ITDV	83
117	BINKENSTOCK	80
118	Pofen	78
118	Avocadogerms	78
120	dartwaffle	77
121	500am	76
122	Toriankel	75
123	hm947	73
124	Lord_Doob	67
125	0Vyp_	64
126	_Razaria	63
126	LeEricc	63
128	Sheldor097	62
129	SvenskaAlvar	60
130	PortlyPete69	59
131	IgnoredBee	56
132	SlayerCrypto	55
133	SmashingPump	54
133	Rocco_Lane	54
135	CedeMC	51
136	SvenskaSara	49
137	fade_emerge78823	48
137	_Boipl_	48
139	Skylord_Luke	44
139	athereall	44
141	gcaisawesome	42
141	LeonelSalamanca	42
143	Valoth	39
144	Eczbek	38
145	JETrotter	37
145	zToasty69z	37
145	tsitrawhy	37
148	Arceus1975	35
149	AuroraSkies	34
150	Auseawesome	33
151	RatatJuice	32
151	ShedJr_	32
151	LeauVox4921	32
151	00000000-0000-0000-0009-01fc796cc078	32
155	Gamergirl420628	29
156	TheWildMateo	28
156	coobert42	28
158	Koffeeinz	27
158	sammidk	27
158	TheALV	27
161	BPTY4618	26
161	corvidpartyfor6	26
161	NameGenerat0r	26
164	k_ce	25
164	shrimp_flips	25
166	No_Bena	22
167	im_very_saad	21
167	MilleGrug	21
169	Prismyst	20
169	prizm_	20
169	Winklepicker279	20
172	Miroryk	19
173	Merv__	18
173	chrolus	18
173	Aryamanee	18
176	q_wq	17
176	himak1	17
176	Silvo614	17
176	TJawesome09	17
176	00000000-0000-0000-0009-01f073f37a91	17
181	lizardfightclub	16
181	OffWithTheirHead	16
183	TemoraScorpendra	15
183	weabis	15
185	T045RTY	14
185	Da_Boss_Rani	14
185	FadedSpade82	14
188	MrKrabOnCoke	11
189	SnowyAvi	10
189	Jonafrog99	10
189	Nycteus_	10
189	sp00ky_ghost977	10
189	mobunni	10
194	DinoDoctor_	9
194	Killercatty78	9
194	MinttyFressh	9
194	Dan_Scha	9
194	Human_Resource	9
194	satuern	9
200	KarlKaek	8
200	Tsuki95	8
200	_HoneySlime_	8
200	XboxPanda	8
204	robocrypto	7
204	_Nat666	7
204	luvRust	7
204	XxCookiequeenxX	7
204	UCP_TheKingK	7
204	Spenduh	7
210	Tommhh	6
210	xPixelRainx	6
210	MattieHD	6
210	Smashic	6
210	Sepulcro	6
210	Hermanni__	6
210	00000000-0000-0000-0009-01f80c5e9346	6
217	eli_tschki	5
217	Tiktola01	5
217	ItsDeltaMC	5
220	__lizi	4
220	SquadMonster	4
220	saniyasoup	4
220	JitteryJared2	4
220	The_Fulgurator	4
220	Yahir091	4
226	CaracolCxnt	3
226	IamLettuce13	3
226	NLKBuilder	3
226	BusinesManFrecks	3
226	CarryLine	3
226	Blu3beast	3
226	Druid95	3
226	JosephCW	3
226	Meeerkat	3
226	_i_ERROR_i_	3
226	_Dri_	3
226	00000000-0000-0000-0009-01f73aa9620f	3
238	Frozil20	2
238	Creativebuilder2	2
238	ChampPog_	2
238	I_Moose	2
238	_Dean_123	2
238	excelsionprime	2
238	Masssonnn	2
238	KGTV	2
238	2Stout	2
238	benediktine1	2
238	The_Cruncy	2
238	floodjon	2
238	Ghemmah	2
238	Luminad3	2
238	Akoot_	2
238	Vicemaniac	2
238	SammiWolfGirl	2
238	infiniteQuery	2
238	Heisenbberrg	2
238	CalebDHawk	2
238	jcool7	2
238	Trioxide	2
238	00000000-0000-0000-0009-01fa3caf2694	2
261	MatsTheGoat	1
261	Apollo_993	1
261	AgressiveEggdog	1
261	ZaneABrain	1
261	TAKrules	1
261	Megabatman	1
261	rarrq	1
261	PaigeDown	1
261	sugqr_Rush	1
261	imcombxt	1
261	CollinMH06	1
261	Di_infiri	1
261	Malware_Mara	1
261	ItsMrRamen	1
261	fw3xy74	1
261	TruestTurnip	1
261	lillips	1
261	Quaintster	1
261	3_Solar_3	1
261	LazySupport00	1
261	Bonzaidalek	1
261	KujikawaRisechi	1
261	brofrickcheaters	1
261	NoobyandApple	1
261	Fire_beast	1
