rank	username	minecraft:picked_up/minecraft:horn_coral_fan
1	Kouridragon	904
2	Legendosh	565
3	thewindmillman	390
4	El_Jalapeno	370
5	pintsizedrogue	326
6	ImpavidArcher	288
7	Enderxz3	225
8	TheShyPig	213
9	Hyp3rion_	202
10	Di_infiri	162
11	500am	148
12	MilleGrug	137
13	12Magner05	119
14	RoskobiOne	85
15	ApophisNova	82
15	MyNamaSheff	82
17	_Dean_123	74
18	Mahoose	71
18	YungMaki	71
20	Jackattack53	69
20	HellsSponge	69
22	AuroraValkyrie	62
22	Mewar	62
24	Fullut	60
25	Spacewardharpy7	58
26	noam464	57
27	lordpipe	52
28	Merv__	49
28	livingdaydreams	49
30	Vetral1	45
30	FreddyFart	45
32	tsohomie	40
33	kekhon	39
34	Onennon	37
35	Inbefour	36
36	Jovaphobic	35
36	Kura2218	35
38	Blackberry1310	34
38	luseis	34
40	__tomato	33
41	IdeallyGrey	30
42	Xalithia	28
43	Xclax101	25
43	mihimihimihi	25
43	djancak	25
46	Maenara	23
47	Marbz_	22
48	Ssor69	21
48	KingMatthew506	21
50	Smoke____	20
51	SaucyDark	19
52	Iagoku	18
53	surfinggiraffejp	17
53	eiC_	17
53	Luigipunch989	17
56	XxCookiequeenxX	16
57	bloodbiter	15
57	Kakolbus	15
57	Deathkob	15
60	dimondking777	14
60	Rebytre	14
60	RoofTyler	14
60	h2p_emrld	14
64	Dusk_95	13
64	EcksD	13
66	ShedJr_	12
66	joethahobo	12
66	urbeans	12
66	Rumpletaezer	12
66	domagawha	12
66	TheSeismicDuck	12
66	PortlyPete69	12
66	Powowowow	12
74	Bandito_Roamer	11
74	beeperbeeper5	11
74	TheDankPlatypus	11
74	Snowflowe	11
74	PigDab	11
74	ZA07	11
74	Fuad_R	11
74	ZoharGoldMine	11
74	TechnoNinja64	11
83	Lez_	10
83	legal_tax_evader	10
83	Arceus1975	10
83	burbankbuilder28	10
83	groofles	10
83	AvaRosey	10
83	Nicserso	10
90	TheSecondLord	9
90	r123moore	9
90	Voxin2K	9
90	binman420	9
90	FreakGenius	9
90	SpacesickPrism	9
90	Quotary	9
90	Sral7	9
90	diggydog67	9
99	Steelynan	8
100	eitanzaki	7
100	T045RTY	7
100	titanlax	7
100	Noah_Bez	7
100	RobotMinion101	7
100	aec9	7
100	KeruNatsema	7
100	NameGenerat0r	7
100	Kowcio_	7
109	Groovy_MoonBird	6
109	ratglock	6
109	ProfessorBee	6
109	Covalents	6
109	Quaintster	6
109	iSammael	6
109	Fizznut909	6
109	fffMike	6
117	tuckerdoodle	5
117	xxPipperDipperxx	5
117	Bumpy419	5
117	Kynigito	5
117	Eerini	5
117	Blaiku	5
117	Factoroni	5
117	lcvezra	5
117	NATE_the_HALO	5
117	ZeroKraken	5
127	SmashingPump	4
127	BodaciousCake	4
127	Inchef	4
127	2Stout	4
127	SuperPooch06	4
127	monky_irl	4
127	pixelviolin	4
127	HesDemonPants	4
127	Biites	4
127	FishisTTV	4
137	CoffeeNoir	3
137	Prismyst	3
137	xPixelRainx	3
137	emrekn	3
137	benediktine1	3
137	Smussa	3
137	F_Uhre	3
137	Jimi7hits	3
137	balin55	3
137	_Karmaa	3
137	Typadopoulos	3
137	sp00ky_ghost977	3
137	laron58	3
137	erkada	3
137	Skippeh	3
152	6king6colt6	2
152	RatatJuice	2
152	Historical_Sand	2
152	Cryptacity	2
152	jacxhadow	2
152	MyNameIsJobo	2
152	fw3xywashere	2
152	audiocracked	2
152	Jiminbub	2
152	KlausVonStiglitz	2
152	WyngGoy	2
152	MakeHistory157	2
152	gusstationwerker	2
152	stellarjay	2
152	SammiWolfGirl	2
152	ConnorDanky_	2
152	PlasticOtari	2
152	Zoeyfortnite	2
170	dudcreeper	1
170	abramgray	1
170	Incinere	1
170	Huwulling	1
170	IWorkAtIkea	1
170	heckface	1
170	Stynxy	1
170	Comma__	1
170	shyshyannne	1
170	UncreativeArtist	1
170	Winklepicker279	1
170	_Cloverbelle_	1
170	YungWali	1
170	Karbl	1
170	The_slideV3	1
170	Lekol	1
170	StinkyDiplomat	1
170	Blu3beast	1
170	GoofySilly	1
170	MightyWertu	1
170	SkateboardR6	1
170	IAmTheWalrus910	1
170	LordSpeed37	1
170	RealGroot	1
170	Ir0npack	1
170	Ezekson	1
170	The_SlideV5	1
