rank	username	minecraft:picked_up/minecraft:water_bucket
1	noam464	566
2	Freak_Genius	176
3	El_Jalapeno	129
4	Di_infiri	127
5	beeperbeeper5	121
6	thewindmillman	119
7	EcksD	108
8	Hyp3rion_	93
9	joethahobo	89
10	Jackattack53	87
11	Snowflowe	86
12	HellsSponge	85
13	Werbe	72
14	Ezekson	69
15	eitanzaki	68
15	kekhon	68
17	Smoke____	63
18	jcool7	62
19	PigDab	59
20	Mahoose	56
21	Blackberry1310	51
21	thescout7	51
21	Blu3beast	51
24	Akoot_	42
25	Spacewardharpy7	38
26	mwrty	37
27	ROY4LE	36
28	Segotep999	35
29	groofles	31
29	tsitrawhy	31
31	pintsizedrogue	30
31	chipklip	30
31	PlasticOtari	30
34	xxPipperDipperxx	28
34	ApophisNova	28
34	Gryglu583	28
34	MyNamaSheff	28
38	fffMike	27
39	EcksDofficial	26
40	Smashic	25
40	Syropatathe	25
40	Legendosh	25
40	TechnoNinja64	25
44	KarlKaek	24
44	awesomeoneme	24
44	SammiWolfGirl	24
44	jnp_gaming	24
48	titanlax	23
48	Warlord324	23
50	lcvezra	22
51	EMC_	21
51	T045RTY	21
51	loveseeker	21
54	500am	20
54	Blaiku	20
54	WyngGoy	20
54	Steelynan	20
54	Enderslayerxz3	20
54	Freedrik	20
60	Frozil20	19
60	TheDankPlatypus	19
62	PhantomsGhost_	18
62	Merv__	18
62	ImpavidArcher	18
62	Rebytre	18
62	Soplight	18
67	Flores991	17
67	rarrq	17
67	Rumpletaezer	17
67	TheShyPig	17
67	sufjanlover	17
67	PortlyPete69	17
67	Zoeyfortnite	17
74	Huwulling	16
74	Fullut	16
74	YungMaki	16
77	tuckerdoodle	15
77	gaziter10	15
77	gcaisawesome	15
77	Kubelz	15
77	fred870d	15
77	Lord_Jord	15
77	fw3xywashere	15
77	claivin	15
77	obzii	15
86	bloodbiter	14
86	MyNameIsJobo	14
86	cedric72	14
86	Groundler	14
90	TheSecondLord	13
90	set67	13
90	Xalithia	13
90	censorsheep	13
90	lordpipe	13
90	Eraxa	13
90	stahouo	13
97	Crowvens	12
97	SaucyDark	12
97	SyntheticSurgeon	12
97	_Bguette_	12
97	Kowcio_	12
97	_TCARREIRA_	12
97	Powowowow	12
104	Ailmast	11
104	mariominejedi	11
104	Xclax101	11
104	SkateboardR6	11
104	KG1999	11
109	Notta	10
109	Comma__	10
109	XboxPanda	10
109	Bumpy419	10
109	Jiminie	10
109	UCP_TheKingK	10
109	Njensen7	10
109	Quotary	10
109	Wolverine4302	10
118	Chromary	9
118	_8man	9
118	KartivGal	9
118	KliBeast21	9
118	Maenara	9
118	Cocoamallows	9
118	AssFullaCum	9
118	Kyrum2169	9
118	djancak	9
118	Eczbek	9
118	oxfordschool	9
118	smogfrog	9
118	vandmanden	9
118	diggydog67	9
132	Mr_Byzantine	8
132	abramgray	8
132	Incinere	8
132	Historical_Sand	8
132	picardred	8
132	SuperPooch06	8
132	sxc_	8
132	Wowful	8
132	MightyWertu	8
132	Optiprimus	8
132	SvenskaHugo	8
132	__tomato	8
132	cichy096	8
145	Dedalus36	7
145	ivorico	7
145	egglapras	7
145	impossibleteapot	7
145	KeruNatsema	7
145	The_slideV3	7
145	shrimp_flips	7
145	_Karmaa	7
145	Cyntrical	7
145	pixelviolin	7
145	BlankityMcBlank	7
145	KingMatthew506	7
145	Jordan_R	7
158	hm947	6
