rank	username	minecraft:picked_up/minecraft:bamboo_slab
1	Mr_Byzantine	701
2	Yamdalorian	285
3	_Duckery	219
4	k_ce	170
5	KamFurnace	120
6	Cache3	119
7	_witch_craft_	85
8	Mr_Sun15	48
8	SpacesickPrism	48
10	Synthoum	45
11	Buuck_	30
11	robonya_	30
13	Fullbit_	27
14	Napoleonpancake	24
15	pintsizedrogue	17
16	Hoid_the_Roamer	15
17	Dark_Crusader21	13
18	akap47	12
18	Mattesco	12
18	Steelynan	12
21	Lez_	11
22	LuvLuvLove	10
23	Mr_Froxy	9
24	Merv__	6
25	Werbe	5
26	bl1ss0	4
26	kalzor	4
26	Bambuino	4
29	lordpipe	1
29	Kowcio_	1
