rank	username	minecraft:picked_up/minecraft:green_bed
1	Werbe	144
1	AssEatrAndLicker	144
3	slkiey	59
4	Kim_Jong_eel	33
5	SvenskaHugo	20
6	pintsizedrogue	17
7	RatatJuice	16
8	Groovy_MoonBird	13
9	jewbacaman	11
9	chipklip	11
9	Eraxa	11
12	benediktine1	9
13	rarrq	7
13	Vizzoid	7
13	TheDankPlatypus	7
13	audiocracked	7
13	BumbleBeever	7
18	kekhon	6
18	noam464	6
18	Kakolbus	6
18	TheShyPig	6
18	WyngGoy	6
23	SaucyDark	5
23	joethahobo	5
23	lordsaladito	5
23	MustardDrinker	5
23	FishyBoy3811	5
23	SingedBread	5
29	Mr_Byzantine	4
29	TheThomas69	4
29	The_slideV3	4
29	Blaiku	4
29	lcvezra	4
29	Legendosh	4
29	Serval2000	4
36	skatch212	3
36	teslawolf38	3
36	Mahoose	3
36	DBoydart303	3
36	MattieHD	3
36	Di_infiri	3
36	Bumpy419	3
36	ese_wn_po	3
36	Freak_Genius	3
36	Optiprimus	3
36	CACTUSLAD	3
36	jaimshae	3
36	pk1297	3
36	Glumb0	3
36	Slapface522	3
36	Dogcorn69420	3
36	Enderslayerxz3	3
36	2blox	3
54	T045RTY	2
54	heckface	2
54	eclipseboi	2
54	NoraTheYandere	2
54	set67	2
54	hayybails	2
54	TableTim	2
54	Ecplosive	2
54	gabriels543	2
54	WarMachina	2
54	EveryonesUncle	2
54	The_Quack_Dealer	2
54	DarlaMeow	2
54	_Karmaa	2
54	Lowjinx	2
54	EcksDofficial	2
54	561cool	2
71	fanofbands101	1
71	Merv__	1
71	ImpavidArcher	1
71	eitanzaki	1
71	NatrixxddxYT	1
71	_R_y__a_n_	1
71	AlazelTheReal	1
71	Hugi_79	1
71	beeperbeeper5	1
71	Howertt	1
71	Blackberry1310	1
71	ProfessorBee	1
71	thescout7	1
71	egglapras	1
71	Dali1465	1
71	eviltunix	1
71	mimbo1211	1
71	jandrs	1
71	Norrhede	1
71	Zythose	1
71	fred870d	1
71	victorLIE	1
71	HolyVenom	1
71	timelyenigma	1
71	NomadicRobin_	1
71	FreddyFart	1
71	TheCordicus	1
71	HellsSponge	1
71	Soplight	1
71	Seindi	1
71	MilleGrug	1
71	alderban107	1
71	reaperface123	1
