rank	username	minecraft:picked_up/minecraft:spruce_pressure_plate
1	Werbe	507
2	MustaLoordi	210
3	Tyrannosplart	138
4	pintsizedrogue	93
5	HellsSponge	77
6	EcksD	72
7	Lez_	71
8	MyNameIsJobo	59
9	lorpus	54
10	Legendosh	49
11	Cowison	41
12	Mahoose	36
13	kekhon	34
14	Ezekson	32
15	lunathelemon	31
16	Ze_BaronKrigler	29
17	shadowthemonkey	28
17	MineMaster0012	28
19	AssFullaCum	27
20	ROY4LE	25
21	AltnumberF4	24
22	xolstoi	23
23	PlasticOtari	22
24	Onennon	21
24	EveryonesUncle	21
26	Groovy_MoonBird	20
26	FreakGenius	20
28	TheShyPig	19
29	Zoeyfortnite	17
30	Firecracker320	16
30	Eraxa	16
32	Alphanzt99	15
32	500am	15
32	DermeinUser	15
32	ApophisNova	15
32	the_russell1611	15
32	Blu3beast	15
32	MyNamaSheff	15
39	Jackster03	14
39	Bumpy419	14
39	YungMaki	14
42	6king6colt6	13
42	Tiberonus	13
44	SaucyDark	12
44	luseis	12
44	Warlord324	12
44	Kyrum2169	12
44	Nicserso	12
49	Mr_Byzantine	11
49	EMC_	11
49	Ryan_GEMS	11
49	joethahobo	11
49	Cryptacity	11
49	xxPipperDipperxx	11
49	Akoot_	11
49	_Bguette_	11
49	Xclax101	11
49	Groundler	11
59	beeperbeeper5	10
59	Blackberry1310	10
59	pappaberg	10
59	El_Jalapeno	10
59	layabout100	10
64	k_ce	9
64	MOSS000	9
64	tsohomie	9
64	rarrq	9
64	Mattesco	9
64	skrongus	9
70	Sleek_Storm_721	8
70	eitanzaki	8
70	ProfessorBee	8
70	Kakolbus	8
70	Hyp3rion_	8
70	Mr_Sun15	8
76	Saucepeh	7
76	Rumpletaezer	7
76	PaperCanvas	7
76	Quotary	7
76	Jimb0nat0r	7
81	Tolhart	6
81	MattieHD	6
81	_Dean_123	6
81	Fullut	6
81	fr_ser	6
81	Arceus1975	6
81	The_Cruncy	6
81	07shiny	6
89	Paint	5
89	potato292	5
89	Chromary	5
89	420BreadLizard	5
89	drumine	5
89	Celeste_121	5
89	erkada	5
96	MunkaKris	4
96	CLG_Kata	4
96	PazinGaming	4
96	Tommhh	4
96	Incinere	4
96	set67	4
96	crashomon	4
96	ooga47	4
96	1442	4
96	FlashMigma	4
96	cytotoxaint	4
96	lordpipe	4
96	StarCookiees_	4
96	pixelviolin	4
96	obzii	4
96	Hermanni__	4
96	AdmiralSmoke	4
113	dabloons	3
113	AlazelTheReal	3
113	Malorn_Aetherius	3
113	m_be9	3
113	Secret_Canary	3
113	r123moore	3
113	RobotMinion101	3
113	ese_wn_po	3
113	_Karmaa	3
113	Burge_r	3
113	Segotep999	3
113	ediballbearings	3
125	Tobinator_007	2
125	_Huge_Male_	2
125	Foof13	2
125	q_wq	2
125	DepressedCubic	2
125	jessewegottacook	2
125	H72l9w	2
125	tramizu	2
125	ccormacs	2
125	Ozixar	2
125	TheSecondLord	2
125	Sloths_Ender	2
125	Cidah	2
125	himak1	2
125	orxngejuice	2
125	noam464	2
125	CaptainSteve345	2
125	Jackattack53	2
125	Zythose	2
125	domagawha	2
125	Shiirazu	2
125	Shavrin	2
125	Austinizzle	2
125	ADEXTV	2
125	fkGrim	2
125	Ragnar2105	2
125	Manaateee	2
125	Avocadogerms	2
125	MAns_44	2
125	ayamefag	2
125	Kowcio_	2
125	PlzNoBM	2
125	UltraZombie	2
125	CalebDHawk	2
125	Steelynan	2
125	Iamthejo	2
125	Powowowow	2
125	PA_Tech_Gaming	2
163	prodby_Lyka	1
163	ssleepless	1
163	hm947	1
163	Hpdinosaur	1
163	ManUtdBoy_	1
163	Arteriana	1
163	ITDV	1
163	Cyanide4Kitten	1
163	FjordVPN	1
163	Stynxy	1
163	NieToksikpl	1
163	Crowman1	1
163	jushykins	1
163	12Magner05	1
163	Megarboh	1
163	ConcretePirate	1
163	Kamflame10	1
163	Inchef	1
163	supernecessary	1
163	Dyosy	1
163	Covalents	1
163	ehunt54	1
163	M_Patata	1
163	TableTim	1
163	BlueZabu	1
163	thatbeanyboi	1
163	Jonafrog99	1
163	hanaryheatwave	1
163	thebaddruid	1
163	DAD_1996	1
163	victricemque	1
163	HyperCave	1
163	LeGold	1
163	handsome_strong	1
163	Fuad_R	1
163	SeagullRedRover	1
163	Cavetorch	1
163	MightyWertu	1
163	Racengan	1
163	lolpoottoot	1
163	DarkLawD	1
163	MovingFish7	1
163	Druid95	1
163	MasterNueve	1
163	OG_Songsee	1
163	LordSpeed37	1
163	carbo_bro	1
163	Sank34	1
163	robotemo	1
163	Soplight	1
163	lcvezra	1
163	Chuglyfe	1
163	jcool7	1
163	EngagedGrub41	1
163	Enderxz3	1
163	TechnoNinja64	1
163	Jordan_R	1
163	CrazyPotater	1
163	WYFYoyo	1
163	Teebone15	1
163	JayToe	1
163	MadmanRaven	1
