rank	username	minecraft:picked_up/minecraft:granite_wall
1	TheShyPig	307
2	HellsSponge	156
3	Mahoose	154
4	Meatlaugh	133
5	2Stout	128
6	weabis	124
7	Kubelz	105
8	Stiar	81
9	Jindong	70
9	Fuhrer_Teemo	70
11	Smoke____	50
12	BobDeBouwer1337	36
12	Doom_melon	36
14	MyNameIsDakar	35
15	DemTechAlpha	34
16	Merv__	30
17	Frozil20	21
17	Hoid_the_Roamer	21
19	TheSecondLord	20
19	TheWildMateo	20
21	MightyWertu	18
21	Kowcio_	18
23	Snowflowe	17
24	PhantomsGhost_	16
25	lordpipe	15
26	AlphaWolfPlaysMC	11
27	Optiprimus	10
28	Onennon	8
28	jewbacaman	8
28	RoofTyler	8
31	_Bguette_	7
31	SprinklerMan	7
31	561cool	7
34	AuroraValkyrie	6
34	CoffeeNoir	6
34	cedric72	6
34	Maenara	6
34	El_Jalapeno	6
39	KarlKaek	5
39	beeperbeeper5	5
39	DarlaMeow	5
42	rarrq	4
42	xolstoi	4
44	eitanzaki	3
44	joethahobo	3
44	thescout7	3
44	TechnoNinja64	3
48	titanlax	2
48	TheDankPlatypus	2
48	DC_XII	2
48	PlasticOtari	2
52	TAKrules	1
52	500am	1
52	noam464	1
52	drunkeeez	1
52	killmeiamtraitor	1
52	Felenov	1
52	CuzIm2Kev	1
52	Legendosh	1
