rank	username	minecraft:picked_up/minecraft:sniffer_egg
1	Jimb0nat0r	96
2	Werbe	44
3	Fullut	39
4	TheSecondLord	36
5	Lez_	21
6	j5ylim	15
6	Kakolbus	15
8	PazinGaming	14
9	beeperbeeper5	11
10	Steelynan	10
11	pintsizedrogue	9
11	k_ce	9
13	EveryonesUncle	8
14	oscminus	5
14	_Mythic____	5
16	Merv__	4
16	Alteriity	4
16	MAns_44	4
19	ECstardust	3
19	Krowuss	3
21	ZaneABrain	2
21	Jackattack53	2
21	hanaryheatwave	2
21	SvenskaSara	2
21	luseis	2
21	StarCookiees_	2
21	pixelviolin	2
21	Enderxz3	2
29	Huwulling	1
29	Smashic	1
29	noam464	1
29	OreTheBear	1
29	Kowcio_	1
29	MineMaster0012	1
