rank	username	minecraft:picked_up/minecraft:copper_ingot
1	thewindmillman	248880
2	Hyp3rion_	55960
3	TheSecondLord	4127
4	Jonafrog99	3822
5	Toriankel	2256
6	Kowcio_	1747
7	Fuad_R	1733
8	Enderxz3	1622
9	12Magner05	1395
10	Huwulling	528
11	Steelynan	515
12	pintsizedrogue	375
13	ApophisNova	350
13	MyNamaSheff	350
15	Jimi7hits	230
16	mihimihimihi	190
17	Mattesco	186
18	00000000-0000-0000-0009-01ff0c3e5e4f	158
19	500am	135
20	diamondgolem35	132
21	JohnnyMines	128
22	Khelvoryk	126
23	00000000-0000-0000-0009-01f570995a20	120
24	Moofyman	112
25	Smoke____	109
26	RoofTyler	100
27	Jackattack53	99
28	Soplight	75
29	Mr_Byzantine	73
30	Vegvisir	70
31	Mookle96	65
31	xxPipperDipperxx	65
33	PlasticOtari	63
34	calamariclam_I	62
35	Lutres_Torane	56
36	mobunni	47
37	Flores991	46
37	fffMike	46
39	GlitchyPlate810	45
40	WYFYoyo	38
41	IdeallyGrey	25
42	EMC_	23
43	orxngejuice	22
44	Lumien_	21
45	gusstationwerker	20
46	pixelviolin	18
46	starbits140	18
48	FreakGenius	16
48	Ezekson	16
50	YungMaki	15
51	noam464	14
52	C0by3llis	13
52	Jeteight	13
54	joethahobo	12
54	Kubelz	12
54	CharlieButt	12
54	prizm_	12
54	SlayerCrypto	12
59	RatatJuice	11
59	Legendosh	11
61	Mahoose	10
61	EngagedGrub41	10
63	Chickenchaser2	9
63	EveryonesUncle	9
65	beeperbeeper5	8
65	wwwwinnebagoooo	8
65	RealGroot	8
65	Njensen7	8
69	Ryker	7
69	MinttyFressh	7
69	zToasty69z	7
72	Eczbek	6
73	Nicky_H225	5
73	Smashic	5
73	himak1	5
73	Arceus1975	5
73	NomadicRobin_	5
73	Spacewardharpy7	5
73	smogfrog	5
80	Merv__	4
80	Base_Tempest	4
80	NieToksikpl	4
80	Blackberry1310	4
80	Kkanot	4
80	Touched_Bread	4
80	Lord_Zacler	4
80	SvenskaHugo	4
80	AltnumberF4	4
89	Creativebuilder2	3
89	TAKrules	3
89	Myszoaz	3
89	Sleepy_Time_	3
89	corvidpartyfor6	3
89	lorpus	3
89	LeauVox4921	3
89	Rocco_Lane	3
97	teslawolf38	2
97	ImpavidArcher	2
97	hm947	2
97	ShedJr_	2
97	Valoth	2
97	Megarboh	2
97	_Dean_123	2
97	CyrusIsTired	2
97	Z3braYTIL	2
97	Xalithia	2
97	2Stout	2
97	TheDankPlatypus	2
97	Marbz_	2
97	dartwaffle	2
97	KeruNatsema	2
97	groofles	2
97	Lord_Jord	2
97	luseis	2
97	StinkyDiplomat	2
97	SingedBread	2
97	sp00ky_ghost977	2
97	ZoharGoldMine	2
97	TheEnderMan548	2
97	kyouma777	2
97	non089	2
97	obzii	2
97	Iamthejo	2
97	EcksD	2
97	coobert42	2
126	chipklip	1
126	_Huge_Male_	1
126	RoskobiOne	1
126	PazinGaming	1
126	shineh10	1
126	Yatitay	1
126	Frozil20	1
126	_Razaria	1
126	RebelAndroid	1
126	Alteriity	1
126	CoffeeNoir	1
126	PhantomBionic	1
126	QuiCreans	1
126	John_Acacia	1
126	Auseawesome	1
126	SteveCraftBlocks	1
126	Enigma0251	1
126	hcb238	1
126	gcaisawesome	1
126	drunkeeez	1
126	Kakolbus	1
126	CollinMH06	1
126	Snowflowe	1
126	Silvo614	1
126	nut_e	1
126	Rebytre	1
126	Felenov	1
126	HyperCave	1
126	AlexxO_o	1
126	Dan_Scha	1
126	Hail_the_wombat	1
126	H_O_M_H	1
126	AuroraSkies	1
126	Joestra	1
126	lillips	1
126	_Karmaa	1
126	MAns_44	1
126	GoofySilly	1
126	the__Reaper4999	1
126	Racengan	1
126	Eraxa	1
126	UCP_TheKingK	1
126	MilleGrug	1
126	TheALV	1
126	IronVines	1
126	ZoomieZoomie	1
126	_Dri_	1
