rank	username	minecraft:picked_up/minecraft:iron_leggings
1	T045RTY	36
2	masskedman	32
3	cichy096	23
4	pintsizedrogue	22
5	Hyp3rion_	21
6	Legendosh	20
7	PhantomsGhost_	16
8	Groundler	15
9	Di_infiri	14
10	joethahobo	13
10	El_Jalapeno	13
12	rarrq	12
12	thewindmillman	12
12	Freak_Genius	12
12	Ezekson	12
16	Akoot_	11
16	stahouo	11
18	ROY4LE	10
18	sufjanlover	10
18	Frozil12	10
21	TheSecondLord	9
21	set67	9
21	yulgur1	9
21	EveryonesUncle	9
21	Blaiku	9
21	jnp_gaming	9
21	EcksDofficial	9
28	I_Am_Mushkin	8
28	emrekn	8
28	noam464	8
28	wezzzi	8
28	Gryglu583	8
28	HellsSponge	8
34	Drlzyy	7
34	ShedJr_	7
34	Historical_Sand	7
34	picardred	7
34	mwrty	7
34	TheShyPig	7
34	Hisiste	7
34	Kubeusz2010	7
42	6king6colt6	6
42	awesomeoneme	6
42	tramizu	6
42	Euclidoris	6
42	jacxhadow	6
42	kekhon	6
42	Chromary	6
42	GreedyFern8581	6
42	DAD_1996	6
42	Soplight	6
42	ProbsNotNova	6
42	CalebDHawk	6
42	oxfordschool	6
42	TechnoNinja64	6
42	Smoke____	6
57	nataliecool	5
57	diamondgolem35	5
57	Myszoaz	5
57	beeperbeeper5	5
57	Ardennes	5
57	Fullut	5
57	Kkanot	5
57	Karbl	5
57	NameGenerat0r	5
57	_czarny	5
57	Racengan	5
57	monky_irl	5
57	Kowcio_	5
57	YungMaki	5
57	AssFullaCum	5
57	djancak	5
57	laron58	5
57	EcksD	5
57	Enderslayerxz3	5
57	PlasticOtari	5
77	Nekowu	4
77	IronArshXS	4
77	ImpavidArcher	4
77	Mahoose	4
77	ABUSNA1996	4
77	MattieHD	4
77	IforgotCS_Source	4
77	LotusProject	4
77	Mewar	4
77	Bumpy419	4
77	Sky_light_KING	4
77	XxCookiequeenxX	4
77	chipklip	4
77	_Karmaa	4
77	hdtpm	4
77	__tomato	4
77	lcvezra	4
77	fffMike	4
77	VentiHilton	4
96	JohnnyFyes	3
96	strongman951753	3
96	Sleek_Storm_721	3
96	_Razar	3
96	eitanzaki	3
96	Jackster03	3
96	dopplexd	3
96	Blackberry1310	3
96	Rich_Kat	3
96	GingerNeutron	3
96	_Nuf	3
96	thescout7	3
96	hcb238	3
96	platinumzero	3
96	gabriels543	3
96	SlayerCrypto	3
96	yaboo88	3
96	Arceus1975	3
96	burbankbuilder28	3
96	Werbe	3
96	ooga47	3
96	HolyVenom	3
96	Lord_Jord	3
96	Toriankel	3
96	TheDumbHuman	3
96	ayamefag	3
96	DontHaveKick	3
96	GlitchyPlate810	3
96	smogfrog	3
96	kinas45y5	3
126	doopiyo	2
126	Bandito_Roamer	2
126	littlesophiagirl	2
126	xyct	2
126	fanofbands101	2
126	Merv__	2
126	EMC_	2
126	Batman922	2
126	Stright_	2
126	Ozixar	2
126	Upstro10	2
126	cowgirlkasia	2
126	CliffEmAll	2
126	Phlp	2
126	m_be9	2
126	rpmm	2
126	Enigma0251	2
126	egglapras	2
126	surfinggiraffejp	2
126	Xalithia	2
126	2Stout	2
126	gcaisawesome	2
126	Yuvl	2
126	XboxPanda	2
126	TableTim	2
126	Jackattack53	2
126	popcanter	2
126	WET_WET_WET	2
126	Fast_Turtle	2
126	Zayisblack	2
126	CruncyIsTaken	2
126	Mattesco	2
126	Matyyy15	2
126	TeenMomTom	2
126	aec9	2
126	Cattoh	2
126	HoldThatPee	2
126	Leyna3	2
126	Maenara	2
126	Nicky19	2
126	ILoveCarrot	2
126	gustarbite	2
126	spencersolberg	2
126	Deodorante	2
126	NYJ	2
126	lillips	2
126	DarlaMeow	2
126	Soap_Bender	2
126	_k2x	2
126	__Auspicious	2
126	Spacewardharpy7	2
126	MovingFish7	2
126	lordpipe	2
126	Leithz6	2
126	MakeHistory157	2
126	Cocoamallows	2
126	Nagasaki_Riku	2
126	Omar_Alone	2
126	Optiprimus	2
126	IvarEXE	2
126	Eraxa	2
126	starbits140	2
126	ARCTICxLORD	2
126	Moetis	2
126	DennyKai	2
126	sebastiensaborio	2
126	_Wannabe_	2
126	Skippeh	2
126	OfficerAnvil	2
126	Nicserso	2
126	UrbanPlanner1978	2
126	the_cocos	2
126	_Dri_	2
199	Astronicky	1
199	Louiis123	1
199	tweety_sweety	1
199	Lepthymo	1
199	Jovaphobic	1
199	SDW_Insanity	1
199	halcyonrift	1
199	Menthas	1
199	Mr_Byzantine	1
199	heysushii	1
199	Froste131	1
199	peachfuzz1267	1
199	dudcreeper	1
199	LittleBug562	1
199	JustMaleen	1
199	BenHomie	1
199	dabloons	1
199	Ze1ig	1
199	ItsColin11	1
199	pZygh0st	1
199	jspwn	1
199	teslawolf38	1
199	honeybuggie	1
199	SlowMoNinja1994	1
199	Healthing	1
199	Foof13	1
199	q_wq	1
199	KingFaenor	1
199	KarlKaek	1
199	Ty_Carries	1
199	ergoalias	1
199	rachcl	1
199	Dedalus36	1
199	ColeSnyder	1
199	ExtraDumb	1
199	Saltymart	1
199	NotP0tato	1
199	JingleLizi	1
199	BlancoFlaco	1
199	hm947	1
199	Bad_At_Names_Guy	1
199	Meteora4	1
199	Hashinshin69	1
199	Paleshield	1
199	Horizons86	1
199	RebelAndroid	1
199	baxteerr	1
199	Rasaq	1
199	BodaciousCake	1
199	BoraMC	1
199	jimintyy	1
199	Seyaboy	1
199	CoffeeNoir	1
199	_AceOfSpace_	1
199	ivorico	1
199	TarynBubs	1
199	buss081	1
199	MOSS000	1
199	301851	1
199	EliteTrashPanda_	1
199	TheMaster972	1
199	DBoydart303	1
199	Ssor69	1
199	FirsTimeGamingTV	1
199	moertymoertan	1
199	TinMaster	1
199	Khelvoryk	1
199	LandnMinecrft	1
199	BleachMyEyes	1
199	Gooberkid223	1
199	roxycherry	1
199	Auseawesome	1
199	Cryptacity	1
199	Comma__	1
199	jushykins	1
199	firesgal3116	1
199	bmac2718	1
199	LinCura	1
199	ThePoliteG	1
199	Ravenbie	1
199	12Magner05	1
199	Boboczus	1
199	MinttyFressh	1
199	literally_peter	1
199	o0z	1
199	Tyranar	1
199	shyshyannne	1
199	SteveCraftBlocks	1
199	TheDiamondCG	1
199	500am	1
199	redikul	1
199	Z3braYTIL	1
199	paranoid_plant	1
199	Nach0Bear	1
199	Bobby808	1
199	peecies	1
199	Dali1465	1
199	ketaminmann	1
199	Motsaro	1
199	Inchef	1
199	eviltunix	1
199	Zenlou	1
