rank	username	minecraft:picked_up/minecraft:deepslate_brick_wall
1	Huwulling	260
2	pintsizedrogue	221
3	k_ce	216
4	weabis	182
5	Manaateee	152
6	ZoomieZoomie	102
7	Winklepicker279	79
8	EcksD	37
9	Smashic	35
10	Megarboh	34
11	mihimihimihi	29
12	diamondgolem35	28
12	eitanzaki	28
14	ImpavidArcher	27
15	Mr_Byzantine	20
15	luseis	20
15	LeEricc	20
18	Nicserso	19
18	2blox_	19
20	Wowful	17
21	Crowman1	12
21	StinkyDiplomat	12
23	Mahoose	11
23	TheWildMateo	11
25	UCP_TheKingK	10
26	jessewegottacook	9
26	TheSecondLord	9
28	Kowcio_	8
29	500am	7
29	Mattesco	7
31	SvenskaHugo	6
32	Ryker	5
33	drunkeeez	4
33	MAns_44	4
35	Apollo_993	3
35	thewindmillman	3
35	Lutres_	3
38	noam464	2
38	pixelviolin	2
38	tsitrawhy	2
41	Creativebuilder2	1
41	fade_emerge78823	1
41	Kakolbus	1
41	Solar_Power	1
41	lillips	1
