rank	username	minecraft:picked_up/minecraft:iron_trapdoor
237	ReyTheLegend	1
237	UCP_TheKingK	1
237	GlitchyPlate810	1
237	_3Stump_	1
237	ZoomieZoomie	1
237	laron58	1
237	Apicomplexa	1
237	MeetTheWollo	1
237	The_SlideV5	1
237	remmisrat	1
