rank	username	minecraft:picked_up/minecraft:cod_bucket
1	noam464	40
2	beeperbeeper5	16
3	Werbe	15
4	eitanzaki	13
5	Di_infiri	12
6	BobDeBouwer1337	11
7	Hyp3rion_	7
8	PhantomsGhost_	2
8	Mahoose	2
8	Karetoko	2
8	Ezekson	2
8	Nicserso	2
13	JapansDragon	1
13	ImpavidArcher	1
13	Vizzoid	1
13	bloodbiter	1
13	kekhon	1
13	CaptainBadKid	1
13	legal_tax_evader	1
13	thewindmillman	1
13	ApophisNova	1
13	NomadicRobin_	1
13	FreakGenius	1
13	Dusk_95	1
13	__tomato	1
13	obzii	1
13	alderban107	1
13	MyNamaSheff	1
13	Enderxz3	1
