rank	username	minecraft:picked_up/minecraft:spruce_sapling
283	thgrocks	89
284	Ssor69	88
284	MinuteMira	88
286	teslawolf38	86
286	dedgt	86
288	TheBiggestFeller	85
288	_Razar	85
290	Louiis123	84
290	Tolhart	84
290	PeteO1995	84
290	Optiprimus	84
294	bigstankyy	83
294	Sparky_KT	83
294	Typadopoulos	83
294	FGamerJ	83
298	orxngejuice	82
298	Crasswolf	82
298	Drewen24	82
