rank	username	minecraft:picked_up/minecraft:light_gray_concrete
1	Groundler	6384
2	thescout7	5352
3	Jackattack53	2761
4	noam464	2621
5	EveryonesUncle	1927
6	Winklepicker279	1900
7	beeperbeeper5	1811
8	NameGenerat0r	1747
9	Inchef	1733
10	Sral7	1713
11	Di_infiri	1614
12	Onennon	1596
13	titanlax	1470
14	RobotMinion101	1387
15	Rumpletaezer	1287
16	MattieHD	1214
17	lillips	1130
18	Swexti	1027
19	lordpipe	974
20	OtariCharlie	899
21	alderban107	868
22	TheSecondLord	839
23	ImpavidArcher	835
24	Mahoose	833
25	__tomato	799
26	SkateboardR6	796
27	Spenduh	764
28	Blaiku	750
29	chipklip	693
30	PhantomsGhost_	668
31	xxPipperDipperxx	636
32	fffMike	615
33	_Karmaa	583
34	Winston_Ingram	516
35	Glumb0	495
36	PortlyPete69	476
37	Incinere	463
38	eitanzaki	449
39	oxfordschool	378
40	AJplaysMC_	370
41	thewindmillman	362
42	YungMaki	334
43	Eraxa	296
44	BlankityMcBlank	287
45	oreee	283
46	Xclax101	236
47	ApophisNova	231
47	MyNamaSheff	231
49	Arceus1975	215
50	Hiryu27	203
51	Zoeyfortnite	185
52	Chromary	181
53	500am	164
54	NotMeanttoChange	152
55	Akoot_	150
56	bigstankyy	140
57	Comma__	134
58	Ssor69	123
58	Deathkob	123
60	Blackberry1310	115
61	I_Am_Mushkin	111
62	Ailmast	93
63	LordSpeed37	92
64	Hoid_the_Roamer	87
65	Inbefour	84
66	Soap_Bender	83
67	Sky_light_KING	81
68	_Dri_	80
68	remmisrat	80
70	kekhon	77
71	Miko_Fullbuster	74
71	Ezekson	74
73	MousePlays	73
74	ROY4LE	72
74	Yahir091	72
76	stavgod	71
77	TechnoNinja64	67
78	_Virify_	66
78	YoshikageBites	66
80	stellarjay	64
81	Spacewardharpy7	54
82	Cryptacity	53
83	Rasmanden	52
84	egglapras	50
84	ooga47	50
86	Frozil12	48
87	Smoke____	45
88	6king6colt6	41
89	NomadicRobin_	38
90	pintsizedrogue	37
91	HellsSponge	34
92	__Auspicious	31
92	Sheldor097	31
94	Merv__	28
95	JEWISHBadenBeele	24
95	obzii	24
97	yaboo88	21
98	JayToe	16
99	ProfessorBee	14
99	TheShyPig	14
99	Racengan	14
102	WyngGoy	13
103	ILoveCarrot	12
104	theonlymagikarp	11
104	Truckoss	11
104	sp00ky_ghost977	11
107	Jackster03	10
108	joethahobo	9
108	mwrty	9
108	The_slideV3	9
111	SuperPooch06	8
112	M_Patata	7
112	claivin	7
112	MasterNueve	7
115	ElderRifken	6
115	Strangemonkey71	6
115	stahouo	6
115	Powowowow	6
119	Snowflowe	5
119	_Bguette_	5
119	Mr_Teddiursa_K	5
122	Iagoku	4
123	seanitoo	3
123	EMC_	3
123	rarrq	3
123	m_be9	3
123	eviltunix	3
123	Hisiste	3
123	MakeHistory157	3
123	Enderslayerxz3	3
131	nataliecool	2
131	EllaBellaChu	2
131	Fullut	2
131	XboxPanda	2
131	Aerqophs	2
131	Skylord_Luke	2
131	RodSerlingCringe	2
131	yulgur1	2
131	MustaLoordi	2
131	DolphinLaugh	2
131	KG1999	2
131	SSytex_X	2
131	VentiHilton	2
131	Quotary	2
131	Nicserso	2
131	jnp_gaming	2
147	Jovaphobic	1
147	Cowison	1
147	Nesquiczek	1
147	Batman922	1
147	CoffeeNoir	1
147	ShedJr_	1
147	zylanzagreat	1
147	Covalents	1
147	Karetoko	1
147	Hyp3rion_	1
147	shockdocta	1
147	CruncyIsTaken	1
147	thgrocks	1
147	MyNameIsDakar	1
147	_p1ta_	1
147	Blu3beast	1
147	cog	1
147	Leftsy	1
147	OG_Songsee	1
147	ayamefag	1
147	EcksD	1
147	Legendosh	1
147	kinas45y5	1
147	The_SlideV5	1
147	h2p_emrld	1
