rank	username	minecraft:picked_up/minecraft:cyan_concrete_powder
1	Hyp3rion_	156481
2	Jackattack53	51968
3	Di_infiri	2488
4	ImpavidArcher	982
5	thescout7	640
6	Legendosh	522
7	Crowman1	440
8	mwrty	388
9	TheSecondLord	301
10	ROY4LE	256
11	thewindmillman	234
12	shrimp_flips	228
13	r123moore	206
14	teslawolf38	197
15	Druid95	192
15	RoboTramp7865	192
17	weabis	166
18	TeenMomTom	128
19	Spacewardharpy7	126
20	Manaateee	94
21	Steelynan	92
22	sp00ky_ghost977	91
23	Hoid_the_Roamer	87
24	Optiprimus	86
25	TheShyPig	81
26	lordpipe	66
27	HellsSponge	58
28	NotMeanttoChange	41
29	PlasticOtari	39
30	Eraxa	36
31	Rumpletaezer	30
32	pintsizedrogue	27
33	Frozil20	19
34	eitanzaki	18
34	Cyntrical	18
36	Enderxz3	16
37	h2p_emrld	15
38	Hiryu27	10
38	NameGenerat0r	10
40	PhantomsGhost_	9
40	beeperbeeper5	9
40	kekhon	9
43	mihimihimihi	8
44	Swexti	6
45	stellarjay	5
46	The_Thund	4
46	Mahoose	4
48	Fullut	3
48	Lori_Jenkinss	3
48	Karetoko	3
48	Maenara	3
48	Soplight	3
48	AdmiralSmoke	3
54	rarrq	2
54	Blackberry1310	2
54	noam464	2
54	ibarker21	2
54	Akoot_	2
54	Kowcio_	2
54	KingMatthew506	2
54	Jimb0nat0r	2
62	Groovy_MoonBird	1
62	Mr_Byzantine	1
62	Iagoku	1
62	Notta	1
