rank	username	minecraft:picked_up/minecraft:dark_oak_planks
1	Hyp3rion_	1314313
2	pixelviolin	36404
3	TheShyPig	19976
4	thewindmillman	19224
5	hanaryheatwave	18264
6	Spacewardharpy7	13792
7	Euclidoris	13487
8	burbankbuilder28	11872
9	Jackattack53	7087
10	catandmoose	7023
11	500am	5478
12	EcksD	5201
13	pintsizedrogue	4465
14	rarrq	4244
15	m_be9	4229
16	beeperbeeper5	3790
17	Lord_Jord	2973
18	FreakGenius	2841
19	Blackberry1310	2573
20	RatatJuice	2506
21	xxPipperDipperxx	2444
22	skitzxo	2440
23	Kowcio_	2433
24	EveryonesUncle	2413
25	CliffEmAll	2364
26	Manaateee	2276
27	TheSecondLord	2258
28	lorywithay	2122
29	fluddd	2116
30	Yamdalorian	2057
31	Ezekson	2034
32	Mahoose	1916
33	GingerNeutron	1852
34	joethahobo	1793
35	HellsSponge	1753
36	Lez_	1616
37	Inbefour	1578
38	Werbe	1574
39	EMC_	1573
40	CattSoup	1526
41	k_ce	1497
41	Mattesco	1497
43	Enderxz3	1468
44	miramyu	1448
45	Hiryu27	1403
46	tsitrawhy	1393
47	El_Jalapeno	1358
48	Russiancat1	1351
49	Arceus1975	1323
50	luseis	1308
51	Racengan	1251
52	TheDankPlatypus	1247
53	Legendosh	1226
54	Kakolbus	1210
55	Di_infiri	1200
56	NieToksikpl	1160
57	Frozil20	1159
58	NameGenerat0r	1138
59	ConnorDanky_	1122
60	SuperPooch06	1112
61	AnnieBathory	1105
62	Eraxa	1102
63	Druid95	1096
64	SkateboardR6	1091
65	Malorn_Aetherius	1058
66	Fullut	1055
67	xzvu	1049
68	kekhon	1036
69	titanlax	1026
70	Merv__	1023
71	RebelAndroid	962
72	Archsam	961
73	Powowowow	960
74	Kateesaur	957
75	Awyrlas	931
75	fffMike	931
77	Iamthejo	888
78	eitanzaki	880
79	ROY4LE	873
80	Ssor69	848
81	Touched_Bread	847
82	groofles	845
83	Winklepicker279	838
84	CalebDHawk	834
85	XboxPanda	828
86	Skippeh	798
87	GeromeMerris	787
88	RobotMinion101	784
89	censorsheep	779
90	Napoleonpancake	777
91	ThePoliteG	770
92	ScootOfBoot	767
93	Groovy_MoonBird	735
94	ItzYaBoiPicard	729
95	MattieHD	727
96	Soplight	718
97	dudcreeper	717
98	Huwulling	711
99	TechnoNinja64	692
100	paranoid_plant	684
100	Onennon	684
100	wezzzi	684
103	Saucepeh	649
104	set67	648
105	KarlKaek	626
106	gcaisawesome	625
107	PortlyPete69	607
108	Felenov	603
109	LexMakesHistory	602
110	yulgur1	583
110	bruh072	583
112	Blu3beast	571
113	_Razaria	570
114	smogfrog	566
115	MyNameIsJobo	555
116	teslawolf38	542
117	SmashingPump	540
118	r123moore	536
119	Mr_Byzantine	530
120	mimbo1211	526
121	KeruNatsema	525
122	JETrotter	512
123	FishyBoy3811	495
124	Jovaphobic	489
125	Zythose	487
126	Foof13	485
126	diamondgolem35	485
128	AngalexikCZ	484
129	Natty	480
130	oscminus	475
131	Xclax101	466
132	FirsTimeGamingTV	460
132	Nicky_H225	460
134	Leyna3	455
134	DarlaMeow	455
136	Steelynan	453
137	jnp_gaming	450
138	PlasticOtari	445
139	lordpipe	437
140	Pumpkin_P_Patch	434
141	IamCL4SSY	433
142	seramalen	432
143	Tobinator_007	431
144	Tyrannosplart	430
145	Meatlaugh	422
146	KingMatthew506	421
147	YungMaki	414
148	Kyrum2169	412
149	Prismyst	406
150	Optiprimus	405
151	2blox_	401
152	LeauVox4921	399
153	NATE_the_HALO	398
154	Blaiku	397
155	avalan64	389
156	audiocracked	388
157	Dakar_	386
158	Cowison	384
159	hermmm_	382
160	Nach0Bear	377
161	Stiar	374
162	Jimb0nat0r	373
163	Ze_BaronKrigler	362
164	Snowflowe	360
165	Skylord_Luke	357
165	felincaus	357
165	LeeMcGee30	357
168	Matorz	353
169	Deguns123	348
170	fallingemma	346
170	claivin	346
172	Lekol	345
173	Krowuss	344
174	6king6colt6	343
175	Biites	340
176	CollinMH06	338
177	taengoos	337
178	12Magner05	335
179	thescout7	333
180	_Huge_Male_	332
181	emreknugrlu	328
182	noam464	327
183	Jakobo1337	321
184	Karbl	317
185	Barlycorn	316
186	Cortexia	315
186	Bumpy419	315
188	Pineapplesugr	313
189	Lutres_	311
190	shrimp_flips	310
191	prizm_	306
191	Akoot_	306
193	intropass	302
194	ImpavidArcher	301
195	jacxhadow	298
196	Historical_Sand	294
197	_Karmaa	293
198	j5ylim	292
