rank	username	minecraft:picked_up/minecraft:green_stained_glass_pane
1	Werbe	1436
2	jnp_gaming	212
3	Quotary	201
4	El_Jalapeno	192
5	Rumpletaezer	132
6	DTwenty	93
7	YungMaki	56
8	pintsizedrogue	55
9	Chromary	50
10	Spacewardharpy7	48
11	TheShyPig	45
12	AdmiralSmoke	44
13	joethahobo	34
14	Nicserso	33
15	beeperbeeper5	26
16	Ryan_GEMS	24
16	Jimb0nat0r	24
18	SullyhS	23
19	Snowflowe	20
20	heckface	17
21	EveryonesUncle	15
21	Manaateee	15
23	NameGenerat0r	14
23	Steelynan	14
25	ShedJr_	12
26	Mahoose	11
27	TheSecondLord	10
27	Onennon	10
29	_Nuf	9
29	_Bguette_	9
29	Kowcio_	9
32	Lez_	8
32	Ezekson	8
34	FreakGenius	7
34	Groundler	7
34	TechnoNinja64	7
37	jessewegottacook	6
37	HellsSponge	6
37	PlasticOtari	6
40	bloodbiter	5
40	Secret_Canary	5
40	UncreativeArtist	5
40	xxPipperDipperxx	5
40	NomadicRobin_	5
40	pixelviolin	5
46	Groovy_MoonBird	4
46	Merv__	4
46	Myszoaz	4
46	500am	4
46	noam464	4
46	luseis	4
52	SaucyDark	3
52	Rebytre	3
54	EMC_	2
54	ROY4LE	2
54	Arceus1975	2
54	lcvezra	2
54	Legendosh	2
54	HesDemonPants	2
60	eitanzaki	1
60	F_Uhre	1
60	Inbefour	1
60	Eraxa	1
