rank	username	minecraft:picked_up/minecraft:flow_banner_pattern
1	oscminus	10
2	thewindmillman	8
3	MyMawgDonaldsGon	7
3	00000000-0000-0000-0009-01fe065167f0	7
5	CLG_Kata	6
6	k_ce	3
6	net_flex	3
6	Buuck_	3
9	_Mythic____	2
9	pixelviolin	2
9	Yamdalorian	2
12	Mr_Byzantine	1
12	MattieHD	1
12	lpinfinity	1
12	TheKingK_	1
12	Steelynan	1
12	KamFurnace	1
12	Spaghettatron	1
