rank	username	minecraft:picked_up/minecraft:torch
1	gcaisawesome	40700
2	pintsizedrogue	29451
3	EMC_	27555
4	Zythose	26565
5	joethahobo	21427
6	Smoke____	19701
7	HellsSponge	18362
8	lordpipe	16656
9	Mahoose	15788
10	Miko_Fullbuster	15305
11	Enderslayerxz3	15127
12	Ezekson	14969
13	beeperbeeper5	12925
14	Freak_Genius	11609
15	El_Jalapeno	10950
16	TheShyPig	10817
17	Legendosh	10213
18	kekhon	10147
19	EveryonesUncle	9757
20	Spacewardharpy7	9640
21	m_be9	9217
22	thewindmillman	9165
23	Hyp3rion_	9084
24	Di_infiri	8569
25	YungMaki	8558
26	Snowflowe	8270
27	Werbe	8103
28	Steelynan	7811
29	himak1	7263
30	Skylord_Luke	7010
31	Bumpy419	6844
32	picardred	6798
33	thescout7	6708
34	PhantomsGhost_	6622
35	Lord_Jord	6543
36	PlasticOtari	6424
37	Arceus1975	6417
38	500am	6091
39	TechnoNinja64	5871
40	Onennon	5785
41	burbankbuilder28	5722
42	ImpavidArcher	5520
43	Akoot_	5455
44	Menthas	5246
45	eitanzaki	5035
45	Blackberry1310	5035
47	MyNameIsJobo	4866
48	Maenara	4707
49	12Magner05	4685
50	Blaiku	4570
51	PigDab	4530
52	Merv__	4498
53	Kakolbus	4454
54	KarlKaek	4398
55	Xclax101	4396
56	lillips	3909
57	TheSecondLord	3900
58	Rumpletaezer	3898
59	ProfessorBee	3812
60	EcksD	3803
61	Historical_Sand	3716
62	Xalithia	3705
63	jnp_gaming	3681
64	Hermanni__	3666
65	BumbleBeever	3354
66	rarrq	3348
67	EcksDofficial	3339
68	CoffeeNoir	3238
69	Drawgirll	3177
70	fffMike	3170
71	Jiminie	3092
72	Inbefour	3006
73	SammiWolfGirl	2863
74	noam464	2851
75	ApophisNova	2791
75	MyNamaSheff	2791
77	CalebDHawk	2790
78	NameGenerat0r	2787
79	Euclidoris	2771
80	Soplight	2695
81	Inchef	2685
82	Eraxa	2642
83	Skippeh	2611
84	Sky_light_KING	2586
85	awesomeoneme	2562
86	mwrty	2556
87	Frozil12	2498
88	MilleGrug	2490
89	Franco093	2459
90	Blu3beast	2363
91	6king6colt6	2362
92	Hoid_the_Roamer	2348
93	Shogunite	2340
94	obzii	2325
95	xxPipperDipperxx	2304
96	_Karmaa	2297
97	Eczbek	2285
98	oxfordschool	2284
99	Awyrlas	2260
100	OfficerAnvil	2253
101	_Dean_123	2249
102	Fullut	2233
103	DanTheBuilderino	2222
104	RoskobiOne	2202
105	cedric72	2174
106	Groundler	2136
107	Hisiste	2116
108	MightyWertu	2112
109	RebelAndroid	2084
110	Njensen7	2067
111	teslawolf38	2054
112	T045RTY	2045
113	Jovaphobic	2025
114	Ssor69	2003
115	eviltunix	1990
116	Groovy_MoonBird	1944
117	Jackattack53	1933
118	TheBiggestFeller	1927
119	TheDankPlatypus	1909
120	set67	1894
121	Mr_Byzantine	1888
122	Zaridey	1808
123	Malorn_Aetherius	1787
123	Marbz_	1787
125	Sral7	1782
126	Notta	1781
127	titanlax	1776
128	benediktine1	1732
129	q_wq	1720
130	Quotary	1707
131	AuroraValkyrie	1706
132	Jimi7hits	1679
133	h2p_emrld	1673
134	Wooptey	1671
134	Barlycorn	1671
136	Comma__	1644
137	NomadicRobin_	1636
138	BobDeBouwer1337	1633
138	censorsheep	1633
140	Dedalus36	1629
141	emrekn	1617
142	sp00ky_ghost977	1613
143	bloodbiter	1549
144	MakeHistory157	1535
145	Meatlaugh	1522
146	Powowowow	1487
147	jacxhadow	1479
148	Airem_Core	1471
149	Spenduh	1469
150	NoChumpChange	1457
151	loveseeker	1448
152	lcvezra	1421
153	RodSerlingCringe	1400
154	CliffEmAll	1385
155	kinas45y5	1360
156	Chromary	1353
157	Racengan	1342
158	TheWildMateo	1341
159	Kubeusz2010	1312
160	2Stout	1298
161	Winklepicker279	1276
162	Dogcorn69420	1270
163	r123moore	1261
164	livingdaydreams	1260
165	The11thDoctor	1250
165	_TCARREIRA_	1250
167	RatatJuice	1247
167	Lutres_Torane	1247
169	Kowcio_	1246
170	fred870d	1233
171	Toriankel	1201
172	TheThomas69	1200
173	Rebytre	1183
174	SuperPooch06	1180
175	Strangemonkey71	1167
176	07shiny	1163
177	pixelviolin	1156
178	bigstankyy	1150
179	MeetTheWollo	1148
180	Megarboh	1125
181	KingMatthew506	1124
182	SaucyDark	1122
183	SingedBread	1119
184	__tomato	1115
185	PlzNoBM	1085
186	MattieHD	1083
186	XboxPanda	1083
188	iHuntWeeaboos	1067
189	Cowison	1058
190	_Bguette_	1044
191	Vorlice	1036
192	Cryptacity	1016
193	crying_wolf_13	1004
194	JayToe	997
195	Fuad_R	996
196	fluddd	995
197	Hiryu27	994
198	starbits140	992
199	M_Patata	991
200	StinkyDiplomat	988
201	FirsTimeGamingTV	985
202	CharlieButt	983
203	_Nuf	976
204	DarlaMeow	974
205	Deathkob	965
206	claivin	958
207	MangoTheFish	953
208	wwwwinnebagoooo	943
209	NotMeowMix	941
210	_Virify_	936
211	Touched_Bread	935
212	H72l9w	934
213	SkateboardR6	927
214	wezzzi	926
215	ooga47	922
216	ShedJr_	913
217	SpaceGrenadier	912
218	Iagoku	909
219	FishyBoy3811	899
220	TheEnderman548	896
221	Prodiginus	892
222	djancak	889
223	MyNameIsDakar	888
224	fkGrim	864
225	_Razar	858
226	Mattesco	854
227	DemTechAlpha	848
228	Kouridragon	846
229	Kubelz	845
230	Darkgon	839
231	anbbang	832
232	cichy096	806
233	cowgirlkasia	803
234	AlphaWolfPlaysMC	796
235	eiC_	792
236	intropass	791
236	FreddyFart	791
238	smogfrog	789
239	TheSeismicDuck	788
240	Quincannon	780
241	fade_emerge78823	775
242	DarkS0L	764
243	chipklip	762
244	selectrix	761
245	Hyugo	760
245	WyngGoy	760
247	XxCookiequeenxX	754
248	CollinMH06	752
249	SSytex_X	750
250	shrimp_flips	749
251	The_slideV3	748
252	Dusk_95	746
253	Fildyr	744
254	Kferno	743
255	ROY4LE	735
256	diamondgolem35	733
257	seramalen	728
258	HesDemonPants	724
259	Fuhrer_Teemo	720
259	RadarHz	720
261	hcb238	717
261	IAmTheWalrus910	717
263	Optiprimus	707
264	Swexti	706
265	soundad	695
266	whoaluv	690
266	Vetral1	690
268	Huwulling	678
269	CaptainDeadBread	673
270	JESS_THE_RERE	666
271	MasterNueve	664
272	FallenCorps	659
273	theonlymagikarp	655
274	Natty	653
275	_stets	647
276	Wolverine4302	644
277	PeteO1995	643
278	Typadopoulos	640
279	Kyrum2169	639
280	Ecplosive	633
281	Lez_	632
282	GLLogan2	621
282	yulgur1	621
284	PortlyPete69	618
285	jewbacaman	614
286	laron58	606
287	lizardfightclub	605
288	_8man	603
288	audiocracked	603
290	MrExplorer	601
291	Ryker	600
292	Stynxy	599
292	LexMakesHistory	599
294	DTwenty	598
295	BlankityMcBlank	595
296	layabout100	593
297	KingFaenor	588
298	Da_Boss_Rani	583
299	Windo_licker	580
300	stavgod	577
