rank	username	minecraft:picked_up/minecraft:blaze_powder
1	noam464	7820
2	thewindmillman	2885
3	HellsSponge	1950
4	PigDab	1741
5	Di_infiri	935
6	Smoke____	602
7	Fildyr	515
8	Hoid_the_Roamer	511
9	Hyp3rion_	295
10	Hisiste	255
11	GlitchyPlate810	252
12	kekhon	184
13	dudcreeper	174
14	YungMaki	169
15	xxPipperDipperxx	152
16	Onennon	147
17	EMC_	141
17	beeperbeeper5	141
19	Skippeh	137
20	emrekn	128
21	fred870d	123
22	eitanzaki	106
23	thescout7	105
24	PhantomsGhost_	102
25	Hiryu27	96
26	egglapras	80
27	lizardfightclub	76
28	33sudo	74
29	Sky_light_KING	70
30	Inbefour	66
31	Lez_	64
32	Miko_Fullbuster	63
33	mwrty	61
34	Huwulling	60
34	r123moore	60
36	ProfessorBee	54
37	claivin	53
38	pintsizedrogue	49
38	gaziter10	49
40	fluddd	48
41	RebelAndroid	47
42	Blaiku	46
43	TheSecondLord	43
44	Lutres_Torane	41
45	Historical_Sand	36
46	SaucyDark	35
47	Auseawesome	34
48	500am	33
49	HolyVenom	30
49	obzii	30
51	Rumpletaezer	29
51	Dogcorn69420	29
53	Killercatty78	27
54	Kyrum2169	26
54	djancak	26
56	binman420	23
57	youhjjhhhjj	20
57	UCP_TheKingK	20
59	sp00ky_ghost977	19
59	Enderslayerxz3	19
61	Arceus1975	18
61	stavgod	18
61	Winston_Ingram	18
64	chipklip	17
64	Zoeyfortnite	17
66	jushykins	16
66	Akoot_	16
68	Mahoose	15
68	xo_Marren_xo	15
70	m_be9	14
70	Fullut	14
70	Nach0Bear	14
70	CollinMH06	14
74	MilleGrug	13
75	Incinere	12
75	loveseeker	12
75	__tomato	12
78	Jovaphobic	11
78	I_Am_Mushkin	11
78	TheDankPlatypus	11
78	victorLIE	11
78	audiocracked	11
83	Frozil20	10
83	SingedBread	10
85	Inchef	9
85	SharpDev	9
85	CharlieButt	9
85	M_Patata	9
85	Jackattack53	9
85	EfficientC52	9
85	censorsheep	9
85	MasterNueve	9
93	NotMeanttoChange	8
93	AlphaWolfPlaysMC	8
93	Spacewardharpy7	8
93	laron58	8
97	Cowison	7
97	Drlzyy	7
97	diamondgolem35	7
97	Mewar	7
97	Maenara	7
97	Fuad_R	7
97	WyngGoy	7
104	6king6colt6	6
104	ApophisNova	6
104	Eerini	6
104	Racengan	6
104	stahouo	6
104	oxfordschool	6
104	EcksD	6
104	MyNamaSheff	6
104	TechnoNinja64	6
113	Euclidoris	5
113	ratglock	5
113	mimbo1211	5
113	TheShyPig	5
113	Soplight	5
113	Legendosh	5
113	kinas45y5	5
120	Hpdinosaur	4
120	KomputerDude	4
120	slkiey	4
120	Zaridey	4
120	Snowflowe	4
120	RodSerlingCringe	4
120	LexMakesHistory	4
120	Freak_Genius	4
120	El_Jalapeno	4
120	monky_irl	4
120	Quotary	4
120	BreadBacon	4
132	livingdaydreams	3
132	joethahobo	3
132	Blackberry1310	3
132	Donutt	3
132	Skylord_Luke	3
132	ToastedGamingYT	3
132	lcvezra	3
139	TildaAndrea	2
139	Prismyst	2
139	rarrq	2
139	LoboTheLobster	2
139	MrExplorer	2
139	_Dean_123	2
139	Austine6698	2
139	hcb238	2
139	fallingemma	2
139	Kynigito	2
139	Skomo	2
139	TheTrueClipse	2
139	fw3xywashere	2
139	Jiminbub	2
139	Jiminie	2
139	ediballbearings	2
139	Luigipunch989	2
139	PlzNoBM	2
139	Steelynan	2
139	OfficerAnvil	2
139	PlasticOtari	2
139	WYFYoyo	2
139	JayToe	2
162	Groovy_MoonBird	1
162	Bandito_Roamer	1
162	_Virify_	1
162	LittleBug562	1
162	FujiBS	1
162	q_wq	1
162	Nesquiczek	1
162	ssleepless	1
162	ShedJr_	1
162	Unitas_isa	1
162	elmer1234	1
162	FirsTimeGamingTV	1
162	heckface	1
162	Cryptacity	1
162	12Magner05	1
162	_Nuf	1
162	Kamflame10	1
162	paranoid_plant	1
162	Awyrlas	1
162	XboxPanda	1
162	Kakolbus	1
162	mariominejedi	1
162	SlayerCrypto	1
162	GreedyFern8581	1
162	RobotMinion101	1
162	fkGrim	1
162	MyNameIsDakar	1
162	1442	1
162	The_slideV3	1
162	_Karmaa	1
162	Blu3beast	1
162	IAmTheWalrus910	1
162	ReyTheLegend	1
162	Kowcio_	1
162	Segotep999	1
162	_TCARREIRA_	1
162	jcool7	1
162	Njensen7	1
162	Kubeusz2010	1
162	HesDemonPants	1
162	Powowowow	1
162	Yogscast_Manden	1
