rank	username	minecraft:picked_up/minecraft:dark_oak_hanging_sign
1	pixelviolin	52
2	IlkeCookes_	24
3	Mattesco	18
4	k_ce	13
4	MattieHD	13
6	HUNTERmaun	10
7	Merv__	6
8	Soplight	5
9	_witch_craft_	4
10	PazinGaming	2
10	Kronos42	2
10	SnowfallUwU	2
13	pintsizedrogue	1
13	skatch212	1
13	TheSecondLord	1
13	cutelilreno	1
13	Steelynan	1
