rank	username	minecraft:picked_up/minecraft:golden_pickaxe
1	Meepcraft	9
2	fanofbands101	7
2	ConnorDanky_	7
4	Kowcio_	5
5	Manaateee	4
5	Ezekson	4
7	Mr_Byzantine	3
7	Mahoose	3
7	Euclidoris	3
10	RoskobiOne	2
10	Creativebuilder2	2
10	joethahobo	2
10	IKeepDying	2
10	burbankbuilder28	2
10	oscminus	2
10	Akoot_	2
10	halfbakedlasagna	2
10	JosephCW	2
10	UCP_TheKingK	2
10	Chuglyfe	2
10	_i_ERROR_i_	2
10	Jimb0nat0r	2
23	N00bula	1
23	lotarp	1
23	NinjaKnifeKill	1
23	beeperbeeper5	1
23	TheFlfthHorseman	1
23	rarrq	1
23	Miroryk	1
23	TheRealGameBoy24	1
23	redikul	1
23	UncreativeArtist	1
23	ROY4LE	1
23	RIPB0ZO	1
23	trixterrx	1
23	ReverendSmith	1
23	Jackattack53	1
23	Hyp3rion_	1
23	ormr_kin	1
23	MonitorLizards	1
23	TheShyPig	1
23	Goat_Curdle	1
23	masskedman	1
23	Qorbyn	1
23	Syropatathe	1
23	lillips	1
23	DanTheBuilderino	1
23	FreakGenius	1
23	Druid95	1
23	MakeHistory157	1
23	non089	1
23	SpacesickPrism	1
