rank	username	minecraft:picked_up/minecraft:polished_blackstone_brick_wall
1	eitanzaki	630
2	beeperbeeper5	369
3	Lord_Jord	289
4	Dusk_95	227
5	noam464	211
6	Legendosh	193
7	PlasticOtari	167
8	HellsSponge	156
9	CliffEmAll	151
10	Deathkob	135
11	pintsizedrogue	127
12	Eraxa	122
13	r123moore	116
14	Kubeusz2010	96
15	Kakolbus	86
16	Winklepicker279	85
17	Eczbek	74
18	fanofbands101	64
19	KarlKaek	62
20	Freak_Genius	61
20	lordpipe	61
22	lizardfightclub	54
23	rarrq	49
23	benediktine1	49
25	eli_tschki	46
26	trexgb	39
27	500am	33
27	KG1999	33
29	Ezekson	32
30	PigDab	30
31	Cowison	29
31	TheSecondLord	29
31	kekhon	29
34	Smoke____	28
35	YungMaki	25
36	FishyBoy3811	24
37	joethahobo	23
38	Mattesco	22
39	Fullut	21
40	Vorlice	20
41	EveryonesUncle	19
42	RebelAndroid	18
43	TheShyPig	16
44	Spacewardharpy7	15
44	sp00ky_ghost977	15
44	Optiprimus	15
47	Snowflowe	13
47	ogoa	13
49	Jiminie	12
50	BobDeBouwer1337	11
50	00000000-0000-0000-0009-01ff0c3e5e4f	11
52	MSK__	10
52	Blaiku	10
54	Blackberry1310	9
54	fffMike	9
56	Di_infiri	8
56	ProfessorDiaper	8
56	Spenduh	8
59	Mahoose	7
59	ShedJr_	7
61	himak1	6
61	Awesomely_SYD	6
63	jacxhadow	4
63	YungJakobo	4
63	MousePlays	4
63	Decaying_Lotus	4
67	gustarbite	3
67	djancak	3
67	Steelynan	3
70	Nycteus_	2
70	monky_irl	2
72	0R_6	1
72	egglapras	1
72	Arceus1975	1
72	thewindmillman	1
72	JitteryJared2	1
72	EcksD	1
