rank	username	minecraft:picked_up/minecraft:black_concrete
1	thewindmillman	7728
2	beeperbeeper5	6773
3	joethahobo	5411
4	12Magner05	4552
5	PigDab	4530
6	jnp_gaming	3950
7	thescout7	3800
8	YungMaki	3367
9	LordSpeed37	3076
10	TheShyPig	2735
11	TheSecondLord	2689
12	lillips	2647
13	TheBiggestFeller	2166
14	Di_infiri	1969
15	Blaiku	1915
16	NameGenerat0r	1881
17	lordpipe	1754
18	Rumpletaezer	1739
19	Tolhart	1724
20	Smoke____	1620
21	emrekn	1601
22	SSytex_X	1410
23	noam464	1295
24	Powowowow	1185
25	Nicserso	1107
26	MilleGrug	1080
27	eitanzaki	1046
28	Deathkob	1014
29	1442	1013
30	_Karmaa	1008
31	Eraxa	968
32	The_slideV3	939
33	NieToksikpl	921
34	oxfordschool	873
35	h2p_emrld	845
36	Mahoose	808
37	HellsSponge	801
38	Spacewardharpy7	694
39	audiocracked	648
40	kekhon	608
41	TheEnderman548	595
42	Werbe	575
43	mwrty	542
44	Dan_Scha	537
45	burbankbuilder28	535
46	ogoa	523
47	pixelviolin	522
48	Ze_BaronKrigler	478
49	Ssor69	467
50	Blackberry1310	465
51	500am	448
52	Iagoku	441
53	ssleepless	408
54	Merv__	400
55	Inchef	396
56	I_Am_Mushkin	395
57	Soplight	394
58	Hyp3rion_	389
59	Frozil12	388
60	himak1	377
60	Arceus1975	377
62	Marbz_	351
63	ooga47	350
64	Snowflowe	349
65	Ezekson	332
66	TeenMomTom	331
67	stavgod	328
68	Winklepicker279	322
69	Hiryu27	313
70	ROY4LE	309
71	rarrq	307
72	oreee	301
73	Inbefour	286
74	Swexti	277
75	m_be9	275
76	claivin	268
77	titanlax	265
78	Maenara	258
79	BlancoFlaco	256
80	xxPipperDipperxx	251
81	sp00ky_ghost977	239
82	Fullut	227
83	6king6colt6	226
84	NotTrixi	217
85	Incinere	209
86	Segotep999	191
87	LexMakesHistory	178
88	EveryonesUncle	173
89	WyngGoy	170
90	Hoid_the_Roamer	167
91	stellarjay	166
92	Franco093	165
93	Onennon	161
93	fluddd	161
95	EMC_	159
96	Leyna3	154
97	Jackattack53	147
98	King_Pancake1	145
99	chipklip	137
100	epiksk8erduck	131
101	SingedBread	125
102	teslawolf38	123
102	starbits140	123
104	pintsizedrogue	118
105	Motsaro	115
106	Freak_Genius	112
107	MakeHistory157	110
108	PlzNoBM	109
109	gabriels543	108
110	seramalen	104
111	PortlyPete69	102
112	AssFullaCum	97
113	M_Patata	95
113	MasterNueve	95
115	AJplaysMC_	88
116	Sral7	86
117	TheDankPlatypus	84
118	Rich_Kat	83
119	tsitrawhy	79
120	ImpavidArcher	74
121	KingMatthew506	73
122	_Bguette_	72
122	SammiWolfGirl	72
124	ibarker21	69
124	Hermanni__	69
126	Kynigito	67
127	SkateboardR6	66
127	SvenskaHugo	66
129	bigstankyy	65
129	El_Jalapeno	65
129	Winston_Ingram	65
132	GOOBERGABE04	64
133	CoffeeNoir	56
134	Elprone266	53
135	EcksDofficial	52
136	Akoot_	49
137	egglapras	45
137	stahouo	45
139	SyK7	40
139	Lowjinx	40
141	Xalithia	39
142	nataliecool	37
142	ShedJr_	37
144	BobDeBouwer1337	35
145	Smashic	34
146	Kim_Jong_eel	32
146	Sheldor097	32
148	PlasticOtari	28
149	Huwulling	27
150	Menthas	25
150	Jackywho	25
150	Rebytre	25
150	Truckoss	25
154	JayToe	24
155	Njensen7	23
156	gcaisawesome	21
156	Covalents	21
158	r123moore	19
159	Ahketen	18
159	TechnoNinja64	18
161	Enderslayerxz3	17
162	corvidpartyfor6	16
163	NotMeanttoChange	15
163	RedcatVII	15
165	Kiki_Majiki	11
165	kinas45y5	11
167	seanitoo	10
167	heckface	10
167	Kamflame10	10
167	lcvezra	10
171	jimintyy	9
171	CollinMH06	9
173	SteveCraftBlocks	7
173	laron58	7
175	Euclidoris	6
175	diggydog67	6
177	Sabby65	5
177	MattieHD	5
177	TheOuterCore	5
180	Groovy_MoonBird	4
180	PhantomsGhost_	4
180	The11thDoctor	4
180	yulgur1	4
180	masskedman	4
180	Jiminbub	4
180	Syropatathe	4
180	Babushka0430	4
180	KG1999	4
180	The_SlideV5	4
190	The_Thund	3
190	Tommhh	3
190	_Razar	3
190	0nly_sn1per	3
190	SuperPooch06	3
190	ese_wn_po	3
190	OverallConcept	3
190	Nycteus_	3
190	VentiHilton	3
199	Mr_Byzantine	2
199	lotarp	2
199	Da_Boss_Rani	2
199	jushykins	2
199	_Dean_123	2
199	bbquakes	2
199	Masssonnn	2
199	MyNameIsJobo	2
199	GreedyFern8581	2
199	tobinwilliams	2
199	SonicRainBow_	2
199	Mattesco	2
199	Macho_Tacos	2
199	Sky_light_KING	2
199	Nicky19	2
199	fw3xywashere	2
199	NomadicRobin_	2
199	Shogunite	2
199	carpet4_69	2
199	Th6masss	2
199	Toriankel	2
199	Hisiste	2
199	Xovalt_	2
199	Optiprimus	2
199	Spenduh	2
199	Quotary	2
199	FelixPSY375	2
199	Legendosh	2
227	elicobnoah	1
227	ProbablyNick	1
227	xXTheWolfmanXx	1
227	NinjaKnifeKill	1
227	SteveWithClout	1
227	Crafter45	1
227	NasdaqCrash	1
227	Comma__	1
227	a24680	1
227	platinumzero	1
227	CaptainSteve345	1
227	AmbroseForLife	1
227	Armattillo	1
227	Zythose	1
227	_Boipl_	1
227	Afinnity	1
227	gloryoftherain	1
227	HyperCave	1
227	BRRRN179	1
227	HolyVenom	1
227	TheCordicus	1
227	PartyPhoenix	1
227	OtherAnimus	1
227	C0oOK13M0N5T3R	1
227	Blu3beast	1
227	Xclax101	1
227	Warlord324	1
227	OG_Songsee	1
227	Nagasaki_Riku	1
227	CalebDHawk	1
227	jcool7	1
227	Steelynan	1
227	Skippeh	1
227	Zoeyfortnite	1
