rank	username	minecraft:picked_up/minecraft:yellow_candle
1	_Huge_Male_	55
2	Lez_	32
2	thewindmillman	32
4	CLG_Kata	8
4	Jimb0nat0r	8
6	Enderxz3	6
7	Mr_Byzantine	5
7	Caribouse	5
9	TheSecondLord	4
9	Spaghettatron	4
11	Huwulling	3
11	Mattesco	3
11	Pumpkin_P_Patch	3
14	Crowman1	2
14	craaaash	2
14	shadowthemonkey	2
17	olliebollie48	1
17	Etnavn373	1
