rank	username	minecraft:picked_up/minecraft:red_nether_brick_slab
1	Legendosh	740
2	Freak_Genius	625
3	himak1	244
4	ooga47	186
5	Vorlice	100
6	Eraxa	91
7	12Magner05	89
8	lordpipe	88
9	thewindmillman	71
10	ApophisNova	50
10	MyNamaSheff	50
12	m_be9	32
12	kekhon	32
14	Sral7	29
15	Marbz_	28
16	TheShyPig	25
17	master9067	13
18	ProfessorBee	6
19	SteveCraftBlocks	5
20	hm947	4
20	Snowflowe	4
20	WyngGoy	4
20	Eczbek	4
24	Blu3beast	3
25	livingdaydreams	2
25	beeperbeeper5	2
25	YungMaki	2
28	ROY4LE	1
28	Toriankel	1
28	jcool7	1
