rank	username	minecraft:picked_up/minecraft:waxed_weathered_cut_copper_stairs
1	Marbz_	11
2	luseis	5
3	SpacesickPrism	4
4	SoosAmongus	2
4	jessewegottacook	2
4	Manaateee	2
7	beeperbeeper5	1
7	AlexxO_o	1
